# Untitled0,TW,TE,TAW,TP,RE_over_IN,RTHI,FRD,KCF1,KCF,RCFS,H,HI,FMY,KTHP,THETA_1,DELTA,DELTAstar__1,N,CH,H,HU,CTH,THU,DSU,X
1.000000000000000000e+00,5.400000000000000000e+02,7.338999999999999773e+02,8.827000000000000455e+02,6.007000000000000455e+02,3.948777000000000000e+06,5.180000000000000000e+03,1.254930000000000101e+00,2.948230000000000128e+00,3.602030000000000065e+00,3.602030000000000065e+00,7.431999999999999718e-01,1.350999999999999979e+00,1.728350000000000053e+00,0.000000000000000000e+00,1.041999999999999958e-03,8.500000000000000611e-03,7.739999999999999485e-04,5.697269999999999612e+00,7.430259999999999643e-01,1.042699999999999920e-03,1.045399999999999932e-03,1.042699999999999920e-03,1.045399999999999932e-03,7.799999999999999859e-04,0.000000000000000000e+00
2.000000000000000000e+00,5.400000000000000000e+02,7.311000000000000227e+02,8.823999999999999773e+02,5.997999999999999545e+02,3.954660000000000000e+06,5.174000000000000000e+03,1.251600000000000046e+00,2.948879999999999946e+00,3.594250000000000167e+00,3.594320000000000181e+00,7.493999999999999551e-01,1.350999999999999979e+00,1.724509999999999987e+00,1.399999999999999877e-04,1.041999999999999958e-03,8.500000000000000611e-03,7.810000000000000102e-04,5.698540000000000383e+00,7.493140000000000356e-01,1.042699999999999920e-03,1.045399999999999932e-03,1.042699999999999920e-03,1.045399999999999932e-03,7.799999999999999859e-04,8.000000000000000167e-03
3.000000000000000000e+00,5.400000000000000000e+02,7.282999999999999545e+02,8.821000000000000227e+02,5.990000000000000000e+02,3.960172000000000000e+06,5.167000000000000000e+03,1.248110000000000053e+00,2.949619999999999909e+00,3.586170000000000080e+00,3.586399999999999810e+00,7.560999999999999943e-01,1.350899999999999990e+00,1.693480000000000096e+00,2.840000000000000163e-02,1.041999999999999958e-03,8.500000000000000611e-03,7.879999999999999635e-04,5.699819999999999887e+00,7.559390000000000276e-01,1.042799999999999977e-03,1.045399999999999932e-03,1.042799999999999977e-03,1.045399999999999932e-03,7.900000000000000121e-04,1.499999999999999944e-02
4.000000000000000000e+00,5.400000000000000000e+02,7.255000000000000000e+02,8.818999999999999773e+02,5.982000000000000455e+02,3.964947000000000000e+06,5.161000000000000000e+03,1.244690000000000074e+00,2.950289999999999857e+00,3.578190000000000204e+00,3.578669999999999796e+00,7.625999999999999446e-01,1.350800000000000001e+00,1.658989999999999965e+00,5.990000000000000185e-02,1.041999999999999958e-03,8.500000000000000611e-03,7.950000000000000252e-04,5.709710000000000285e+00,8.056940000000000213e-01,1.049199999999999916e-03,1.051899999999999927e-03,1.049199999999999916e-03,1.051899999999999927e-03,8.499999999999999526e-04,7.000000000000000666e-02
5.000000000000000000e+00,5.400000000000000000e+02,7.226000000000000227e+02,8.815000000000000000e+02,5.972999999999999545e+02,3.969263000000000000e+06,5.155000000000000000e+03,1.241149999999999975e+00,2.950959999999999805e+00,3.569869999999999877e+00,3.570710000000000051e+00,7.693999999999999728e-01,1.350700000000000012e+00,1.624770000000000048e+00,9.063999999999999835e-02,1.043000000000000090e-03,8.500000000000000611e-03,8.030000000000000028e-04,5.709710000000000285e+00,8.056940000000000213e-01,1.049199999999999916e-03,1.051899999999999927e-03,1.049199999999999916e-03,1.051899999999999927e-03,8.499999999999999526e-04,7.000000000000000666e-02
6.000000000000000000e+00,5.400000000000000000e+02,7.197999999999999545e+02,8.812999999999999545e+02,5.965000000000000000e+02,3.972895000000000000e+06,5.149000000000000000e+03,1.237659999999999982e+00,2.951610000000000067e+00,3.561669999999999892e+00,3.562959999999999905e+00,7.761000000000000121e-01,1.350600000000000023e+00,1.608540000000000081e+00,1.024700000000000055e-01,1.044000000000000006e-03,8.500000000000000611e-03,8.099999999999999561e-04,5.709710000000000285e+00,8.056940000000000213e-01,1.049199999999999916e-03,1.051899999999999927e-03,1.049199999999999916e-03,1.051899999999999927e-03,8.499999999999999526e-04,7.000000000000000666e-02
7.000000000000000000e+00,5.400000000000000000e+02,7.167000000000000455e+02,8.808999999999999773e+02,5.956000000000000227e+02,3.976126000000000000e+06,5.142000000000000000e+03,1.233919999999999906e+00,2.952350000000000030e+00,3.552939999999999987e+00,3.554790000000000116e+00,7.833999999999999853e-01,1.350500000000000034e+00,1.569010000000000016e+00,1.382099999999999995e-01,1.044999999999999922e-03,8.600000000000000006e-03,8.180000000000000422e-04,5.709710000000000285e+00,8.056940000000000213e-01,1.049199999999999916e-03,1.051899999999999927e-03,1.049199999999999916e-03,1.051899999999999927e-03,8.499999999999999526e-04,7.000000000000000666e-02
8.000000000000000000e+00,5.400000000000000000e+02,7.137999999999999545e+02,8.806000000000000227e+02,5.947000000000000455e+02,3.978588000000000000e+06,5.136000000000000000e+03,1.230350000000000055e+00,2.952999999999999847e+00,3.544540000000000024e+00,3.547039999999999971e+00,7.903999999999999915e-01,1.350500000000000034e+00,1.551120000000000054e+00,1.512300000000000033e-01,1.046000000000000055e-03,8.600000000000000006e-03,8.270000000000000441e-04,5.709710000000000285e+00,8.056940000000000213e-01,1.049199999999999916e-03,1.051899999999999927e-03,1.049199999999999916e-03,1.051899999999999927e-03,8.499999999999999526e-04,7.000000000000000666e-02
9.000000000000000000e+00,5.400000000000000000e+02,7.107000000000000455e+02,8.802999999999999545e+02,5.937999999999999545e+02,3.980635000000000000e+06,5.128000000000000000e+03,1.226410000000000000e+00,2.953850000000000087e+00,3.535390000000000033e+00,3.538670000000000204e+00,7.981000000000000316e-01,1.350400000000000045e+00,1.542359999999999953e+00,1.542999999999999927e-01,1.046999999999999971e-03,8.600000000000000006e-03,8.360000000000000460e-04,5.709710000000000285e+00,8.056940000000000213e-01,1.049199999999999916e-03,1.051899999999999927e-03,1.049199999999999916e-03,1.051899999999999927e-03,8.499999999999999526e-04,7.000000000000000666e-02
1.000000000000000000e+01,5.400000000000000000e+02,7.075000000000000000e+02,8.800000000000000000e+02,5.927999999999999545e+02,3.981971000000000000e+06,5.121000000000000000e+03,1.222529999999999895e+00,2.954680000000000195e+00,3.526390000000000136e+00,3.530539999999999790e+00,8.057999999999999607e-01,1.350300000000000056e+00,1.484690000000000065e+00,2.085400000000000031e-01,1.049000000000000019e-03,8.600000000000000006e-03,8.450000000000000479e-04,5.709710000000000285e+00,8.056940000000000213e-01,1.049199999999999916e-03,1.051899999999999927e-03,1.049199999999999916e-03,1.051899999999999927e-03,8.499999999999999526e-04,7.000000000000000666e-02
