# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,1.038687000000000005e+01,0.000000000000000000e+00,3.772682300000000044e+00,1.537072000000000038e+01,6.265344000000000335e+01,0.000000000000000000e+00,2.596717500000000012e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.061012900000000059e+01,6.190740399999999921e-02,3.797779799999999817e+00,1.526665999999999990e+01,6.301221999999999923e+01,3.587799500000000141e-01,2.652532200000000007e+00,1.547690000000000003e-02
3.000000000000000000e+00,1.082944900000000032e+01,1.236934799999999945e-01,3.819188899999999887e+00,1.517901400000000045e+01,6.331564199999999687e+01,6.622011899999999951e-01,2.707362199999999941e+00,3.092340000000000019e-02
4.000000000000000000e+00,1.104623800000000067e+01,1.855733599999999928e-01,3.837053099999999883e+00,1.510665599999999920e+01,6.356698399999999793e+01,9.135433699999999657e-01,2.761559600000000003e+00,4.639329999999999843e-02
5.000000000000000000e+00,1.126183900000000015e+01,2.477728499999999889e-01,3.851553099999999841e+00,1.504843600000000059e+01,6.376977699999999771e+01,1.116336299999999948e+00,2.815459800000000179e+00,6.194319999999999687e-02
6.000000000000000000e+00,1.147748999999999953e+01,3.105117399999999805e-01,3.862911500000000053e+00,1.500314700000000023e+01,6.392787299999999817e+01,1.274432500000000079e+00,2.869372499999999881e+00,7.762789999999999968e-02
7.000000000000000000e+00,1.169428300000000043e+01,3.739869900000000191e-01,3.871395999999999837e+00,1.496949599999999947e+01,6.404553599999999847e+01,1.392095599999999989e+00,2.923570799999999803e+00,9.349670000000000203e-02
8.000000000000000000e+00,1.191311900000000001e+01,4.383560200000000129e-01,3.877325100000000191e+00,1.494607099999999988e+01,6.412754300000000285e+01,1.474102699999999988e+00,2.978279800000000144e+00,1.095890000000000059e-01
9.000000000000000000e+00,1.213465399999999939e+01,5.037199399999999772e-01,3.881073799999999796e+00,1.493129899999999921e+01,6.417929900000000032e+01,1.525859099999999913e+00,3.033663600000000127e+00,1.259299999999999864e-01
1.000000000000000000e+01,1.235924799999999912e+01,5.701070400000000093e-01,3.883079400000000181e+00,1.492340699999999920e+01,6.420696100000000683e+01,1.553520999999999930e+00,3.089811999999999781e+00,1.425268000000000090e-01
1.100000000000000000e+01,1.258689599999999942e+01,6.374562200000000178e-01,3.883848400000000201e+00,1.492038400000000031e+01,6.421756200000000092e+01,1.564121199999999989e+00,3.146724100000000135e+00,1.593641000000000085e-01
1.200000000000000000e+01,1.281716699999999953e+01,7.056002500000000399e-01,3.883962200000000031e+00,1.491993599999999986e+01,6.421913000000000693e+01,1.565689700000000073e+00,3.204291800000000023e+00,1.764001000000000041e-01
1.300000000000000000e+01,1.346104300000000009e+01,8.961493799999999954e-01,3.883962200000000031e+00,1.491993599999999986e+01,6.421913000000000693e+01,1.565689700000000073e+00,3.365260800000000163e+00,2.240372999999999948e-01
1.400000000000000000e+01,1.410491900000000065e+01,1.086698500000000012e+00,3.883962200000000031e+00,1.491993599999999986e+01,6.421913000000000693e+01,1.565689700000000073e+00,3.526229900000000139e+00,2.716745999999999883e-01
1.500000000000000000e+01,1.474879600000000046e+01,1.277247599999999927e+00,3.883962200000000031e+00,1.491993599999999986e+01,6.421913000000000693e+01,1.565689700000000073e+00,3.687198899999999835e+00,3.193118999999999819e-01
1.600000000000000000e+01,1.539267199999999924e+01,1.467796799999999902e+00,3.883962200000000031e+00,1.491993599999999986e+01,6.421913000000000693e+01,1.565689700000000073e+00,3.848167999999999811e+00,3.669491999999999754e-01
1.700000000000000000e+01,1.603654799999999980e+01,1.658345900000000039e+00,3.883962200000000031e+00,1.491993599999999986e+01,6.421913000000000693e+01,1.565689700000000073e+00,4.009136999999999951e+00,4.145865000000000244e-01
1.800000000000000000e+01,1.668042399999999859e+01,1.848894999999999955e+00,3.883962200000000031e+00,1.491993599999999986e+01,6.421913000000000693e+01,1.565689700000000073e+00,4.170106099999999927e+00,4.622238000000000180e-01
1.900000000000000000e+01,1.732430000000000092e+01,2.039444200000000151e+00,3.883962200000000031e+00,1.491993599999999986e+01,6.421913000000000693e+01,1.565689700000000073e+00,4.331075099999999622e+00,5.098610000000000086e-01
2.000000000000000000e+01,1.796817700000000073e+01,2.229993299999999845e+00,3.883962200000000031e+00,1.491993599999999986e+01,6.421913000000000693e+01,1.565689700000000073e+00,4.492044199999999599e+00,5.574983000000000022e-01
2.100000000000000000e+01,1.861205299999999951e+01,2.420542399999999983e+00,3.883962200000000031e+00,1.491993599999999986e+01,6.421913000000000693e+01,1.565689700000000073e+00,4.653013200000000182e+00,6.051355999999999957e-01
2.200000000000000000e+01,1.925592899999999830e+01,2.611091500000000121e+00,3.883962200000000031e+00,1.491993599999999986e+01,6.421913000000000693e+01,1.565689700000000073e+00,4.813982300000000158e+00,6.527728999999999893e-01
