# Untitled0,STA_IN,Y_IN,DELR_IN,R_IN,DY_over_DX,D2Y_over_DX2,DA_over_DX,DR_over_DX,MACH_NO,_____DM_over_DX,PE_over_PO,BETA
1.000000000000000000e+00,0.000000000000000000e+00,2.501559999999999895e-01,9.686000000000000165e-04,2.511248999999999842e-01,0.000000000000000000e+00,6.662498999999999505e-01,1.137599999999999896e-03,1.137599999999999896e-03,1.063974799999999998e+00,1.399140300000000003e+00,4.895300000000000207e-01,-5.647199999999999998e-01
2.000000000000000000e+00,7.713000000000000238e-03,2.501729999999999787e-01,9.771999999999999003e-04,2.511502999999999930e-01,4.786200000000000003e-03,6.562983999999999485e-01,1.112099999999999981e-03,5.898300000000000418e-03,1.075179799999999908e+00,1.420316099999999970e+00,4.828899999999999859e-01,-5.699800000000000422e-01
3.000000000000000000e+00,1.520499999999999977e-02,2.502280000000000060e-01,9.855000000000000478e-04,2.512134999999999785e-01,9.963400000000000728e-03,6.964447000000000276e-01,1.155500000000000060e-03,1.111889999999999927e-02,1.085584700000000069e+00,1.451013300000000061e+00,4.767700000000000271e-01,-5.792500000000000426e-01
4.000000000000000000e+00,2.305000000000000104e-02,2.503279999999999950e-01,9.950000000000000077e-04,2.513228000000000129e-01,1.547180000000000083e-02,6.978986999999999830e-01,1.220900000000000023e-03,1.669270000000000129e-02,1.097479799999999894e+00,1.478727499999999973e+00,4.698200000000000154e-01,-5.867900000000000338e-01
5.000000000000000000e+00,3.070499999999999965e-02,2.504669999999999952e-01,1.004399999999999911e-03,2.514712000000000058e-01,2.078220000000000067e-02,6.825223999999999736e-01,1.245400000000000023e-03,2.202770000000000075e-02,1.108518700000000079e+00,1.407046900000000100e+00,4.634199999999999986e-01,-5.555200000000000138e-01
6.000000000000000000e+00,3.819199999999999678e-02,2.506419999999999759e-01,1.013800000000000031e-03,2.516553999999999736e-01,2.581019999999999842e-02,6.626537999999999595e-01,1.319099999999999917e-03,2.712929999999999855e-02,1.118796700000000088e+00,1.473837300000000017e+00,4.575099999999999723e-01,-5.795299999999999896e-01
7.000000000000000000e+00,4.615699999999999664e-02,2.508679999999999799e-01,1.024799999999999973e-03,2.518928999999999752e-01,3.101289999999999950e-02,6.491141000000000272e-01,1.376400000000000063e-03,3.238930000000000281e-02,1.131392200000000070e+00,1.557523800000000014e+00,4.503199999999999981e-01,-6.088999999999999968e-01
8.000000000000000000e+00,5.407100000000000101e-02,2.511340000000000239e-01,1.035700000000000075e-03,2.521694999999999909e-01,3.611779999999999852e-02,6.506598000000000104e-01,1.419899999999999982e-03,3.753770000000000023e-02,1.143530799999999958e+00,1.504295799999999961e+00,4.434600000000000208e-01,-5.848900000000000210e-01
9.000000000000000000e+00,6.192700000000000288e-02,2.514370000000000216e-01,1.047200000000000084e-03,2.524845000000000006e-01,4.127310000000000006e-02,6.728722000000000314e-01,1.470799999999999972e-03,4.274390000000000134e-02,1.155118300000000042e+00,1.450355899999999920e+00,4.369700000000000251e-01,-5.616100000000000536e-01
1.000000000000000000e+01,6.973999999999999644e-02,2.517800000000000038e-01,1.058700000000000092e-03,2.528389999999999804e-01,4.665919999999999790e-02,7.071233000000000102e-01,1.549199999999999926e-03,4.820839999999999848e-02,1.166257600000000005e+00,1.545122200000000001e+00,4.307799999999999963e-01,-5.960999999999999632e-01
