# X_IN,Y_IN,DY_over_DX,ANGLE,D2Y_over_DX2
-1.716000000000000077e-03,2.511240000000000139e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.629503709999999828e-01
1.000000000000000056e-01,2.546410000000000062e-01,7.109595200000000392e-02,4.066655380000000264e+00,7.579043420000000086e-01
2.000000000000000111e-01,2.660480000000000067e-01,2.006943260000000062e-01,1.134817920000000058e+01,3.057801589999999958e+00
2.999999999999999889e-01,3.001150000000000206e-01,4.720142130000000158e-01,2.526797649999999962e+01,2.399751339999999900e+00
4.000000000000000222e-01,3.581099999999999839e-01,6.755466079999999929e-01,3.404085990000000095e+01,1.647557640000000045e+00
5.000000000000000000e-01,4.324839999999999796e-01,7.977621780000000440e-01,3.858154129999999782e+01,7.967537590000000058e-01
5.999999999999999778e-01,5.151259999999999728e-01,8.497351459999999967e-01,4.035572549999999836e+01,4.348122010000000093e-01
6.999999999999999556e-01,6.021980000000000111e-01,8.909426860000000392e-01,4.169920739999999881e+01,3.893385899999999844e-01
8.000000000000000444e-01,6.930129999999999901e-01,9.209300780000000408e-01,4.264290390000000031e+01,1.461156110000000063e-01
9.000000000000000222e-01,7.852729999999999988e-01,9.186171020000000187e-01,4.257111359999999678e+01,-1.923751170000000121e-01
1.000000000000000000e+00,8.756439999999999779e-01,8.851224359999999569e-01,4.151276219999999739e+01,-3.986795799999999779e-01
1.100000000000000089e+00,9.621450000000000280e-01,8.447066850000000127e-01,4.018800370000000299e+01,-4.096354249999999975e-01
1.199999999999999956e+00,1.044548999999999950e+00,8.031953509999999463e-01,3.877126859999999908e+01,-4.205912700000000171e-01
1.300000000000000044e+00,1.122775999999999996e+00,7.617668539999999933e-01,3.729894860000000278e+01,-3.988574140000000212e-01
1.399999999999999911e+00,1.197014999999999940e+00,7.236003690000000210e-01,3.588951289999999972e+01,-3.644723000000000268e-01
1.500000000000000000e+00,1.267609999999999904e+00,6.888723939999999990e-01,3.456188370000000276e+01,-3.300871859999999769e-01
1.600000000000000089e+00,1.334902000000000033e+00,6.574471459999999823e-01,3.332280540000000002e+01,-3.007094869999999975e-01
1.699999999999999956e+00,1.399184999999999901e+00,6.286338009999999921e-01,3.215485670000000340e+01,-2.755574069999999764e-01
1.800000000000000044e+00,1.460712999999999928e+00,6.023356650000000201e-01,3.106205489999999969e+01,-2.504053270000000109e-01
1.899999999999999911e+00,1.519735999999999976e+00,5.785527360000000119e-01,3.005164530000000056e+01,-2.252532459999999903e-01
2.000000000000000000e+00,1.576511999999999913e+00,5.574833740000000315e-01,2.913894000000000162e+01,-1.950474919999999890e-01
2.100000000000000089e+00,1.631337999999999955e+00,5.395581160000000320e-01,2.834944060000000121e+01,-1.634576809999999936e-01
2.200000000000000178e+00,1.684528999999999943e+00,5.247918379999999550e-01,2.769012220000000113e+01,-1.318678709999999976e-01
2.299999999999999822e+00,1.736402000000000001e+00,5.131845419999999658e-01,2.716619359999999972e+01,-1.002780610000000017e-01
2.399999999999999911e+00,1.787269999999999914e+00,5.045774200000000542e-01,2.677448030000000045e+01,-7.798515920000000101e-02
2.500000000000000000e+00,1.837345000000000006e+00,4.969977320000000254e-01,2.642727209999999971e+01,-7.360860950000000513e-02
2.600000000000000089e+00,1.886684000000000028e+00,4.898556980000000061e-01,2.609818650000000062e+01,-6.923205979999999538e-02
2.700000000000000178e+00,1.935329999999999995e+00,4.831513199999999952e-01,2.578757219999999961e+01,-6.485551019999999389e-02
2.799999999999999822e+00,1.983328999999999898e+00,4.768845959999999939e-01,2.549575520000000139e+01,-6.047896049999999801e-02
2.899999999999999911e+00,2.030721999999999916e+00,4.710533889999999890e-01,2.522293910000000139e+01,-5.643027710000000224e-02
3.000000000000000000e+00,2.077548000000000172e+00,4.655035539999999861e-01,2.496214529999999954e+01,-5.456640959999999735e-02
