# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,1.970850400000000135e+01,0.000000000000000000e+00,5.000000000000000000e+00,1.153695899999999952e+01,7.692021599999999637e+01,0.000000000000000000e+00,4.927126000000000339e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.939455200000000090e+01,6.408181799999999873e-02,4.999835299999999982e+00,1.153734399999999916e+01,7.691867399999999577e+01,1.541100500000000062e-03,4.848638099999999618e+00,1.602050000000000002e-02
3.000000000000000000e+00,1.908264399999999839e+01,1.277210900000000093e-01,4.998722899999999747e+00,1.153994699999999973e+01,7.690826400000000262e+01,1.195138299999999945e-02,4.770661099999999877e+00,3.193030000000000174e-02
4.000000000000000000e+00,1.877195899999999895e+01,1.910313499999999887e-01,4.995823099999999961e+00,1.154673700000000025e+01,7.688110799999999756e+01,3.910701300000000297e-02,4.692989700000000042e+00,4.775780000000000303e-02
5.000000000000000000e+00,1.846122099999999833e+01,2.541872000000000020e-01,4.990405700000000166e+00,1.155944500000000019e+01,7.683030800000000227e+01,8.990779000000000132e-02,4.615305300000000166e+00,6.354680000000000051e-02
6.000000000000000000e+00,1.814879699999999829e+01,3.174064400000000119e-01,4.981840199999999719e+00,1.157959499999999942e+01,7.674980300000000000e+01,1.704125099999999893e-01,4.537199199999999877e+00,7.935159999999999436e-02
7.000000000000000000e+00,1.783277599999999907e+01,3.809315600000000024e-01,4.969585600000000269e+00,1.160854600000000048e+01,7.663423400000000640e+01,2.859813700000000125e-01,4.458193999999999768e+00,9.523289999999999533e-02
8.000000000000000000e+00,1.751105199999999940e+01,4.450101499999999932e-01,4.953180599999999600e+00,1.164753100000000074e+01,7.647880000000000678e+01,4.414158699999999880e-01,4.377763100000000129e+00,1.112525000000000042e-01
9.000000000000000000e+00,1.718139000000000038e+01,5.098748800000000303e-01,4.932234600000000135e+00,1.169769199999999998e+01,7.627912499999999341e+01,6.410902600000000229e-01,4.295347399999999816e+00,1.274686999999999903e-01
1.000000000000000000e+01,1.684148700000000076e+01,5.757228100000000293e-01,4.906419999999999781e+00,1.176011500000000076e+01,7.603114499999999509e+01,8.890708299999999786e-01,4.210371699999999606e+00,1.439306999999999948e-01
1.100000000000000000e+01,1.648903400000000019e+01,6.426946500000000340e-01,4.875464700000000207e+00,1.183586000000000027e+01,7.573099399999999548e+01,1.189221099999999920e+00,4.122258500000000048e+00,1.606737000000000026e-01
1.200000000000000000e+01,1.612177000000000149e+01,7.108539699999999462e-01,4.839147600000000438e+00,1.192598599999999998e+01,7.537492299999999545e+01,1.545292300000000063e+00,4.030442599999999764e+00,1.777134999999999965e-01
1.300000000000000000e+01,1.573753400000000013e+01,7.801669799999999544e-01,4.797293899999999667e+00,1.203158400000000050e+01,7.495921699999999532e+01,1.960998100000000077e+00,3.934383599999999870e+00,1.950417000000000123e-01
1.400000000000000000e+01,1.533431900000000070e+01,8.504831099999999866e-01,4.749772799999999684e+00,1.215378800000000048e+01,7.448014200000000073e+01,2.440073899999999796e+00,3.833579700000000035e+00,2.126207999999999987e-01
1.500000000000000000e+01,1.491032399999999924e+01,9.215170299999999592e-01,4.696496299999999735e+00,1.229380199999999945e+01,7.393389600000000428e+01,2.986319299999999899e+00,3.727581100000000092e+00,2.303793000000000091e-01
1.600000000000000000e+01,1.446401299999999956e+01,9.928330199999999550e-01,4.637419000000000402e+00,1.245291300000000057e+01,7.331659299999999746e+01,3.603622800000000126e+00,3.616003200000000195e+00,2.482082999999999928e-01
1.700000000000000000e+01,1.399416699999999913e+01,1.063832499999999959e+00,4.572539899999999768e+00,1.263250299999999982e+01,7.262424900000000605e+01,4.295966499999999577e+00,3.498541799999999924e+00,2.659580999999999751e-01
1.800000000000000000e+01,1.349994799999999984e+01,1.133746200000000037e+00,4.501905299999999777e+00,1.283406199999999941e+01,7.185280799999999601e+01,5.067407600000000123e+00,3.374986999999999959e+00,2.834364999999999801e-01
1.900000000000000000e+01,1.298095400000000055e+01,1.201631899999999975e+00,4.425612199999999774e+00,1.305918499999999938e+01,7.099818299999999738e+01,5.922032699999999927e+00,3.245238599999999973e+00,3.004080000000000084e-01
2.000000000000000000e+01,1.243728199999999973e+01,1.266380700000000026e+00,4.343814100000000344e+00,1.330957899999999938e+01,7.005633600000000172e+01,6.863879100000000122e+00,3.109320600000000212e+00,3.165952000000000210e-01
2.100000000000000000e+01,1.186957999999999913e+01,1.326732199999999917e+00,4.256726399999999799e+00,1.358704299999999954e+01,6.902339999999999520e+01,7.896815799999999719e+00,2.967395100000000063e+00,3.316830000000000056e-01
2.200000000000000000e+01,1.127909700000000015e+01,1.381300999999999890e+00,4.164633799999999830e+00,1.389345499999999944e+01,6.789583799999999769e+01,9.024377599999999333e+00,2.819774199999999897e+00,3.453253000000000017e-01
2.300000000000000000e+01,1.066771600000000042e+01,1.428616799999999909e+00,4.067897099999999710e+00,1.423072799999999916e+01,6.667067400000000532e+01,1.024954100000000068e+01,2.666929099999999941e+00,3.571541999999999772e-01
2.400000000000000000e+01,1.003797899999999998e+01,1.467177299999999907e+00,3.966960999999999959e+00,1.460075699999999976e+01,6.534577799999999570e+01,1.157443699999999964e+01,2.509494800000000136e+00,3.667943000000000175e-01
2.500000000000000000e+01,9.393077399999999244e+00,1.495515099999999986e+00,3.862361200000000050e+00,1.500533500000000053e+01,6.392022899999999908e+01,1.299998599999999982e+01,2.348269300000000115e+00,3.738788000000000111e-01
2.600000000000000000e+01,8.736819399999999902e+00,1.512276799999999977e+00,3.754731000000000041e+00,1.544603599999999943e+01,6.239475500000000352e+01,1.452546099999999996e+01,2.184204900000000116e+00,3.780691999999999942e-01
2.700000000000000000e+01,8.073563999999999297e+00,1.516309600000000035e+00,3.644805499999999920e+00,1.592406000000000077e+01,6.077224999999999966e+01,1.614796600000000026e+01,2.018390999999999824e+00,3.790774000000000088e-01
2.800000000000000000e+01,7.408112700000000217e+00,1.506750800000000057e+00,3.533425199999999933e+00,1.644002400000000108e+01,5.905836200000000247e+01,1.786185400000000101e+01,1.852028199999999902e+00,3.766877000000000142e-01
2.900000000000000000e+01,6.745564800000000361e+00,1.483112200000000103e+00,3.421535299999999946e+00,1.699369499999999888e+01,5.726212199999999797e+01,1.965809399999999840e+01,1.686391200000000090e+00,3.707779999999999965e-01
3.000000000000000000e+01,6.091134699999999569e+00,1.445348300000000030e+00,3.310182499999999806e+00,1.758366600000000091e+01,5.539658099999999763e+01,2.152363400000000127e+01,1.522783699999999962e+00,3.613371000000000222e-01
3.100000000000000000e+01,5.449940800000000252e+00,1.393899900000000081e+00,3.200508099999999967e+00,1.820696500000000029e+01,5.347940700000000191e+01,2.344080900000000156e+01,1.362485200000000063e+00,3.484749999999999792e-01
3.200000000000000000e+01,4.826776899999999593e+00,1.329702200000000056e+00,3.093736400000000053e+00,1.885860100000000017e+01,5.153335100000000324e+01,2.538686500000000024e+01,1.206694200000000050e+00,3.324254999999999849e-01
3.300000000000000000e+01,4.225881700000000407e+00,1.254150300000000051e+00,2.991160999999999959e+00,1.953109200000000101e+01,4.958652899999999875e+01,2.733368700000000118e+01,1.056470400000000032e+00,3.135376000000000274e-01
3.400000000000000000e+01,3.650727900000000137e+00,1.169022199999999900e+00,2.894127300000000069e+00,2.021398800000000051e+01,4.767241400000000340e+01,2.924780200000000008e+01,9.126819999999999933e-01,2.922555000000000014e-01
3.500000000000000000e+01,3.103852900000000137e+00,1.076362800000000064e+00,2.804014200000000123e+00,2.089347300000000018e+01,4.582948199999999872e+01,3.109073400000000120e+01,7.759631999999999641e-01,2.690907000000000160e-01
3.600000000000000000e+01,2.586764699999999806e+00,9.783459399999999695e-01,2.722215600000000180e+00,2.155214399999999841e+01,4.410046499999999980e+01,3.281975099999999657e+01,6.466912000000000216e-01,2.445865000000000122e-01
3.700000000000000000e+01,2.099983700000000120e+00,8.771433100000000094e-01,2.650121500000000019e+00,2.216908700000000110e+01,4.253120400000000245e+01,3.438901200000000102e+01,5.249958999999999598e-01,2.192858000000000029e-01
3.800000000000000000e+01,1.643392799999999987e+00,7.748660000000000547e-01,2.589100800000000202e+00,2.272040000000000148e+01,4.116912099999999697e+01,3.575109499999999940e+01,4.108481999999999967e-01,1.937165000000000137e-01
3.900000000000000000e+01,1.217508699999999999e+00,6.737590700000000155e-01,2.540483399999999836e+00,2.318030100000000004e+01,4.006137199999999865e+01,3.685884300000000025e+01,3.043772000000000144e-01,1.684398000000000006e-01
4.000000000000000000e+01,8.287018099999999832e-01,5.774552800000000152e-01,2.505564099999999961e+00,2.352265900000000087e+01,3.925329099999999727e+01,3.766692400000000163e+01,2.071755000000000124e-01,1.443637999999999866e-01
4.100000000000000000e+01,5.336743000000000459e-01,5.024133899999999597e-01,2.486586200000000080e+00,2.371314100000000025e+01,3.880972799999999978e+01,3.811048799999999659e+01,1.334185999999999983e-01,1.256033000000000011e-01
