# POINT,X,X_IN,Mach,DM_over_DX,D2M_over_DX2,D3M_over_DX3,W_Q_over_Astar,DW_over_DX,D2W_over_DX2,D3W_over_DX3
1.000000000000000000e+00,1.970850000000000080e+01,4.927130000000000010e+00,5.000000000000000000e+00,-4.580223999999999703e-17,-1.889570999999999850e-17,8.144583000000000378e-03,2.236067999999999945e+00,-3.413897999999999813e-18,-1.408403000000000031e-18,6.070614000000000218e-04
2.000000000000000000e+00,1.908064999999999856e+01,4.770159999999999734e+00,4.999671000000000198e+00,1.563534000000000104e-03,-4.914116999999999964e-03,7.509222000000000292e-03,2.236043000000000003e+00,1.165582000000000049e-04,-3.664281000000000027e-04,5.606558999999999458e-04
3.000000000000000000e+00,1.845761999999999858e+01,4.614399999999999835e+00,4.997446000000000055e+00,6.041875999999999844e-03,-9.396236999999999992e-03,6.878729999999999567e-03,2.235878000000000032e+00,4.509102999999999983e-04,-7.026117999999999600e-04,5.197281000000000427e-04
4.000000000000000000e+00,1.783947999999999823e+01,4.459869999999999557e+00,4.991652000000000200e+00,1.312437999999999973e-02,-1.345491000000000048e-02,6.253197000000000269e-03,2.235444000000000209e+00,9.823272999999999554e-04,-1.013519999999999959e-03,4.879379000000000095e-04
5.000000000000000000e+00,1.722633000000000081e+01,4.306580000000000297e+00,4.980840999999999852e+00,2.251076000000000119e-02,-1.709880999999999901e-02,5.632714999999999944e-03,2.234633000000000091e+00,1.694023999999999920e-03,-1.305869000000000084e-03,4.677171000000000150e-04
6.000000000000000000e+00,1.661827999999999861e+01,4.154569999999999652e+00,4.963786999999999949e+00,3.391119000000000078e-02,-2.033673999999999898e-02,5.017383000000000259e-03,2.233344000000000218e+00,2.573886000000000056e-03,-1.587428000000000103e-03,4.606659999999999835e-04
7.000000000000000000e+00,1.601540999999999926e+01,4.003849999999999909e+00,4.939470000000000027e+00,4.704636999999999708e-02,-2.317765999999999924e-02,4.407303999999999909e-03,2.231486999999999998e+00,3.614823000000000081e-03,-1.866585000000000032e-03,4.679021999999999804e-04
8.000000000000000000e+00,1.541783999999999999e+01,3.854459999999999997e+00,4.907066999999999624e+00,6.164755999999999708e-02,-2.563065000000000135e-02,3.802583999999999912e-03,2.228976999999999986e+00,4.814879999999999681e-03,-2.152105000000000077e-03,4.903468999999999927e-04
9.000000000000000000e+00,1.482568000000000019e+01,3.706420000000000048e+00,4.865941000000000294e+00,7.745672000000000668e-02,-2.770496999999999890e-02,3.203338000000000019e-03,2.225731000000000126e+00,6.177254000000000078e-03,-2.453058000000000148e-03,5.289478999999999709e-04
1.000000000000000000e+01,1.423903999999999925e+01,3.559759999999999813e+00,4.815631999999999913e+00,9.422658000000000422e-02,-2.941003000000000020e-02,2.609684000000000136e-03,2.221667000000000058e+00,7.710261999999999845e-03,-2.778849999999999810e-03,5.848485999999999962e-04
1.100000000000000000e+01,1.365806000000000076e+01,3.414509999999999934e+00,4.755843999999999738e+00,1.117207000000000061e-01,-3.075543000000000027e-02,2.021747999999999861e-03,2.216699000000000197e+00,9.427352999999999428e-03,-3.139341999999999827e-03,6.595120000000000106e-04
1.200000000000000000e+01,1.308285000000000053e+01,3.270709999999999784e+00,4.686435000000000350e+00,1.297136999999999873e-01,-3.175092999999999666e-02,1.439664000000000004e-03,2.210735000000000117e+00,1.134716000000000023e-02,-3.545015999999999792e-03,7.548083999999999610e-04
1.300000000000000000e+01,1.251356999999999964e+01,3.128390000000000004e+00,4.607406000000000112e+00,1.479910999999999865e-01,-3.240653000000000283e-02,8.635704999999999814e-04,2.203676999999999886e+00,1.349362999999999951e-02,-4.007166000000000373e-03,8.730708000000000435e-04
1.400000000000000000e+01,1.195035999999999987e+01,2.987589999999999968e+00,4.518894000000000410e+00,1.663497999999999921e-01,-3.273240000000000177e-02,2.936179999999999931e-04,2.195415000000000116e+00,1.589623000000000078e-02,-4.538099000000000299e-03,1.017117000000000108e-03
1.500000000000000000e+01,1.139337000000000089e+01,2.848339999999999872e+00,4.421157000000000004e+00,1.845978000000000063e-01,-3.273896999999999918e-02,-2.700356999999999801e-04,2.185826000000000047e+00,1.859020999999999937e-02,-5.151311999999999905e-03,1.190230999999999928e-03
1.600000000000000000e+01,1.084276999999999980e+01,2.710690000000000044e+00,4.314567000000000263e+00,2.025547000000000042e-01,-3.243689999999999768e-02,-8.272216000000000421e-04,2.174774999999999903e+00,2.161686000000000163e-02,-5.861619999999999678e-03,1.396078999999999940e-03
1.700000000000000000e+01,1.029874000000000045e+01,2.574679999999999858e+00,4.199596999999999802e+00,2.200517999999999919e-01,-3.183711000000000180e-02,-1.377760000000000009e-03,2.162109000000000059e+00,2.502379999999999882e-02,-6.685199000000000176e-03,1.638548000000000088e-03
1.800000000000000000e+01,9.761469999999999203e+00,2.440370000000000150e+00,4.076813999999999716e+00,2.369319000000000008e-01,-3.095082000000000041e-02,-1.921456999999999896e-03,2.147654999999999870e+00,2.886510999999999938e-02,-7.639487000000000361e-03,1.921451000000000018e-03
1.900000000000000000e+01,9.231159999999999144e+00,2.307789999999999786e+00,3.946867000000000125e+00,2.530498999999999943e-01,-2.978957000000000133e-02,-2.458107000000000174e-03,2.131224000000000007e+00,3.320127999999999968e-02,-8.742859000000000394e-03,2.248047999999999887e-03
2.000000000000000000e+01,8.708040000000000447e+00,2.177010000000000112e+00,3.810477000000000114e+00,2.682729999999999837e-01,-2.836522000000000002e-02,-2.987487000000000042e-03,2.112604000000000148e+00,3.809884000000000187e-02,-1.001400000000000033e-02,2.620323999999999830e-03
2.100000000000000000e+01,8.192349999999999355e+00,2.048090000000000188e+00,3.668428000000000022e+00,2.824805000000000232e-01,-2.669001000000000012e-02,-3.509355999999999934e-03,2.091562000000000143e+00,4.362942999999999683e-02,-1.147081999999999963e-02,3.037932000000000132e-03
2.200000000000000000e+01,7.684330000000000105e+00,1.921079999999999899e+00,3.521558000000000188e+00,2.955646000000000106e-01,-2.477661000000000099e-02,-4.023452000000000278e-03,2.067848999999999826e+00,4.986808999999999686e-02,-1.312878999999999956e-02,3.496725000000000007e-03
2.300000000000000000e+01,7.184269999999999712e+00,1.796070000000000055e+00,3.370747999999999855e+00,3.074300999999999839e-01,-2.263812999999999936e-02,-4.529491000000000073e-03,2.041195000000000093e+00,5.689050999999999830e-02,-1.499855999999999932e-02,3.986830000000000235e-03
2.400000000000000000e+01,6.692479999999999762e+00,1.673119999999999941e+00,3.216912000000000216e+00,3.179954999999999865e-01,-2.028821000000000097e-02,-5.027163000000000291e-03,2.011321999999999832e+00,6.476891999999999372e-02,-1.708263000000000142e-02,4.490263999999999887e-03
2.500000000000000000e+01,6.209299999999999820e+00,1.552329999999999988e+00,3.060991000000000017e+00,3.271924999999999972e-01,-1.774105000000000126e-02,-5.516125000000000195e-03,1.977945999999999982e+00,7.356630000000000114e-02,-1.937113000000000029e-02,4.978223000000000370e-03
2.600000000000000000e+01,5.735100000000000087e+00,1.433780000000000054e+00,2.903941999999999801e+00,3.349672000000000205e-01,-1.501152000000000042e-02,-5.995999000000000120e-03,1.940792000000000073e+00,8.332863999999999549e-02,-2.183678000000000008e-02,5.408391999999999714e-03
2.700000000000000000e+01,5.270290000000000141e+00,1.317569999999999908e+00,2.746728000000000058e+00,3.412799999999999723e-01,-1.211522999999999940e-02,-6.466366000000000301e-03,1.899610000000000021e+00,9.407530999999999533e-02,-2.442926999999999946e-02,5.722889000000000101e-03
2.800000000000000000e+01,4.815349999999999575e+00,1.203840000000000021e+00,2.590313999999999783e+00,3.461065999999999865e-01,-9.068669999999999162e-03,-6.926752999999999903e-03,1.854192000000000062e+00,1.057878000000000013e-01,-2.706994000000000067e-02,5.847802000000000035e-03
2.900000000000000000e+01,4.370790000000000397e+00,1.092700000000000005e+00,2.435656999999999961e+00,3.494388999999999967e-01,-5.889334999999999883e-03,-7.376628999999999999e-03,1.804402999999999979e+00,1.183973999999999999e-01,-2.964792999999999942e-02,5.695567000000000338e-03
3.000000000000000000e+01,3.937219999999999942e+00,9.843100000000000183e-01,2.283698999999999923e+00,3.512853000000000225e-01,-2.595932000000000014e-03,-7.815386000000000555e-03,1.750207000000000068e+00,1.317741000000000051e-01,-3.201936999999999839e-02,5.171442000000000053e-03
3.100000000000000000e+01,3.515330000000000066e+00,8.788300000000000001e-01,2.135362000000000204e+00,3.516721999999999904e-01,7.913767000000000154e-04,-8.242324999999999999e-03,1.691699999999999982e+00,1.457177000000000056e-01,-3.401172999999999697e-02,4.184914999999999989e-03
3.200000000000000000e+01,3.105929999999999858e+00,7.764799999999999480e-01,1.991548000000000096e+00,3.506459000000000104e-01,4.250639999999999974e-03,-8.656629000000000754e-03,1.629148000000000041e+00,1.599548000000000081e-01,-3.543472000000000288e-02,2.665713000000000110e-03
3.300000000000000000e+01,2.709970000000000212e+00,6.774900000000000366e-01,1.853129000000000026e+00,3.482737000000000194e-01,7.757654000000000112e-03,-9.057327000000000433e-03,1.563012000000000068e+00,1.741441999999999990e-01,-3.609878999999999866e-02,5.822988999999999553e-04
3.400000000000000000e+01,2.328609999999999847e+00,5.821499999999999453e-01,1.720962000000000103e+00,3.446473999999999926e-01,1.128529999999999985e-02,-9.443244999999999417e-03,1.493975999999999971e+00,1.878932000000000102e-01,-3.584007000000000165e-02,-2.041270999999999884e-03
3.500000000000000000e+01,1.963300000000000045e+00,4.908199999999999785e-01,1.595888999999999891e+00,3.398863999999999774e-01,1.480253999999999945e-02,-9.812925999999999593e-03,1.422968000000000011e+00,2.007842999999999989e-01,-3.454888999999999877e-02,-5.115530000000000077e-03
3.600000000000000000e+01,1.615869999999999918e+00,4.039699999999999958e-01,1.478766999999999943e+00,3.341443000000000052e-01,1.827287999999999829e-02,-1.016450999999999986e-02,1.351167000000000007e+00,2.124128999999999878e-01,-3.219709999999999933e-02,-8.487664000000000666e-03
3.700000000000000000e+01,1.288790000000000102e+00,3.221999999999999864e-01,1.370511999999999952e+00,3.276180000000000203e-01,2.165161999999999989e-02,-1.049549999999999962e-02,1.280022999999999911e+00,2.224289999999999878e-01,-2.885951999999999962e-02,-1.195731000000000051e-02
3.800000000000000000e+01,9.855500000000000371e-01,2.463899999999999979e-01,1.272208999999999923e+00,3.205650999999999917e-01,2.488080999999999973e-02,-1.080237000000000037e-02,1.211305999999999994e+00,2.305795999999999957e-01,-2.472765000000000032e-02,-1.530288999999999955e-02
