# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,3.169112199999999935e-01,0.000000000000000000e+00,1.063974799999999998e+00,7.003005600000000186e+01,6.992402500000000076e-01,0.000000000000000000e+00,7.922780000000000100e-02,0.000000000000000000e+00
2.000000000000000000e+00,3.020044199999999956e-01,4.169273200000000318e-02,1.059648399999999935e+00,7.068411000000000399e+01,6.312381599999999926e-01,6.800209100000000062e-02,7.550110000000000154e-02,1.042320000000000052e-02
3.000000000000000000e+00,2.875611000000000139e-01,8.338546400000000636e-02,1.055797499999999944e+00,7.128946799999999939e+01,5.724943700000000302e-01,1.267458700000000105e-01,7.189030000000000420e-02,2.084640000000000104e-02
4.000000000000000000e+00,2.735444300000000051e-01,1.250782000000000005e-01,1.052404799999999918e+00,7.184272799999999393e+01,5.221992699999999932e-01,1.770409799999999867e-01,6.838610000000000522e-02,3.126949999999999869e-02
5.000000000000000000e+00,2.599150100000000019e-01,1.667709300000000117e-01,1.049453699999999934e+00,7.234060399999999902e+01,4.796105199999999846e-01,2.196297299999999952e-01,6.497880000000000322e-02,4.169269999999999921e-02
6.000000000000000000e+00,2.466310100000000116e-01,2.084636599999999951e-01,1.046928199999999975e+00,7.278004799999999364e+01,4.440541599999999756e-01,2.551860799999999818e-01,6.165779999999999872e-02,5.211589999999999973e-02
7.000000000000000000e+00,2.336484100000000008e-01,2.501563900000000062e-01,1.044812800000000097e+00,7.315837600000000407e+01,4.149258200000000008e-01,2.843144300000000069e-01,5.841210000000000152e-02,6.253910000000000025e-02
8.000000000000000000e+00,2.209213600000000111e-01,2.918491200000000174e-01,1.043092499999999978e+00,7.347339599999999393e+01,3.916916500000000023e-01,3.075486000000000053e-01,5.523030000000000300e-02,7.296229999999999383e-02
9.000000000000000000e+00,2.084025999999999934e-01,3.335418499999999731e-01,1.041752999999999929e+00,7.372352800000000173e+01,3.738889300000000082e-01,3.253513199999999994e-01,5.210069999999999979e-02,8.338550000000000129e-02
1.000000000000000000e+01,1.960439599999999893e-01,3.752345899999999790e-01,1.040780500000000108e+00,7.390789999999999793e+01,3.611260499999999762e-01,3.381141999999999759e-01,4.901099999999999901e-02,9.380860000000000587e-02
1.100000000000000000e+01,1.837968799999999958e-01,4.169273199999999902e-01,1.040162100000000089e+00,7.402640499999999690e+01,3.530816700000000141e-01,3.461585699999999988e-01,4.594920000000000254e-02,1.042317999999999995e-01
1.200000000000000000e+01,1.716130399999999945e-01,4.586200500000000013e-01,1.039885600000000077e+00,7.407971499999999310e+01,3.495031299999999952e-01,3.497371100000000177e-01,4.290329999999999838e-02,1.146550000000000069e-01
1.300000000000000000e+01,1.594448699999999886e-01,5.003127800000000125e-01,1.039939799999999970e+00,7.406924600000000680e+01,3.502039299999999966e-01,3.490363100000000163e-01,3.986119999999999941e-02,1.250782000000000005e-01
1.400000000000000000e+01,1.472461100000000134e-01,5.420055099999999682e-01,1.040314600000000089e+00,7.399708300000000349e+01,3.550606099999999987e-01,3.441796400000000089e-01,3.681149999999999700e-02,1.355013999999999941e-01
1.500000000000000000e+01,1.349722499999999881e-01,5.836982400000000348e-01,1.041001099999999902e+00,7.386586900000000355e+01,3.640090200000000165e-01,3.352312299999999912e-01,3.374309999999999810e-02,1.459245999999999877e-01
1.600000000000000000e+01,1.225808899999999979e-01,6.253909800000000407e-01,1.041991499999999959e+00,7.367866600000000687e+01,3.770403700000000136e-01,3.221998799999999941e-01,3.064520000000000091e-02,1.563477000000000061e-01
1.700000000000000000e+01,1.100319800000000015e-01,6.670837099999999964e-01,1.043279499999999915e+00,7.343882000000000687e+01,3.941971499999999962e-01,3.050431000000000115e-01,2.750800000000000120e-02,1.667708999999999997e-01
1.800000000000000000e+01,9.728801500000000546e-02,7.087764399999999521e-01,1.044859999999999900e+00,7.314982600000000446e+01,4.155692100000000222e-01,2.836710399999999854e-01,2.432199999999999987e-02,1.771940999999999933e-01
1.900000000000000000e+01,8.431409300000000662e-02,7.504691700000000187e-01,1.046729299999999974e+00,7.281520500000000595e+01,4.412901399999999974e-01,2.579501000000000155e-01,2.107850000000000001e-02,1.876172999999999869e-01
2.000000000000000000e+01,7.107788700000000626e-02,7.921618999999999744e-01,1.048885199999999962e+00,7.243840899999999294e+01,4.715341200000000010e-01,2.277061300000000066e-01,1.776950000000000057e-02,1.980405000000000082e-01
2.100000000000000000e+01,5.754958699999999927e-02,8.338546399999999803e-01,1.051326699999999947e+00,7.202274300000000551e+01,5.065131999999999968e-01,1.927270500000000109e-01,1.438739999999999984e-02,2.084637000000000018e-01
2.200000000000000000e+01,4.370178100000000204e-02,8.755473700000000470e-01,1.054054100000000105e+00,7.157131800000000510e+01,5.464751500000000206e-01,1.527650899999999923e-01,1.092540000000000004e-02,2.188867999999999925e-01
2.300000000000000000e+01,2.950930800000000145e-02,9.172401000000000026e-01,1.057069100000000095e+00,7.108701200000000142e+01,5.917018299999999842e-01,1.075384199999999957e-01,7.377299999999999830e-03,2.293100000000000138e-01
2.400000000000000000e+01,1.494909600000000026e-02,9.589328299999999583e-01,1.060374699999999892e+00,7.057246200000000158e+01,6.425079299999999494e-01,5.673232200000000169e-02,3.737299999999999824e-03,2.397332000000000074e-01
2.500000000000000000e+01,0.000000000000000000e+00,1.000625600000000004e+00,1.063974799999999998e+00,7.003005600000000186e+01,6.992402500000000076e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.501564000000000010e-01
