# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,2.347679499999999919e+01,0.000000000000000000e+00,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,5.869198700000000102e+00,0.000000000000000000e+00
2.000000000000000000e+00,2.872039200000000037e+01,8.863297300000000378e-01,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,7.180098000000000091e+00,2.215824000000000127e-01
3.000000000000000000e+00,3.396398899999999799e+01,1.772659500000000055e+00,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,8.490997399999999473e+00,4.431648999999999727e-01
4.000000000000000000e+00,3.920758699999999664e+01,2.658989200000000164e+00,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,9.801896700000000351e+00,6.647473000000000409e-01
5.000000000000000000e+00,4.445118399999999781e+01,3.545318899999999829e+00,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,1.111279610000000062e+01,8.863296999999999981e-01
6.000000000000000000e+00,4.969478199999999646e+01,4.431648700000000218e+00,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,1.242369539999999972e+01,1.107912199999999903e+00
7.000000000000000000e+00,5.493837899999999763e+01,5.317978400000000327e+00,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,1.373459479999999999e+01,1.329494600000000082e+00
8.000000000000000000e+00,6.018197700000000339e+01,6.204308100000000437e+00,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,1.504549410000000087e+01,1.551077000000000039e+00
9.000000000000000000e+00,6.542557399999999745e+01,7.090637899999999938e+00,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,1.635639349999999936e+01,1.772659500000000055e+00
1.000000000000000000e+01,7.066917100000000573e+01,7.976967600000000047e+00,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,1.766729279999999846e+01,1.994241900000000012e+00
1.100000000000000000e+01,7.591276899999999728e+01,8.863297299999999268e+00,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,1.897819219999999873e+01,2.215824299999999969e+00
1.200000000000000000e+01,8.115636600000000556e+01,9.749627099999999658e+00,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,2.028909150000000139e+01,2.437406800000000207e+00
1.300000000000000000e+01,8.639996399999999710e+01,1.063595699999999944e+01,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,2.159999090000000166e+01,2.658989200000000164e+00
1.400000000000000000e+01,9.164356100000000538e+01,1.152228700000000039e+01,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,2.291089020000000076e+01,2.880571600000000121e+00
1.500000000000000000e+01,9.688715799999999945e+01,1.240861600000000031e+01,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,2.422178960000000103e+01,3.102154099999999914e+00
1.600000000000000000e+01,1.021307599999999951e+02,1.329494599999999949e+01,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,2.553268890000000013e+01,3.323736499999999872e+00
1.700000000000000000e+01,1.073743500000000068e+02,1.418127600000000044e+01,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,2.684358830000000040e+01,3.545318899999999829e+00
1.800000000000000000e+01,1.126179499999999933e+02,1.506760500000000036e+01,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,2.815448770000000067e+01,3.766901400000000066e+00
1.900000000000000000e+01,1.178615499999999940e+02,1.595393499999999953e+01,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,2.946538699999999977e+01,3.988483800000000024e+00
2.000000000000000000e+01,1.231051499999999947e+02,1.684026499999999871e+01,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,3.077628640000000004e+01,4.210066199999999981e+00
2.100000000000000000e+01,1.283487399999999923e+02,1.772659499999999966e+01,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,3.208718569999999914e+01,4.431648700000000218e+00
2.200000000000000000e+01,1.335923400000000072e+02,1.861292399999999958e+01,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,3.339808510000000297e+01,4.653231100000000175e+00
2.300000000000000000e+01,1.388359399999999937e+02,1.949925400000000053e+01,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,3.470898439999999852e+01,4.874813500000000133e+00
2.400000000000000000e+01,1.440795400000000086e+02,2.038558400000000148e+01,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,3.601988380000000234e+01,5.096396000000000370e+00
2.500000000000000000e+01,1.493231299999999919e+02,2.127191399999999888e+01,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,3.733078309999999789e+01,5.317978400000000327e+00
2.600000000000000000e+01,1.545667300000000068e+02,2.215824299999999880e+01,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,3.864168250000000171e+01,5.539560800000000285e+00
2.700000000000000000e+01,1.598103299999999933e+02,2.304457299999999975e+01,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,3.995258179999999726e+01,5.761143299999999634e+00
2.800000000000000000e+01,1.650539200000000051e+02,2.393090300000000070e+01,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,4.126348120000000108e+01,5.982725699999999591e+00
2.900000000000000000e+01,1.702975199999999916e+02,2.481723300000000165e+01,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,4.257438049999999663e+01,6.204308100000000437e+00
3.000000000000000000e+01,1.755411200000000065e+02,2.570356200000000158e+01,6.000000000000000000e+00,9.594068200000000601e+00,8.495549800000000573e+01,0.000000000000000000e+00,4.388527990000000045e+01,6.425890599999999786e+00
