# POINT,X,Y,Mach,FLOW_ANG__D,WALTAN,SECDIF
1.000000000000000000e+00,0.000000000000000000e+00,1.000625600000000004e+00,1.063974799999999998e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.665624699999999903e-01
2.000000000000000000e+00,3.104936999999999975e-02,1.000687700000000069e+00,1.075402500000000039e+00,2.660474800000000029e-01,4.643437900000000132e-03,1.616592900000000110e-01
3.000000000000000000e+00,6.094551200000000030e-02,1.000902600000000087e+00,1.085733499999999907e+00,5.629128100000000412e-01,9.824997999999999718e-03,1.760991500000000098e-01
4.000000000000000000e+00,9.193432599999999677e-02,1.001291699999999896e+00,1.097357700000000102e+00,8.806478100000000309e-01,1.537141399999999991e-02,1.804392800000000074e-01
5.000000000000000000e+00,1.230982800000000044e-01,1.001858899999999997e+00,1.109100600000000103e+00,1.205343099999999890e+00,2.104030999999999957e-02,1.801496200000000103e-01
6.000000000000000000e+00,1.536211000000000104e-01,1.002585999999999977e+00,1.120072200000000073e+00,1.517209500000000100e+00,2.648649200000000037e-02,1.743834099999999887e-01
7.000000000000000000e+00,1.836048100000000072e-01,1.003458699999999926e+00,1.130362199999999984e+00,1.809713700000000092e+00,3.159597000000000100e-02,1.651585000000000136e-01
8.000000000000000000e+00,2.155389299999999897e-01,1.004552399999999901e+00,1.143177099999999946e+00,2.101331300000000013e+00,3.669160300000000319e-02,1.566571999999999965e-01
9.000000000000000000e+00,2.476922099999999960e-01,1.005811199999999905e+00,1.155980000000000008e+00,2.384100999999999804e+00,4.163444300000000015e-02,1.548667599999999922e-01
1.000000000000000000e+01,2.797571799999999942e-01,1.007225700000000002e+00,1.168282899999999902e+00,2.670149900000000187e+00,4.663667500000000243e-02,1.592362400000000011e-01
1.100000000000000000e+01,3.118551700000000149e-01,1.008803799999999917e+00,1.180160300000000051e+00,2.968226800000000054e+00,5.185172600000000076e-02,1.718896400000000102e-01
1.200000000000000000e+01,3.443480400000000219e-01,1.010577000000000059e+00,1.192368300000000048e+00,3.304969199999999940e+00,5.774665600000000037e-02,1.894418200000000108e-01
1.300000000000000000e+01,3.790562100000000045e-01,1.012698899999999957e+00,1.207504099999999969e+00,3.697264500000000176e+00,6.461915599999999704e-02,2.000097700000000034e-01
1.400000000000000000e+01,4.143219499999999944e-01,1.015102500000000019e+00,1.222367900000000063e+00,4.103618599999999894e+00,7.174437200000000070e-02,1.985105699999999973e-01
1.500000000000000000e+01,4.503004700000000082e-01,1.017815499999999984e+00,1.237032300000000085e+00,4.503137500000000237e+00,7.875680599999999865e-02,1.825008599999999870e-01
1.600000000000000000e+01,4.871538200000000152e-01,1.020844499999999933e+00,1.251565299999999992e+00,4.859275399999999578e+00,8.501428299999999605e-02,1.550814600000000043e-01
1.700000000000000000e+01,5.261558100000000016e-01,1.024276699999999929e+00,1.269252499999999895e+00,5.168651800000000129e+00,9.045549699999999582e-02,1.326470700000000058e-01
1.800000000000000000e+01,5.670117399999999863e-01,1.028077399999999919e+00,1.288407700000000045e+00,5.459810000000000052e+00,9.558114500000000624e-02,1.491963000000000039e-01
1.900000000000000000e+01,6.094123299999999466e-01,1.032242499999999952e+00,1.307591600000000076e+00,5.877994199999999836e+00,1.029517900000000014e-01,2.256268300000000004e-01
2.000000000000000000e+01,6.535465700000000489e-01,1.037002999999999897e+00,1.326868900000000018e+00,6.576536899999999797e+00,1.152889799999999992e-01,3.537178699999999898e-01
2.100000000000000000e+01,7.002893799999999613e-01,1.042759599999999898e+00,1.351145199999999935e+00,7.716303700000000099e+00,1.354950699999999952e-01,5.090417499999999595e-01
2.200000000000000000e+01,7.499119300000000043e-01,1.050133299999999936e+00,1.377219100000000029e+00,9.358155500000000515e+00,1.647986800000000029e-01,6.478586600000000306e-01
2.300000000000000000e+01,8.021014600000000438e-01,1.059623399999999993e+00,1.403533200000000036e+00,1.140668800000000083e+01,2.017568399999999929e-01,7.387704999999999966e-01
2.400000000000000000e+01,8.578016899999999501e-01,1.072045300000000090e+00,1.437892100000000006e+00,1.375152600000000014e+01,2.447266600000000125e-01,7.381273900000000499e-01
2.500000000000000000e+01,9.170725199999999466e-01,1.087919899999999940e+00,1.474769800000000020e+00,1.598036500000000082e+01,2.863745600000000002e-01,6.920608599999999999e-01
2.600000000000000000e+01,1.892070900000000000e+00,1.664547599999999905e+00,2.688355500000000120e+00,3.834261699999999706e+01,7.909608500000000486e-01,3.880668700000000082e-01
2.700000000000000000e+01,2.750845599999999891e+00,2.494743099999999991e+00,2.735024500000000192e+00,4.574361300000000341e+01,1.026299800000000095e+00,1.815294500000000089e-01
2.800000000000000000e+01,3.812980500000000106e+00,3.663077799999999939e+00,2.800637899999999902e+00,4.766353300000000104e+01,1.097581499999999988e+00,2.265929900000000080e-02
2.900000000000000000e+01,5.126484300000000438e+00,5.100847500000000423e+00,2.883318000000000048e+00,4.653683300000000145e+01,1.055137800000000015e+00,-5.462996900000000045e-02
3.000000000000000000e+01,6.759470099999999704e+00,6.743744200000000077e+00,2.981152699999999989e+00,4.263332499999999925e+01,9.206211399999999490e-01,-8.451683399999999902e-02
3.100000000000000000e+01,8.795043099999999114e+00,8.400919000000000025e+00,3.092193099999999806e+00,3.661771399999999943e+01,7.431453399999999876e-01,-7.204168599999999367e-02
3.200000000000000000e+01,1.132821200000000061e+01,1.005973099999999931e+01,3.214468899999999962e+00,3.131617100000000065e+01,6.083961700000000139e-01,-4.247191399999999950e-02
3.300000000000000000e+01,1.446967700000000079e+01,1.179006200000000071e+01,3.346006800000000059e+00,2.732735600000000176e+01,5.167432899999999663e-01,-2.231405599999999878e-02
3.400000000000000000e+01,1.830654799999999938e+01,1.361312500000000014e+01,3.484855899999999895e+00,2.485734199999999916e+01,4.632799100000000170e-01,-1.020027100000000034e-02
3.500000000000000000e+01,2.298350500000000096e+01,1.571223200000000020e+01,3.629116799999999810e+00,2.359860300000000066e+01,4.368602300000000160e-01,-5.366303499999999956e-03
3.600000000000000000e+01,2.860014200000000173e+01,1.808525399999999905e+01,3.776971599999999984e+00,2.222619200000000106e+01,4.086258199999999730e-01,-5.042863300000000396e-03
3.700000000000000000e+01,3.526482500000000186e+01,2.069890499999999989e+01,3.926711500000000132e+00,2.055055400000000176e+01,3.748906900000000264e-01,-5.053768800000000422e-03
3.800000000000000000e+01,4.306590099999999666e+01,2.346572600000000008e+01,4.076760100000000442e+00,1.854860899999999901e+01,3.355389599999999972e-01,-4.757323499999999671e-03
3.900000000000000000e+01,5.206842000000000326e+01,2.628765100000000032e+01,4.225689000000000028e+00,1.647260500000000150e+01,2.956934800000000085e-01,-4.011050500000000116e-03
4.000000000000000000e+01,6.231252200000000130e+01,2.910966900000000024e+01,4.372227399999999875e+00,1.454423000000000066e+01,2.594413300000000255e-01,-3.153531599999999987e-03
4.100000000000000000e+01,7.379811899999999980e+01,3.188300399999999968e+01,4.515264199999999839e+00,1.285384099999999918e+01,2.281828499999999926e-01,-2.415889400000000194e-03
4.200000000000000000e+01,8.649359800000000575e+01,3.459355099999999794e+01,4.653845900000000313e+00,1.140912299999999924e+01,2.018010799999999938e-01,-1.899955600000000034e-03
4.300000000000000000e+01,1.003199599999999947e+02,3.720748900000000248e+01,4.787168699999999610e+00,1.010478400000000043e+01,1.782132700000000070e-01,-1.598923099999999958e-03
4.400000000000000000e+01,1.151673300000000069e+02,3.968063500000000232e+01,4.914568499999999673e+00,8.876783700000000721e+00,1.561807100000000004e-01,-1.394523799999999999e-03
4.500000000000000000e+01,1.308792100000000005e+02,4.196176599999999723e+01,5.035509399999999580e+00,7.731026599999999860e+00,1.357567600000000041e-01,-1.214295800000000057e-03
4.600000000000000000e+01,1.472771199999999965e+02,4.402653699999999759e+01,5.149570599999999665e+00,6.690785100000000263e+00,1.173099499999999962e-01,-1.055838599999999903e-03
4.700000000000000000e+01,1.641437099999999987e+02,4.585584000000000060e+01,5.256433699999999654e+00,5.750329999999999941e+00,1.007005200000000017e-01,-9.286276099999999593e-04
4.800000000000000000e+01,1.812548299999999983e+02,4.744428899999999771e+01,5.355871099999999885e+00,4.903112499999999763e+00,8.578496500000000469e-02,-8.256325000000000339e-04
4.900000000000000000e+01,1.983597100000000069e+02,4.879114700000000227e+01,5.447735200000000333e+00,4.143844900000000386e+00,7.245010400000000128e-02,-7.418564700000000126e-04
5.000000000000000000e+01,2.152192100000000039e+02,4.990807699999999869e+01,5.531948500000000379e+00,3.466164200000000140e+00,6.056988700000000281e-02,-6.731232199999999605e-04
5.100000000000000000e+01,2.315813599999999894e+02,5.080894500000000136e+01,5.608496500000000218e+00,2.865658999999999956e+00,5.005693199999999843e-02,-6.166514299999999778e-04
5.200000000000000000e+01,2.472245699999999999e+02,5.151720000000000255e+01,5.677421299999999782e+00,2.336220899999999823e+00,4.079735899999999832e-02,-5.696967799999999886e-04
5.300000000000000000e+01,2.619274199999999837e+02,5.205515299999999712e+01,5.738817499999999683e+00,1.874526499999999984e+00,3.272833800000000265e-02,-5.308856899999999908e-04
5.400000000000000000e+01,2.755155500000000188e+02,5.245139600000000257e+01,5.792830099999999760e+00,1.474447400000000075e+00,2.573964299999999955e-02,-4.979043999999999961e-04
5.500000000000000000e+01,2.878254299999999830e+02,5.273009400000000113e+01,5.839653900000000064e+00,1.133941899999999947e+00,1.979360499999999884e-02,-4.706637300000000271e-04
5.600000000000000000e+01,2.987538700000000063e+02,5.291879000000000133e+01,5.879535299999999687e+00,8.461947899999999745e-01,1.476995899999999917e-02,-4.459637099999999945e-04
5.700000000000000000e+01,3.082158699999999953e+02,5.303808999999999685e+01,5.912775800000000359e+00,6.109023199999999987e-01,1.066266100000000036e-02,-4.261171799999999852e-04
5.800000000000000000e+01,3.161959600000000137e+02,5.311008400000000051e+01,5.939737400000000278e+00,4.191583999999999866e-01,7.315824700000000090e-03,-4.032006899999999961e-04
5.900000000000000000e+01,3.227006499999999960e+02,5.314862699999999762e+01,5.960850100000000040e+00,2.738149999999999751e-01,4.779009699999999666e-03,-3.768593500000000157e-04
6.000000000000000000e+01,3.278108599999999910e+02,5.316844600000000298e+01,5.976620999999999739e+00,1.664968000000000004e-01,2.905925499999999911e-03,-3.738272900000000039e-04
6.100000000000000000e+01,3.316300499999999829e+02,5.317676900000000018e+01,5.987645599999999568e+00,8.350292199999999332e-02,1.457402000000000003e-03,-3.533723199999999859e-04
6.200000000000000000e+01,3.343369999999999891e+02,5.317932900000000274e+01,5.994620000000000282e+00,3.154353199999999913e-02,5.505385500000000180e-04,-2.811991000000000230e-04
6.300000000000000000e+01,3.361311999999999784e+02,5.317984700000000231e+01,5.998354499999999589e+00,6.303036500000000313e-03,1.100087400000000055e-04,-1.771550500000000107e-04
6.400000000000000000e+01,3.372858800000000201e+02,5.317984100000000325e+01,5.999787699999999724e+00,-2.506019200000000023e-03,-4.373828600000000274e-05,-2.285033099999999852e-05
6.500000000000000000e+01,3.380926400000000172e+02,5.317978399999999795e+01,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
