# POINT,X_over_YO,Y_over_YO,INT_Y_over_YO,PAR_over_YO,HYP_over_YO,C_Y,C_YI,C_YP
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.050410199999999961e+00,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan
2.000000000000000000e+00,3.102999999999999856e-02,1.000062100000000065e+00,2.050496599999999781e+00,1.000080199999999975e+00,1.000080199999999975e+00,6.079959000000000335e-01,-3.515748999999999796e+04,1.828658999999999979e-01
3.000000000000000000e+00,6.090740000000000043e-02,1.000276799999999966e+00,2.050733699999999882e+00,1.000309099999999951e+00,1.000309099999999951e+00,1.429614999999999914e-01,-4.648944999999999709e+03,2.931378999999999929e-02
4.000000000000000000e+00,9.187689999999999746e-02,1.000665799999999939e+00,2.051138700000000092e+00,1.000703399999999910e+00,1.000703200000000015e+00,4.859573999999999838e-02,-1.354413000000000011e+03,-2.314234000000000083e-03
5.000000000000000000e+00,1.230213000000000001e-01,1.001232600000000028e+00,2.051717899999999872e+00,1.001261200000000073e+00,1.001260400000000050e+00,1.535051999999999944e-02,-5.642051000000000158e+02,-1.182213000000000014e-02
6.000000000000000000e+00,1.535250999999999977e-01,1.001959299999999997e+00,2.052446499999999840e+00,1.001964199999999972e+00,1.001962199999999914e+00,1.356575000000000055e-03,-2.903025999999999840e+02,-1.271367999999999977e-02
7.000000000000000000e+00,1.834899999999999864e-01,1.002831400000000039e+00,2.053305899999999795e+00,1.002805699999999911e+00,1.002801800000000076e+00,-4.151735000000000148e-03,-1.700430000000000064e+02,-1.004199000000000064e-02
8.000000000000000000e+00,2.154041999999999901e-01,1.003924400000000050e+00,2.054388499999999951e+00,1.003866600000000053e+00,1.003859099999999893e+00,-5.786465999999999658e-03,-1.051097000000000037e+02,-5.681918000000000211e-03
9.000000000000000000e+00,2.475373999999999908e-01,1.005182400000000031e+00,2.055668600000000179e+00,1.005106199999999950e+00,1.005093299999999967e+00,-5.024368000000000410e-03,-6.926272000000000162e+01,-2.057488000000000112e-03
1.000000000000000000e+01,2.795823000000000058e-01,1.006596000000000046e+00,2.057128200000000184e+00,1.006513900000000072e+00,1.006492799999999965e+00,-3.758612000000000151e-03,-4.807446000000000197e+01,-1.689840000000000070e-04
1.100000000000000000e+01,3.116601999999999983e-01,1.008173100000000044e+00,2.058760899999999783e+00,1.008094299999999999e+00,1.008061799999999897e+00,-2.601062999999999813e-03,-3.470729999999999649e+01,3.144951000000000105e-04
1.200000000000000000e+01,3.441328000000000165e-01,1.009945199999999987e+00,2.060580600000000207e+00,1.009868900000000069e+00,1.009820699999999905e+00,-1.870609000000000074e-03,-2.578134000000000015e+01,-1.101084000000000004e-03
1.300000000000000000e+01,3.788192000000000226e-01,1.012065800000000015e+00,2.062735800000000008e+00,1.011958700000000100e+00,1.011887999999999899e+00,-1.971161999999999827e-03,-1.932922999999999902e+01,-3.443844000000000159e-03
1.400000000000000000e+01,4.140629000000000115e-01,1.014467900000000089e+00,2.065168499999999963e+00,1.014287299999999892e+00,1.014186699999999997e+00,-2.543726000000000060e-03,-1.480316000000000010e+01,-5.315280000000000352e-03
1.500000000000000000e+01,4.500190000000000023e-01,1.017179199999999950e+00,2.067884400000000067e+00,1.016876399999999903e+00,1.016736400000000096e+00,-3.321878999999999804e-03,-1.153223999999999982e+01,-6.178323000000000322e-03
1.600000000000000000e+01,4.868492999999999848e-01,1.020206299999999899e+00,2.070893299999999826e+00,1.019751899999999933e+00,1.019560500000000092e+00,-3.938020999999999883e-03,-9.109144000000000574e+00,-5.446377999999999983e-03
1.700000000000000000e+01,5.258268999999999860e-01,1.023636400000000002e+00,2.074350799999999939e+00,1.023041199999999984e+00,1.022781699999999905e+00,-4.094172000000000089e-03,-7.231066000000000216e+00,-3.396923000000000043e-03
1.800000000000000000e+01,5.666573000000000304e-01,1.027434699999999923e+00,2.078313500000000147e+00,1.026758400000000071e+00,1.026409600000000033e+00,-3.716774999999999853e-03,-5.779238999999999571e+00,-1.181631999999999951e-03
1.900000000000000000e+01,6.090313000000000532e-01,1.031597199999999992e+00,2.082784800000000214e+00,1.030909899999999935e+00,1.030446399999999985e+00,-3.042430000000000048e-03,-4.656344999999999956e+00,-1.299980999999999966e-03
2.000000000000000000e+01,6.531379999999999963e-01,1.036354699999999962e+00,2.087796899999999845e+00,1.035549099999999889e+00,1.034938700000000100e+00,-2.891297000000000138e-03,-3.776619000000000170e+00,-5.026417000000000038e-03
2.100000000000000000e+01,6.998516000000000181e-01,1.042107700000000081e+00,2.093551300000000115e+00,1.040815999999999963e+00,1.040015399999999923e+00,-3.768103999999999985e-03,-3.071152000000000104e+00,-1.283071000000000038e-02
2.200000000000000000e+01,7.494431000000000287e-01,1.049476800000000098e+00,2.100231299999999912e+00,1.046805399999999997e+00,1.045758500000000035e+00,-6.346227999999999765e-03,-2.502580000000000027e+00,-2.367454999999999907e-02
2.300000000000000000e+01,8.015999999999999792e-01,1.058960899999999983e+00,2.107862900000000206e+00,1.053546899999999953e+00,1.052185200000000043e+00,-1.051115000000000035e-02,-2.046905000000000197e+00,-3.535678999999999905e-02
2.400000000000000000e+01,8.572653999999999552e-01,1.071375100000000025e+00,2.116764700000000055e+00,1.061242000000000019e+00,1.059473499999999957e+00,-1.608412000000000036e-02,-1.675411999999999901e+00,-4.619609999999999689e-02
2.500000000000000000e+01,9.164991999999999583e-01,1.087239800000000089e+00,2.127205399999999802e+00,1.069997599999999993e+00,1.067705499999999974e+00,-2.239734000000000169e-02,-1.373296000000000072e+00,-5.302752000000000160e-02
2.600000000000000000e+01,1.890887999999999902e+00,1.663506900000000011e+00,2.713262499999999910e+00,1.297954800000000075e+00,1.263293100000000058e+00,-5.406944999999999807e-02,-2.093405999999999878e-01,-4.435916000000000164e-02
2.700000000000000000e+01,2.749125799999999842e+00,2.493183399999999939e+00,3.505153099999999800e+00,1.629807699999999970e+00,1.503201699999999974e+00,-4.155430000000000235e-02,-9.026043000000000260e-02,-2.505668000000000131e-02
2.800000000000000000e+01,3.810596700000000059e+00,3.660787800000000036e+00,4.392370200000000224e+00,2.210053999999999963e+00,1.849353400000000036e+00,-2.621855999999999839e-02,-3.944016000000000188e-02,-1.061665000000000005e-02
2.900000000000000000e+01,5.123279300000000092e+00,5.097658599999999929e+00,5.430922599999999711e+00,3.187332599999999960e+00,2.318332400000000071e+00,-1.420571999999999981e-02,-1.668396999999999936e-02,-2.555851000000000043e-03
3.000000000000000000e+01,6.755244300000000202e+00,6.739528199999999636e+00,6.639388099999999682e+00,4.802777100000000132e+00,2.933522500000000033e+00,-6.282763000000000236e-03,-5.957910999999999763e-03,1.499291000000000035e-03
3.100000000000000000e+01,8.789544700000000432e+00,8.395666900000000155e+00,8.036518299999999115e+00,7.438007999999999953e+00,3.725052499999999878e+00,-1.410301000000000089e-03,-8.813987999999999814e-04,3.114225999999999887e-03
3.200000000000000000e+01,1.132112949999999962e+01,1.005344179999999987e+01,9.638014999999999333e+00,1.168066439999999950e+01,4.728776700000000055e+00,1.121444000000000087e-03,1.407746999999999991e-03,3.324956000000000005e-03
3.300000000000000000e+01,1.446063129999999930e+01,1.178269069999999985e+01,1.145390989999999931e+01,1.842582150000000141e+01,5.987624199999999952e+00,2.196903999999999958e-03,2.305633000000000075e-03,3.018129999999999945e-03
3.400000000000000000e+01,1.829510349999999974e+01,1.360461450000000028e+01,1.347408779999999950e+01,2.889256770000000074e+01,7.535591199999999823e+00,2.496575999999999917e-03,2.517890999999999966e-03,2.575262000000000037e-03
3.500000000000000000e+01,2.296913669999999996e+01,1.570240949999999991e+01,1.570299239999999941e+01,4.496510339999999673e+01,9.430281400000000147e+00,2.414794999999999962e-03,2.414747000000000074e-03,2.142690000000000046e-03
3.600000000000000000e+01,2.858226210000000123e+01,1.807394779999999912e+01,1.812077289999999863e+01,6.907880910000000085e+01,1.171143110000000043e+01,2.184348000000000019e-03,2.182341999999999876e-03,1.776978000000000021e-03
3.700000000000000000e+01,3.524277800000000127e+01,2.068596409999999963e+01,2.069769630000000049e+01,1.045044500000000056e+02,1.442251360000000027e+01,1.914825999999999898e-03,1.914558000000000015e-03,1.475757000000000067e-03
3.800000000000000000e+01,4.303897740000000027e+01,2.345105609999999885e+01,2.340287830000000113e+01,1.553627978000000098e+02,1.759902260000000140e+01,1.654618000000000061e-03,1.655222000000000030e-03,1.230439000000000055e-03
3.900000000000000000e+01,5.203586820000000301e+01,2.627121700000000004e+01,2.618817729999999955e+01,2.266442982000000086e+02,2.126707779999999914e+01,1.422103000000000082e-03,1.422691999999999924e-03,1.031238999999999984e-03
4.000000000000000000e+01,6.227356639999999999e+01,2.909147009999999867e+01,2.901134569999999968e+01,3.241664223000000220e+02,2.544273659999999992e+01,1.221859000000000053e-03,1.222191000000000076e-03,8.698207000000000117e-04
4.100000000000000000e+01,7.375198269999999923e+01,3.186307130000000143e+01,3.181641580000000147e+01,4.542795795999999768e+02,3.012572259999999957e+01,1.052978999999999894e-03,1.053094999999999986e-03,7.392920000000000090e-04
4.200000000000000000e+01,8.643952480000000094e+01,3.457192369999999926e+01,3.455797849999999727e+01,6.236492875000000140e+02,3.530295420000000206e+01,9.120848000000000193e-04,9.121064000000000125e-04,6.337072999999999491e-04
4.300000000000000000e+01,1.002572396000000055e+02,3.718422770000000099e+01,3.718383750000000276e+01,8.386261742000000368e+02,4.094206090000000131e+01,7.952887999999999537e-04,7.952890999999999476e-04,5.482201000000000131e-04
4.400000000000000000e+01,1.150953348999999974e+02,3.965582770000000323e+01,3.965577960000000246e+01,1.104911343100000067e+03,4.699811360000000349e+01,6.986836999999999865e-04,6.986838000000000206e-04,4.787616999999999871e-04
4.500000000000000000e+01,1.307973882999999944e+02,4.193553310000000067e+01,4.193519059999999854e+01,1.426663064600000098e+03,5.340717300000000023e+01,6.188238999999999893e-04,6.188240999999999490e-04,4.221000000000000143e-04
4.600000000000000000e+01,1.471850516000000084e+02,4.399901299999999793e+01,4.399876520000000113e+01,1.806286617199999910e+03,6.009636619999999851e+01,5.526952000000000340e-04,5.526952999999999597e-04,3.756488000000000210e-04
4.700000000000000000e+01,1.640410904000000016e+02,4.582717269999999843e+01,4.582690649999999977e+01,2.243456611600000087e+03,6.697696039999999584e+01,4.978476999999999599e-04,4.978477999999999940e-04,3.374211000000000007e-04
4.800000000000000000e+01,1.811415186000000119e+02,4.741462820000000278e+01,4.741424789999999945e+01,2.735354147500000181e+03,7.395747629999999617e+01,4.522363999999999854e-04,4.522363999999999854e-04,3.058254999999999741e-04
4.900000000000000000e+01,1.982357023000000140e+02,4.876064430000000272e+01,4.876045719999999761e+01,3.275782806199999868e+03,8.093556460000000641e+01,4.142441000000000070e-04,4.142441000000000070e-04,2.796354999999999826e-04
5.000000000000000000e+01,2.150846587999999997e+02,4.987687559999999820e+01,4.987641430000000042e+01,3.856117537600000105e+03,8.781363829999999382e+01,3.825321000000000233e-04,3.825322000000000032e-04,2.578597999999999871e-04
5.100000000000000000e+01,2.314365851999999961e+02,5.077718039999999888e+01,5.077706140000000090e+01,4.464574413299999833e+03,9.448888200000000381e+01,3.560543999999999905e-04,3.560543999999999905e-04,2.397350000000000078e-04
5.200000000000000000e+01,2.470700151000000062e+02,5.148499309999999696e+01,5.148448520000000173e+01,5.087966028599999845e+03,1.008708682000000039e+02,3.339390000000000023e-04,3.339390000000000023e-04,2.246348000000000062e-04
5.300000000000000000e+01,2.617636663000000112e+02,5.202260929999999917e+01,5.202254260000000130e+01,5.711018082399999912e+03,1.068692479999999989e+02,3.155085999999999763e-04,3.155085999999999763e-04,2.120763000000000010e-04
5.400000000000000000e+01,2.753433081000000016e+02,5.241860510000000062e+01,5.241807060000000007e+01,6.318828109799999766e+03,1.124128828000000055e+02,3.001893000000000161e-04,3.001893000000000161e-04,2.016550999999999999e-04
5.500000000000000000e+01,2.876454850999999735e+02,5.269712820000000164e+01,5.269709799999999689e+01,6.895993758200000229e+03,1.174350352999999956e+02,2.875363000000000138e-04,2.875363000000000138e-04,1.930591999999999963e-04
5.600000000000000000e+01,2.985671016000000009e+02,5.288570630000000250e+01,5.288515530000000098e+01,7.429526177800000369e+03,1.218936108000000047e+02,2.771614000000000261e-04,2.771614000000000261e-04,1.860187000000000017e-04
5.700000000000000000e+01,3.080231863999999860e+02,5.300493259999999651e+01,5.300492539999999764e+01,7.907523611399999936e+03,1.257539153000000027e+02,2.687629000000000081e-04,2.687629000000000081e-04,1.803240999999999969e-04
