# Y_over_YO,U_over_Astar,V_over_Astar,W,Mach
0.000000000000000000e+00,9.750102899999999462e-01,0.000000000000000000e+00,9.750102899999999462e-01,9.702334700000000423e-01
4.170000000000000095e-02,9.751300200000000418e-01,-5.982500000000000404e-04,9.751301999999999470e-01,9.703752599999999617e-01
8.329999999999999905e-02,9.754894400000000410e-01,-1.191690000000000024e-03,9.754901700000000453e-01,9.708009800000000356e-01
1.250000000000000000e-01,9.760893499999999667e-01,-1.775459999999999972e-03,9.760909700000000022e-01,9.715117100000000283e-01
1.666999999999999871e-01,9.769310599999999623e-01,-2.344639999999999832e-03,9.769338699999999820e-01,9.725092800000000315e-01
2.083000000000000129e-01,9.780164199999999974e-01,-2.894170000000000163e-03,9.780206999999999651e-01,9.737962300000000404e-01
2.500000000000000000e-01,9.793478399999999695e-01,-3.418860000000000128e-03,9.793538000000000521e-01,9.753759300000000021e-01
2.917000000000000148e-01,9.809283100000000255e-01,-3.913299999999999765e-03,9.809361199999999670e-01,9.772525300000000081e-01
3.332999999999999852e-01,9.827614500000000364e-01,-4.371830000000000160e-03,9.827711700000000272e-01,9.794310499999999697e-01
3.750000000000000000e-01,9.848514900000000516e-01,-4.788459999999999592e-03,9.848631300000000310e-01,9.819174200000000408e-01
4.167000000000000148e-01,9.872033700000000245e-01,-5.156840000000000208e-03,9.872168399999999844e-01,9.847185299999999808e-01
4.582999999999999852e-01,9.898227299999999840e-01,-5.470179999999999834e-03,9.898378399999999688e-01,9.878423400000000409e-01
5.000000000000000000e-01,9.927159899999999926e-01,-5.721129999999999619e-03,9.927324699999999780e-01,9.912978900000000149e-01
5.416999999999999593e-01,9.958903900000000142e-01,-5.901749999999999878e-03,9.959078700000000284e-01,9.950954600000000427e-01
5.833000000000000407e-01,9.993540499999999938e-01,-6.003389999999999942e-03,9.993720900000000462e-01,9.992466500000000140e-01
6.250000000000000000e-01,1.003116050000000037e+00,-6.016549999999999850e-03,1.003134090000000089e+00,1.003764459999999969e+00
6.666999999999999593e-01,1.007186450000000066e+00,-5.930819999999999842e-03,1.007203910000000091e+00,1.008663469999999895e+00
7.083000000000000407e-01,1.011576419999999921e+00,-5.734669999999999872e-03,1.011592669999999972e+00,1.013959959999999993e+00
7.500000000000000000e-01,1.016298270000000059e+00,-5.415370000000000079e-03,1.016312689999999908e+00,1.019672080000000092e+00
7.916999999999999593e-01,1.021365560000000006e+00,-4.958780000000000306e-03,1.021377600000000108e+00,1.025820020000000055e+00
8.333000000000000407e-01,1.026793209999999901e+00,-4.349190000000000174e-03,1.026802420000000104e+00,1.032426199999999961e+00
8.750000000000000000e-01,1.032597509999999996e+00,-3.569109999999999904e-03,1.032603680000000024e+00,1.039515570000000055e+00
9.166999999999999593e-01,1.038796320000000106e+00,-2.599090000000000081e-03,1.038799569999999894e+00,1.047115760000000062e+00
9.583000000000000407e-01,1.045409100000000091e+00,-1.417440000000000063e-03,1.045410069999999969e+00,1.055257480000000081e+00
1.000000000000000000e+00,1.052457060000000055e+00,-0.000000000000000000e+00,1.052457060000000055e+00,1.063974779999999898e+00
