# POINT,X,Y_CALC,Y_IN,DIFF,POINT1
1.000000000000000000e+00,0.000000000000000000e+00,1.000625600000000004e+00,1.000625600000000004e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,3.104940000000000130e-02,1.000687700000000069e+00,1.000718800000000019e+00,-3.109999999999999700e-05,2.000000000000000000e+00
3.000000000000000000e+00,6.094549999999999967e-02,1.000902600000000087e+00,1.000973300000000066e+00,-7.069999999999999733e-05,3.000000000000000000e+00
4.000000000000000000e+00,9.193429999999999658e-02,1.001291699999999896e+00,1.001219300000000034e+00,7.239999999999999799e-05,4.000000000000000000e+00
5.000000000000000000e+00,1.230982999999999938e-01,1.001858899999999997e+00,1.001808299999999985e+00,5.059999999999999665e-05,5.000000000000000000e+00
6.000000000000000000e+00,1.536211000000000104e-01,1.002585999999999977e+00,1.002566700000000033e+00,1.930000000000000156e-05,6.000000000000000000e+00
7.000000000000000000e+00,1.836048000000000124e-01,1.003458699999999926e+00,1.003471599999999908e+00,-1.290000000000000016e-05,7.000000000000000000e+00
8.000000000000000000e+00,2.155389000000000055e-01,1.004552399999999901e+00,1.004543699999999928e+00,8.699999999999999712e-06,8.000000000000000000e+00
9.000000000000000000e+00,2.476922000000000013e-01,1.005811199999999905e+00,1.005834700000000081e+00,-2.349999999999999862e-05,9.000000000000000000e+00
1.000000000000000000e+01,2.797571999999999837e-01,1.007225700000000002e+00,1.007330999999999976e+00,-1.052999999999999981e-04,1.000000000000000000e+01
1.100000000000000000e+01,3.118551999999999991e-01,1.008803799999999917e+00,1.009022000000000086e+00,-2.181999999999999912e-04,1.100000000000000000e+01
1.200000000000000000e+01,3.443479999999999874e-01,1.010577000000000059e+00,1.010450999999999988e+00,1.259999999999999998e-04,1.200000000000000000e+01
1.300000000000000000e+01,3.790562000000000098e-01,1.012698899999999957e+00,1.012585700000000033e+00,1.132000000000000004e-04,1.300000000000000000e+01
1.400000000000000000e+01,4.143220000000000236e-01,1.015102500000000019e+00,1.015026500000000054e+00,7.610000000000000661e-05,1.400000000000000000e+01
1.500000000000000000e+01,4.503004999999999924e-01,1.017815499999999984e+00,1.017779900000000071e+00,3.550000000000000231e-05,1.500000000000000000e+01
1.600000000000000000e+01,4.871538000000000257e-01,1.020844499999999933e+00,1.020857300000000079e+00,-1.279999999999999942e-05,1.600000000000000000e+01
1.700000000000000000e+01,5.261557999999999513e-01,1.024276699999999929e+00,1.024308800000000019e+00,-3.210000000000000098e-05,1.700000000000000000e+01
1.800000000000000000e+01,5.670117000000000074e-01,1.028077399999999919e+00,1.028266200000000019e+00,-1.888000000000000084e-04,1.800000000000000000e+01
1.900000000000000000e+01,6.094123000000000179e-01,1.032242499999999952e+00,1.032770100000000024e+00,-5.276000000000000308e-04,1.900000000000000000e+01
2.000000000000000000e+01,6.535465999999999775e-01,1.037002999999999897e+00,1.037859300000000040e+00,-8.563000000000000516e-04,2.000000000000000000e+01
2.100000000000000000e+01,7.002893999999999508e-01,1.042759599999999898e+00,1.043176600000000009e+00,-4.169999999999999987e-04,2.100000000000000000e+01
2.200000000000000000e+01,7.499118999999999646e-01,1.050133299999999936e+00,1.049863200000000107e+00,2.701000000000000059e-04,2.200000000000000000e+01
2.300000000000000000e+01,8.021015000000000228e-01,1.059623399999999993e+00,1.057546199999999992e+00,2.077199999999999967e-03,2.300000000000000000e+01
2.400000000000000000e+01,8.578017000000000003e-01,1.072045300000000090e+00,1.066429499999999919e+00,5.615799999999999785e-03,2.400000000000000000e+01
2.500000000000000000e+01,9.170724999999999572e-01,1.087919899999999940e+00,1.076897900000000075e+00,1.102200000000000055e-02,2.500000000000000000e+01
2.600000000000000000e+01,1.892070900000000000e+00,1.664547599999999905e+00,2.758958499999999869e+00,-1.094411000000000023e+00,2.600000000000000000e+01
2.700000000000000000e+01,2.750845599999999891e+00,2.494743099999999991e+00,3.507914099999999813e+00,-1.013171100000000102e+00,2.700000000000000000e+01
2.800000000000000000e+01,3.812980500000000106e+00,3.663077799999999939e+00,4.395731099999999891e+00,-7.326532999999999518e-01,2.800000000000000000e+01
2.900000000000000000e+01,5.126484300000000438e+00,5.100847500000000423e+00,5.434776499999999899e+00,-3.339289999999999758e-01,2.900000000000000000e+01
3.000000000000000000e+01,6.759470099999999704e+00,6.743744200000000077e+00,6.643527999999999878e+00,1.002162000000000053e-01,3.000000000000000000e+01
3.100000000000000000e+01,8.795043099999999114e+00,8.400919000000000025e+00,8.041488599999999209e+00,3.594302999999999804e-01,3.100000000000000000e+01
3.200000000000000000e+01,1.132821159999999949e+01,1.005973089999999992e+01,9.643771400000000327e+00,4.159594999999999820e-01,3.200000000000000000e+01
3.300000000000000000e+01,1.446967730000000074e+01,1.179006150000000019e+01,1.146499670000000037e+01,3.250648999999999900e-01,3.300000000000000000e+01
3.400000000000000000e+01,1.830654820000000171e+01,1.361312500000000014e+01,1.348046680000000030e+01,1.326582000000000039e-01,3.400000000000000000e+01
3.500000000000000000e+01,2.298350530000000091e+01,1.571223230000000015e+01,1.571260709999999960e+01,-3.748000000000000029e-04,3.500000000000000000e+01
3.600000000000000000e+01,2.860014209999999935e+01,1.808525410000000022e+01,1.813053359999999969e+01,-4.527950000000000030e-02,3.600000000000000000e+01
3.700000000000000000e+01,3.526482450000000313e+01,2.069890450000000115e+01,2.071061010000000024e+01,-1.170560000000000003e-02,3.700000000000000000e+01
3.800000000000000000e+01,4.306590090000000259e+01,2.346572619999999887e+01,2.341658939999999944e+01,4.913680000000000131e-02,3.800000000000000000e+01
3.900000000000000000e+01,5.206841990000000209e+01,2.628765119999999911e+01,2.620480410000000049e+01,8.284710000000000685e-02,3.900000000000000000e+01
4.000000000000000000e+01,6.231252239999999887e+01,2.910966859999999912e+01,2.902893239999999864e+01,8.073619999999999408e-02,4.000000000000000000e+01
4.100000000000000000e+01,7.379811920000000214e+01,3.188300359999999856e+01,3.183669099999999830e+01,4.631260000000000238e-02,4.100000000000000000e+01
4.200000000000000000e+01,8.649359809999999982e+01,3.459355060000000037e+01,3.457937119999999709e+01,1.417949999999999940e-02,4.200000000000000000e+01
4.300000000000000000e+01,1.003199567000000059e+02,3.720748869999999897e+01,3.720748869999999897e+01,0.000000000000000000e+00,4.300000000000000000e+01
4.400000000000000000e+01,1.151673341999999991e+02,3.968063490000000115e+01,3.968063490000000115e+01,0.000000000000000000e+00,4.400000000000000000e+01
4.500000000000000000e+01,1.308792101999999886e+02,4.196176640000000191e+01,4.196176640000000191e+01,0.000000000000000000e+00,4.500000000000000000e+01
4.600000000000000000e+01,1.472771250000000123e+02,4.402653719999999993e+01,4.402653719999999993e+01,0.000000000000000000e+00,4.600000000000000000e+01
4.700000000000000000e+01,1.641437082999999859e+02,4.585584049999999934e+01,4.585584049999999934e+01,0.000000000000000000e+00,4.700000000000000000e+01
4.800000000000000000e+01,1.812548338999999942e+02,4.744428899999999771e+01,4.744428899999999771e+01,0.000000000000000000e+00,4.800000000000000000e+01
4.900000000000000000e+01,1.983597110999999984e+02,4.879114710000000343e+01,4.879114710000000343e+01,0.000000000000000000e+00,4.900000000000000000e+01
5.000000000000000000e+01,2.152192076000000043e+02,4.990807670000000229e+01,4.990807670000000229e+01,0.000000000000000000e+00,5.000000000000000000e+01
5.100000000000000000e+01,2.315813631999999984e+02,5.080894469999999785e+01,5.080894469999999785e+01,0.000000000000000000e+00,5.100000000000000000e+01
5.200000000000000000e+01,2.472245727000000102e+02,5.151720009999999661e+01,5.151720009999999661e+01,0.000000000000000000e+00,5.200000000000000000e+01
5.300000000000000000e+01,2.619274156999999832e+02,5.205515270000000072e+01,5.205515270000000072e+01,0.000000000000000000e+00,5.300000000000000000e+01
5.400000000000000000e+01,2.755155525000000125e+02,5.245139619999999780e+01,5.245139619999999780e+01,0.000000000000000000e+00,5.400000000000000000e+01
5.500000000000000000e+01,2.878254251999999838e+02,5.273009359999999646e+01,5.273009359999999646e+01,0.000000000000000000e+00,5.500000000000000000e+01
5.600000000000000000e+01,2.987538738999999737e+02,5.291878959999999665e+01,5.291878959999999665e+01,0.000000000000000000e+00,5.600000000000000000e+01
5.700000000000000000e+01,3.082158739999999852e+02,5.303809050000000269e+01,5.303809050000000269e+01,0.000000000000000000e+00,5.700000000000000000e+01
5.800000000000000000e+01,3.161959598999999912e+02,5.311008400000000051e+01,5.311008400000000051e+01,0.000000000000000000e+00,5.800000000000000000e+01
5.900000000000000000e+01,3.227006541000000084e+02,5.314862680000000239e+01,5.314862680000000239e+01,0.000000000000000000e+00,5.900000000000000000e+01
6.000000000000000000e+01,3.278108626000000072e+02,5.316844619999999821e+01,5.316844619999999821e+01,0.000000000000000000e+00,6.000000000000000000e+01
6.100000000000000000e+01,3.316300507000000266e+02,5.317676869999999667e+01,5.317606640000000340e+01,7.022999999999999946e-04,6.100000000000000000e+01
6.200000000000000000e+01,3.343370012999999972e+02,5.317932909999999680e+01,5.317950270000000046e+01,-1.735999999999999913e-04,6.200000000000000000e+01
6.300000000000000000e+01,3.361311953000000017e+02,5.317984679999999997e+01,5.317966340000000258e+01,1.834000000000000127e-04,6.300000000000000000e+01
6.400000000000000000e+01,3.372858797000000095e+02,5.317984109999999731e+01,5.318035629999999969e+01,-5.151999999999999462e-04,6.400000000000000000e+01
6.500000000000000000e+01,3.380926392999999734e+02,5.317978399999999795e+01,5.317978399999999795e+01,0.000000000000000000e+00,6.500000000000000000e+01
