# Untitled0,TW,TE,TAW,TP,RE_over_IN,RTHI,FRD,KCF1,KCF,RCFS,H,HI,FMY,KTHP,THETA_1,DELTA,DELTAstar__1,N,CH,H,HU,CTH,THU,DSU,X
1.000000000000000000e+00,5.400000000000000000e+02,8.948999999999999773e+02,1.160900000000000091e+03,6.463999999999999773e+02,1.117512000000000000e+06,2.035000000000000000e+03,1.370049999999999990e+00,3.555639999999999912e+00,4.922930000000000028e+00,4.922930000000000028e+00,4.571000000000000063e-01,1.381699999999999928e+00,1.859550000000000036e+00,0.000000000000000000e+00,1.324000000000000090e-03,9.499999999999999764e-03,6.049999999999999606e-04,5.240210000000000257e+00,4.568909999999999916e-01,1.325000000000000006e-03,1.329099999999999943e-03,1.325000000000000006e-03,1.329099999999999943e-03,6.099999999999999737e-04,0.000000000000000000e+00
2.000000000000000000e+00,5.400000000000000000e+02,8.937999999999999545e+02,1.160799999999999955e+03,6.461000000000000227e+02,1.118319000000000000e+06,2.034000000000000000e+03,1.368999999999999995e+00,3.555919999999999970e+00,4.919380000000000308e+00,4.919380000000000308e+00,4.588999999999999746e-01,1.381599999999999939e+00,2.438299999999999912e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.499999999999999764e-03,6.070000000000000092e-04,5.240520000000000067e+00,4.586990000000000234e-01,1.324599999999999996e-03,1.328699999999999933e-03,1.324599999999999996e-03,1.328699999999999933e-03,6.099999999999999737e-04,1.000000000000000021e-03
3.000000000000000000e+00,5.400000000000000000e+02,8.927000000000000455e+02,1.160700000000000045e+03,6.457000000000000455e+02,1.119081000000000000e+06,2.034000000000000000e+03,1.367990000000000039e+00,3.555860000000000021e+00,4.915540000000000020e+00,4.915549999999999642e+00,4.606999999999999984e-01,1.381599999999999939e+00,2.395430000000000170e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.499999999999999764e-03,6.099999999999999737e-04,5.240980000000000416e+00,4.604230000000000267e-01,1.324700000000000053e-03,1.328900000000000046e-03,1.324700000000000053e-03,1.328900000000000046e-03,6.099999999999999737e-04,2.000000000000000042e-03
4.000000000000000000e+00,5.400000000000000000e+02,8.916000000000000227e+02,1.160500000000000000e+03,6.455000000000000000e+02,1.119803000000000000e+06,2.034000000000000000e+03,1.367029999999999967e+00,3.555909999999999904e+00,4.912010000000000431e+00,4.912029999999999674e+00,4.622999999999999887e-01,1.381599999999999939e+00,2.353600000000000136e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.499999999999999764e-03,6.120000000000000223e-04,5.243409999999999904e+00,4.707689999999999930e-01,1.324899999999999949e-03,1.329000000000000103e-03,1.324899999999999949e-03,1.329000000000000103e-03,6.300000000000000261e-04,8.999999999999999320e-03
5.000000000000000000e+00,5.400000000000000000e+02,8.906000000000000227e+02,1.160400000000000091e+03,6.452000000000000455e+02,1.120486000000000000e+06,2.034000000000000000e+03,1.366109999999999935e+00,3.555940000000000101e+00,4.908610000000000362e+00,4.908649999999999736e+00,4.638999999999999790e-01,1.381599999999999939e+00,2.312380000000000102e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.499999999999999764e-03,6.139999999999999625e-04,5.243409999999999904e+00,4.707689999999999930e-01,1.324899999999999949e-03,1.329000000000000103e-03,1.324899999999999949e-03,1.329000000000000103e-03,6.300000000000000261e-04,8.999999999999999320e-03
6.000000000000000000e+00,5.400000000000000000e+02,8.897000000000000455e+02,1.160299999999999955e+03,6.448999999999999773e+02,1.121135000000000000e+06,2.034000000000000000e+03,1.365229999999999944e+00,3.555969999999999853e+00,4.905359999999999943e+00,4.905420000000000336e+00,4.653999999999999804e-01,1.381499999999999950e+00,2.271279999999999966e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.499999999999999764e-03,6.160000000000000111e-04,5.243409999999999904e+00,4.707689999999999930e-01,1.324899999999999949e-03,1.329000000000000103e-03,1.324899999999999949e-03,1.329000000000000103e-03,6.300000000000000261e-04,8.999999999999999320e-03
7.000000000000000000e+00,5.400000000000000000e+02,8.887000000000000455e+02,1.160200000000000045e+03,6.447000000000000455e+02,1.121752000000000000e+06,2.034000000000000000e+03,1.364379999999999926e+00,3.556010000000000115e+00,4.902239999999999931e+00,4.902330000000000076e+00,4.668999999999999817e-01,1.381499999999999950e+00,2.229740000000000055e+00,0.000000000000000000e+00,1.324000000000000090e-03,9.499999999999999764e-03,6.179999999999999513e-04,5.243409999999999904e+00,4.707689999999999930e-01,1.324899999999999949e-03,1.329000000000000103e-03,1.324899999999999949e-03,1.329000000000000103e-03,6.300000000000000261e-04,8.999999999999999320e-03
8.000000000000000000e+00,5.400000000000000000e+02,8.877999999999999545e+02,1.160000000000000000e+03,6.443999999999999773e+02,1.122341000000000000e+06,2.034000000000000000e+03,1.363560000000000105e+00,3.556049999999999933e+00,4.899239999999999817e+00,4.899359999999999715e+00,4.682999999999999940e-01,1.381499999999999950e+00,2.187190000000000190e+00,0.000000000000000000e+00,1.324000000000000090e-03,9.499999999999999764e-03,6.199999999999999999e-04,5.243409999999999904e+00,4.707689999999999930e-01,1.324899999999999949e-03,1.329000000000000103e-03,1.324899999999999949e-03,1.329000000000000103e-03,6.300000000000000261e-04,8.999999999999999320e-03
9.000000000000000000e+00,5.400000000000000000e+02,8.870000000000000000e+02,1.159900000000000091e+03,6.442000000000000455e+02,1.122906000000000000e+06,2.034000000000000000e+03,1.362770000000000037e+00,3.556099999999999817e+00,4.896349999999999980e+00,4.896490000000000009e+00,4.697000000000000064e-01,1.381499999999999950e+00,2.143029999999999990e+00,0.000000000000000000e+00,1.324000000000000090e-03,9.599999999999999159e-03,6.220000000000000485e-04,5.243409999999999904e+00,4.707689999999999930e-01,1.324899999999999949e-03,1.329000000000000103e-03,1.324899999999999949e-03,1.329000000000000103e-03,6.300000000000000261e-04,8.999999999999999320e-03
1.000000000000000000e+01,5.400000000000000000e+02,8.861000000000000227e+02,1.159799999999999955e+03,6.440000000000000000e+02,1.123449000000000000e+06,2.034000000000000000e+03,1.362000000000000099e+00,3.556140000000000079e+00,4.893539999999999779e+00,4.893709999999999560e+00,4.709999999999999742e-01,1.381399999999999961e+00,2.096719999999999917e+00,0.000000000000000000e+00,1.324000000000000090e-03,9.599999999999999159e-03,6.229999999999999644e-04,5.243409999999999904e+00,4.707689999999999930e-01,1.324899999999999949e-03,1.329000000000000103e-03,1.324899999999999949e-03,1.329000000000000103e-03,6.300000000000000261e-04,8.999999999999999320e-03
1.100000000000000000e+01,5.400000000000000000e+02,8.852999999999999545e+02,1.159700000000000045e+03,6.437000000000000455e+02,1.123975000000000000e+06,2.033000000000000000e+03,1.361250000000000071e+00,3.556189999999999962e+00,4.890810000000000102e+00,4.891000000000000014e+00,4.722999999999999976e-01,1.381399999999999961e+00,2.047890000000000210e+00,0.000000000000000000e+00,1.324000000000000090e-03,9.599999999999999159e-03,6.250000000000000130e-04,5.246590000000000309e+00,4.836179999999999923e-01,1.326099999999999978e-03,1.330299999999999972e-03,1.326099999999999978e-03,1.330299999999999972e-03,6.400000000000000524e-04,1.899999999999999953e-02
1.200000000000000000e+01,5.400000000000000000e+02,8.845000000000000000e+02,1.159599999999999909e+03,6.435000000000000000e+02,1.124486000000000000e+06,2.033000000000000000e+03,1.360519999999999952e+00,3.556239999999999846e+00,4.888130000000000308e+00,4.888349999999999973e+00,4.736000000000000210e-01,1.381399999999999961e+00,1.996340000000000003e+00,0.000000000000000000e+00,1.324000000000000090e-03,9.599999999999999159e-03,6.269999999999999532e-04,5.246590000000000309e+00,4.836179999999999923e-01,1.326099999999999978e-03,1.330299999999999972e-03,1.326099999999999978e-03,1.330299999999999972e-03,6.400000000000000524e-04,1.899999999999999953e-02
1.300000000000000000e+01,5.400000000000000000e+02,8.837000000000000455e+02,1.159500000000000000e+03,6.432999999999999545e+02,1.124986000000000000e+06,2.033000000000000000e+03,1.359790000000000054e+00,3.556290000000000173e+00,4.885489999999999888e+00,4.885729999999999684e+00,4.748999999999999888e-01,1.381399999999999961e+00,1.942139999999999977e+00,0.000000000000000000e+00,1.324000000000000090e-03,9.599999999999999159e-03,6.290000000000000018e-04,5.246590000000000309e+00,4.836179999999999923e-01,1.326099999999999978e-03,1.330299999999999972e-03,1.326099999999999978e-03,1.330299999999999972e-03,6.400000000000000524e-04,1.899999999999999953e-02
1.400000000000000000e+01,5.400000000000000000e+02,8.830000000000000000e+02,1.159400000000000091e+03,6.431000000000000227e+02,1.125479000000000000e+06,2.033000000000000000e+03,1.359070000000000000e+00,3.556350000000000122e+00,4.882880000000000109e+00,4.883130000000000415e+00,4.761000000000000232e-01,1.381299999999999972e+00,1.885629999999999917e+00,0.000000000000000000e+00,1.324000000000000090e-03,9.599999999999999159e-03,6.300000000000000261e-04,5.246590000000000309e+00,4.836179999999999923e-01,1.326099999999999978e-03,1.330299999999999972e-03,1.326099999999999978e-03,1.330299999999999972e-03,6.400000000000000524e-04,1.899999999999999953e-02
1.500000000000000000e+01,5.400000000000000000e+02,8.822000000000000455e+02,1.159299999999999955e+03,6.428999999999999773e+02,1.125966000000000000e+06,2.033000000000000000e+03,1.358349999999999946e+00,3.556400000000000006e+00,4.880270000000000330e+00,4.880539999999999878e+00,4.773999999999999910e-01,1.381299999999999972e+00,1.827399999999999913e+00,2.134000000000000133e-02,1.324000000000000090e-03,9.599999999999999159e-03,6.319999999999999663e-04,5.246590000000000309e+00,4.836179999999999923e-01,1.326099999999999978e-03,1.330299999999999972e-03,1.326099999999999978e-03,1.330299999999999972e-03,6.400000000000000524e-04,1.899999999999999953e-02
1.600000000000000000e+01,5.400000000000000000e+02,8.813999999999999773e+02,1.159200000000000045e+03,6.427000000000000455e+02,1.126451000000000000e+06,2.033000000000000000e+03,1.357629999999999892e+00,3.556449999999999889e+00,4.877640000000000420e+00,4.877909999999999968e+00,4.786000000000000254e-01,1.381299999999999972e+00,1.768219999999999903e+00,9.828000000000000624e-02,1.324000000000000090e-03,9.599999999999999159e-03,6.340000000000000149e-04,5.246590000000000309e+00,4.836179999999999923e-01,1.326099999999999978e-03,1.330299999999999972e-03,1.326099999999999978e-03,1.330299999999999972e-03,6.400000000000000524e-04,1.899999999999999953e-02
1.700000000000000000e+01,5.400000000000000000e+02,8.806000000000000227e+02,1.159099999999999909e+03,6.423999999999999773e+02,1.126937000000000000e+06,2.033000000000000000e+03,1.356899999999999995e+00,3.556449999999999889e+00,4.874909999999999854e+00,4.875200000000000422e+00,4.798999999999999932e-01,1.381299999999999972e+00,1.708930000000000060e+00,1.751600000000000101e-01,1.324000000000000090e-03,9.599999999999999159e-03,6.350000000000000392e-04,5.246590000000000309e+00,4.836179999999999923e-01,1.326099999999999978e-03,1.330299999999999972e-03,1.326099999999999978e-03,1.330299999999999972e-03,6.400000000000000524e-04,1.899999999999999953e-02
