# Untitled0,STA_IN,Y_IN,DELR_IN,R_IN,DY_over_DX,D2Y_over_DX2,DA_over_DX,DR_over_DX,MACH_NO,_____DM_over_DX,PE_over_PO,BETA
1.000000000000000000e+00,0.000000000000000000e+00,7.500099999999999822e-02,6.501999999999999750e-04,7.565149999999999653e-02,0.000000000000000000e+00,3.333272999999999930e-01,2.367499999999999813e-03,2.367499999999999813e-03,1.011043300000000089e+00,1.756899400000000000e+00,4.803999999999999937e-01,-4.418699999999999850e-01
2.000000000000000000e+00,1.095000000000000053e-03,7.500199999999999922e-02,6.526999999999999816e-04,7.565470000000000528e-02,1.078799999999999985e-03,9.851178000000000434e-01,2.334399999999999930e-03,3.413199999999999915e-03,1.013597199999999976e+00,2.316968399999999928e+00,4.788600000000000079e-01,-5.825799999999999867e-01
3.000000000000000000e+00,2.154999999999999798e-03,7.500400000000000122e-02,6.551999999999999881e-04,7.565879999999999828e-02,2.122600000000000094e-03,9.846449999999999925e-01,2.245899999999999893e-03,4.368499999999999987e-03,1.016036600000000067e+00,2.288736600000000010e+00,4.773899999999999810e-01,-5.756400000000000405e-01
4.000000000000000000e+00,3.180000000000000101e-03,7.500600000000000322e-02,6.574000000000000416e-04,7.566370000000000040e-02,3.131099999999999942e-03,9.812813999999999703e-01,2.234600000000000215e-03,5.365599999999999883e-03,1.018368399999999951e+00,2.260540199999999889e+00,4.759900000000000242e-01,-5.685999999999999943e-01
5.000000000000000000e+00,4.172999999999999626e-03,7.500999999999999335e-02,6.597000000000000433e-04,7.566960000000000353e-02,4.103200000000000423e-03,9.731644000000000405e-01,2.279499999999999842e-03,6.382699999999999832e-03,1.020599899999999893e+00,2.232045499999999905e+00,4.746500000000000163e-01,-5.614999999999999991e-01
6.000000000000000000e+00,5.137000000000000073e-03,7.501399999999999735e-02,6.618999999999999884e-04,7.567619999999999902e-02,5.036500000000000178e-03,9.551821999999999813e-01,2.255300000000000013e-03,7.291699999999999918e-03,1.022738699999999890e+00,2.202846000000000082e+00,4.733700000000000130e-01,-5.542099999999999804e-01
7.000000000000000000e+00,6.075999999999999804e-03,7.501900000000000235e-02,6.639999999999999852e-04,7.568350000000000077e-02,5.921899999999999907e-03,9.257360000000000033e-01,2.229599999999999985e-03,8.151500000000000759e-03,1.024793300000000018e+00,2.172469299999999937e+00,4.721400000000000041e-01,-5.466299999999999493e-01
8.000000000000000000e+00,6.994000000000000217e-03,7.502499999999999447e-02,6.660000000000000338e-04,7.569130000000000302e-02,6.755800000000000173e-03,8.837112000000000300e-01,2.201900000000000125e-03,8.957599999999999590e-03,1.026772500000000088e+00,2.140397999999999801e+00,4.709599999999999898e-01,-5.386100000000000332e-01
9.000000000000000000e+00,7.893999999999999975e-03,7.503200000000000147e-02,6.679999999999999740e-04,7.569969999999999477e-02,7.529400000000000329e-03,8.228320999999999552e-01,2.171499999999999819e-03,9.700900000000000148e-03,1.028685499999999919e+00,2.106107999999999869e+00,4.698200000000000154e-01,-5.300300000000000011e-01
1.000000000000000000e+01,8.784000000000000141e-03,7.503899999999999459e-02,6.698999999999999660e-04,7.570870000000000377e-02,8.229300000000000156e-03,7.462360999999999578e-01,2.137899999999999870e-03,1.036720000000000003e-02,1.030542400000000081e+00,2.069126499999999869e+00,4.687100000000000155e-01,-5.207699999999999552e-01
1.100000000000000000e+01,9.667000000000000245e-03,7.504600000000000160e-02,6.717999999999999580e-04,7.571809999999999652e-02,8.852699999999999805e-03,6.585410000000000430e-01,2.100900000000000163e-03,1.095360000000000084e-02,1.032353400000000088e+00,2.029103500000000171e+00,4.676400000000000001e-01,-5.107399999999999718e-01
1.200000000000000000e+01,1.055099999999999962e-02,7.505399999999999572e-02,6.736000000000000017e-04,7.572810000000000652e-02,9.393300000000000261e-03,5.594341000000000452e-01,2.060300000000000152e-03,1.145370000000000069e-02,1.034129300000000029e+00,1.985883999999999983e+00,4.665799999999999947e-01,-4.999100000000000210e-01
1.300000000000000000e+01,1.144300000000000005e-02,7.506300000000000472e-02,6.754000000000000455e-04,7.573850000000000027e-02,9.845599999999999491e-03,4.558532000000000139e-01,2.016299999999999950e-03,1.186189999999999987e-02,1.035880799999999935e+00,1.939564599999999972e+00,4.655400000000000094e-01,-4.882900000000000018e-01
1.400000000000000000e+01,1.235100000000000087e-02,7.507199999999999984e-02,6.773000000000000374e-04,7.574939999999999451e-02,1.021210000000000000e-02,3.523751999999999995e-01,1.969199999999999944e-03,1.218130000000000081e-02,1.037618699999999894e+00,1.890514299999999981e+00,4.645199999999999885e-01,-4.759800000000000142e-01
1.500000000000000000e+01,1.328099999999999940e-02,7.508199999999999597e-02,6.790999999999999728e-04,7.576090000000000602e-02,1.049070000000000037e-02,2.525800000000000267e-01,1.927700000000000073e-03,1.241839999999999958e-02,1.039353399999999983e+00,1.839348500000000053e+00,4.634900000000000131e-01,-4.631399999999999961e-01
1.600000000000000000e+01,1.424100000000000019e-02,7.509200000000000597e-02,6.809000000000000165e-04,7.577290000000000414e-02,1.068670000000000037e-02,1.626728000000000063e-01,1.905299999999999962e-03,1.259210000000000017e-02,1.041094900000000045e+00,1.786860700000000080e+00,4.624599999999999822e-01,-4.499699999999999811e-01
1.700000000000000000e+01,1.524000000000000007e-02,7.510300000000000309e-02,6.828000000000000085e-04,7.578550000000000564e-02,1.080620000000000018e-02,8.395900000000000585e-02,1.892900000000000095e-03,1.269909999999999962e-02,1.042851999999999890e+00,1.733926700000000043e+00,4.614300000000000068e-01,-4.367199999999999971e-01
1.800000000000000000e+01,1.628299999999999886e-02,7.511400000000000021e-02,6.847999999999999487e-04,7.579879999999999951e-02,1.085490000000000066e-02,1.837659999999999988e-02,1.878499999999999961e-03,1.273340000000000062e-02,1.044632999999999923e+00,1.681406399999999968e+00,4.603800000000000114e-01,-4.236099999999999866e-01
1.900000000000000000e+01,1.737800000000000109e-02,7.512599999999999834e-02,6.867999999999999973e-04,7.581279999999999963e-02,1.084260000000000085e-02,-1.786839999999999956e-02,1.865499999999999971e-03,1.270809999999999995e-02,1.046444500000000000e+00,1.630064600000000086e+00,4.593200000000000061e-01,-4.108200000000000185e-01
2.000000000000000000e+01,1.853000000000000133e-02,7.513799999999999646e-02,6.888999999999999941e-04,7.582740000000000313e-02,1.081389999999999955e-02,7.327900000000000039e-03,1.853599999999999953e-03,1.266749999999999994e-02,1.048292199999999896e+00,1.580522900000000064e+00,4.582300000000000262e-01,-3.985099999999999754e-01
2.100000000000000000e+01,1.974400000000000113e-02,7.515199999999999658e-02,6.911999999999999958e-04,7.584269999999999901e-02,1.086400000000000039e-02,9.824739999999999862e-02,1.843100000000000077e-03,1.270710000000000069e-02,1.050180700000000078e+00,1.533244199999999946e+00,4.571299999999999808e-01,-3.867900000000000227e-01
2.200000000000000000e+01,2.102400000000000102e-02,7.516599999999999671e-02,6.934999999999999975e-04,7.585909999999999875e-02,1.106679999999999990e-02,2.360163000000000122e-01,1.834099999999999966e-03,1.290080000000000046e-02,1.052113400000000087e+00,1.488541300000000067e+00,4.560000000000000164e-01,-3.757499999999999729e-01
2.300000000000000000e+01,2.237400000000000153e-02,7.518099999999999783e-02,6.960000000000000041e-04,7.587670000000000525e-02,1.149589999999999987e-02,3.715877000000000208e-01,1.826200000000000045e-03,1.332209999999999991e-02,1.054092800000000052e+00,1.446600499999999956e+00,4.548400000000000221e-01,-3.654299999999999771e-01
2.400000000000000000e+01,2.379600000000000118e-02,7.519699999999999995e-02,6.985999999999999589e-04,7.589600000000000513e-02,1.210490000000000003e-02,4.775789999999999758e-01,1.816200000000000019e-03,1.392119999999999989e-02,1.056120900000000029e+00,1.407509700000000086e+00,4.536600000000000077e-01,-3.558499999999999996e-01
2.500000000000000000e+01,2.529299999999999951e-02,7.521600000000000508e-02,7.012999999999999703e-04,7.591739999999999600e-02,1.289769999999999979e-02,5.314976000000000145e-01,1.776900000000000094e-03,1.467459999999999945e-02,1.058198999999999890e+00,1.398948999999999998e+00,4.524500000000000188e-01,-3.540200000000000014e-01
2.600000000000000000e+01,9.700699999999999601e-02,7.772500000000000242e-02,7.161000000000000048e-04,7.844130000000000547e-02,5.764880000000000004e-02,6.201084999999999514e-01,2.594200000000000065e-03,6.024299999999999794e-02,1.195359700000000025e+00,1.981580899999999978e+00,3.775899999999999812e-01,-4.004300000000000082e-01
2.700000000000000000e+01,1.889899999999999913e-01,8.570099999999999940e-02,1.236499999999999969e-03,8.693779999999999564e-02,1.142260999999999971e-01,5.957166999999999879e-01,5.642900000000000173e-03,1.198690000000000033e-01,1.385767900000000052e+00,2.217693999999999832e+00,2.902399999999999980e-01,-6.204100000000000170e-01
2.800000000000000000e+01,2.986900000000000110e-01,1.018310000000000048e-01,1.853599999999999953e-03,1.036849999999999994e-01,1.770419000000000020e-01,5.328882000000000341e-01,8.172199999999999256e-03,1.852140999999999926e-01,1.648365300000000033e+00,2.681472799999999879e+00,1.994400000000000062e-01,-7.778100000000000014e-01
2.900000000000000000e+01,4.319319999999999826e-01,1.302770000000000039e-01,3.354600000000000116e-03,1.336312000000000055e-01,2.416156999999999888e-01,4.475373000000000268e-01,2.069790000000000171e-02,2.623135999999999801e-01,2.052209799999999973e+00,3.557609199999999916e+00,1.116100000000000009e-01,-1.100100000000000078e+00
3.000000000000000000e+01,7.494110000000000493e-01,2.282639999999999947e-01,1.706150000000000028e-02,2.453256000000000048e-01,3.556370999999999838e-01,2.951598000000000277e-01,3.946140000000000064e-02,3.950985000000000191e-01,3.580111099999999880e+00,2.951137199999999794e+00,1.566999999999999990e-02,-9.115999999999999659e-01
3.100000000000000000e+01,1.131194000000000033e+00,3.856160000000000143e-01,3.042250000000000162e-02,4.160384999999999778e-01,4.389471999999999818e-01,1.538451000000000124e-01,3.037799999999999875e-02,4.693251999999999979e-01,3.852184600000000181e+00,6.684811999999999976e-01,1.160100000000000020e-02,-2.627499999999999836e-01
