# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,1.612191500000000133e+01,0.000000000000000000e+00,3.973401200000000077e+00,1.457656700000000072e+01,4.960515699999999839e+01,0.000000000000000000e+00,1.209143599999999985e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.692569500000000104e+01,2.159009199999999962e-01,4.158231999999999928e+00,1.391527499999999939e+01,5.118167400000000100e+01,1.576516900000000110e+00,1.269427099999999919e+00,1.619260000000000144e-02
3.000000000000000000e+00,1.760832500000000067e+01,4.103952599999999840e-01,4.334054599999999979e+00,1.334010199999999990e+01,5.257812400000000252e+01,2.972967099999999974e+00,1.320624299999999973e+00,3.077960000000000071e-02
4.000000000000000000e+00,1.817818700000000121e+01,5.811500299999999841e-01,4.499953999999999787e+00,1.283972200000000008e+01,5.381179999999999808e+01,4.206643200000000249e+00,1.363364000000000020e+00,4.358630000000000143e-02
5.000000000000000000e+00,1.864613999999999905e+01,7.275572399999999940e-01,4.655408600000000341e+00,1.240402399999999972e+01,5.490004100000000165e+01,5.294883399999999796e+00,1.398460500000000106e+00,5.456679999999999864e-02
6.000000000000000000e+00,1.902440299999999951e+01,8.503828900000000024e-01,4.800204299999999868e+00,1.202417999999999942e+01,5.585927499999999668e+01,6.254118000000000066e+00,1.426830299999999996e+00,6.377869999999999373e-02
7.000000000000000000e+00,1.932569399999999860e+01,9.514009700000000125e-01,4.934359399999999951e+00,1.169258400000000009e+01,5.670454600000000056e+01,7.099388799999999833e+00,1.449427000000000021e+00,7.135510000000000463e-02
8.000000000000000000e+00,1.956258400000000108e+01,1.033060199999999984e+00,5.058061099999999755e+00,1.140273999999999965e+01,5.744932200000000222e+01,7.844164499999999762e+00,1.467193799999999992e+00,7.747950000000000670e-02
9.000000000000000000e+00,1.974707799999999835e+01,1.098206199999999910e+00,5.171614199999999606e+00,1.114912400000000048e+01,5.810548699999999656e+01,8.500329900000000549e+00,1.481030899999999928e+00,8.236549999999999427e-02
1.000000000000000000e+01,1.989035200000000003e+01,1.149865899999999996e+00,5.275400499999999937e+00,1.092705300000000079e+01,5.868342899999999673e+01,9.078271600000000774e+00,1.491776400000000002e+00,8.623989999999999434e-02
1.100000000000000000e+01,2.000262000000000029e+01,1.191089300000000017e+00,5.369847899999999896e+00,1.073256199999999971e+01,5.919216800000000234e+01,9.587010499999999880e+00,1.500196499999999933e+00,8.933169999999999999e-02
1.200000000000000000e+01,2.009309700000000021e+01,1.224841999999999986e+00,5.455407400000000351e+00,1.056228899999999982e+01,5.963950799999999930e+01,1.003435099999999913e+01,1.506982299999999997e+00,9.186310000000000309e-02
1.300000000000000000e+01,2.017001499999999936e+01,1.253935500000000092e+00,5.532536300000000296e+00,1.041338599999999914e+01,6.003218799999999788e+01,1.042703099999999949e+01,1.512751100000000015e+00,9.404519999999999547e-02
1.400000000000000000e+01,2.024068300000000065e+01,1.280988100000000074e+00,5.601687400000000316e+00,1.028342800000000068e+01,6.037602300000000355e+01,1.077086599999999983e+01,1.518051199999999934e+00,9.607409999999999561e-02
1.500000000000000000e+01,2.031156199999999856e+01,1.308405800000000063e+00,5.663301200000000257e+00,1.017035300000000042e+01,6.067603400000000136e+01,1.107087600000000016e+01,1.523367099999999974e+00,9.813040000000000651e-02
1.600000000000000000e+01,2.038833999999999946e+01,1.338375499999999940e+00,5.717802999999999969e+00,1.007239399999999918e+01,6.093656800000000118e+01,1.133141099999999923e+01,1.529125499999999915e+00,1.003782000000000008e-01
1.700000000000000000e+01,2.047601699999999880e+01,1.372866399999999931e+00,5.765600899999999918e+00,9.988031499999999951e+00,6.116140399999999744e+01,1.155624599999999980e+01,1.535701299999999936e+00,1.029650000000000010e-01
1.800000000000000000e+01,2.057895800000000008e+01,1.413632999999999917e+00,5.807088199999999922e+00,9.915950900000000345e+00,6.135384700000000180e+01,1.174868999999999986e+01,1.543421900000000013e+00,1.060225000000000056e-01
1.900000000000000000e+01,2.070094500000000082e+01,1.462215999999999960e+00,5.842645400000000322e+00,9.855000099999999819e+00,6.151681800000000067e+01,1.191166100000000050e+01,1.552570900000000087e+00,1.096662000000000053e-01
2.000000000000000000e+01,2.084519500000000036e+01,1.519939099999999987e+00,5.872646200000000150e+00,9.804156700000000058e+00,6.165293400000000190e+01,1.204777699999999996e+01,1.563389600000000046e+00,1.139953999999999967e-01
2.100000000000000000e+01,2.101435700000000040e+01,1.587897200000000009e+00,5.897463300000000075e+00,9.762495100000000647e+00,6.176458300000000179e+01,1.215942599999999985e+01,1.576076800000000055e+00,1.190922999999999982e-01
2.200000000000000000e+01,2.121047400000000138e+01,1.666934300000000091e+00,5.917477100000000156e+00,9.729155199999999226e+00,6.185400500000000079e+01,1.224884800000000062e+01,1.590785499999999963e+00,1.250200999999999951e-01
2.300000000000000000e+01,2.143490299999999849e+01,1.757608599999999965e+00,5.933085499999999790e+00,9.703312499999999119e+00,6.192336300000000193e+01,1.231820599999999999e+01,1.607617700000000038e+00,1.318206000000000100e-01
2.400000000000000000e+01,2.168820300000000145e+01,1.860141999999999962e+00,5.944715399999999761e+00,9.684146500000000657e+00,6.197482800000000225e+01,1.236967100000000030e+01,1.626615200000000039e+00,1.395106999999999875e-01
2.500000000000000000e+01,2.196996199999999888e+01,1.974352600000000013e+00,5.952835999999999572e+00,9.670808700000000258e+00,6.201065499999999986e+01,1.240549799999999969e+01,1.647747199999999967e+00,1.480763999999999969e-01
2.600000000000000000e+01,2.227858499999999964e+01,2.099567299999999914e+00,5.957973599999999870e+00,9.662389499999999742e+00,6.203327600000000075e+01,1.242811900000000058e+01,1.670893900000000043e+00,1.574675000000000102e-01
2.700000000000000000e+01,2.261101800000000139e+01,2.234515700000000216e+00,5.960727499999999957e+00,9.657882700000000042e+00,6.204538699999999807e+01,1.244022999999999968e+01,1.695826300000000009e+00,1.675887000000000071e-01
2.800000000000000000e+01,2.296242700000000170e+01,2.377205099999999849e+00,5.961786199999999702e+00,9.656151200000000046e+00,6.205004000000000275e+01,1.244488300000000081e+01,1.722182000000000102e+00,1.782903999999999878e-01
