# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,7.662992800000000670e+01,0.000000000000000000e+00,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,5.747244600000000148e+00,0.000000000000000000e+00
2.000000000000000000e+00,9.255080900000000099e+01,1.453370999999999968e+00,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,6.941310699999999834e+00,1.090027999999999969e-01
3.000000000000000000e+00,1.084716899999999953e+02,2.906741999999999937e+00,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,8.135376799999999520e+00,2.180055999999999938e-01
4.000000000000000000e+00,1.243925700000000063e+02,4.360113000000000127e+00,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,9.329442900000000094e+00,3.270084999999999797e-01
5.000000000000000000e+00,1.403134499999999889e+02,5.813483999999999874e+00,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,1.052350910000000006e+01,4.360112999999999905e-01
6.000000000000000000e+00,1.562343400000000031e+02,7.266854999999999620e+00,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,1.171757520000000063e+01,5.450140999999999458e-01
7.000000000000000000e+00,1.721552200000000141e+02,8.720226000000000255e+00,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,1.291164129999999943e+01,6.540169000000000121e-01
8.000000000000000000e+00,1.880760999999999967e+02,1.017359699999999911e+01,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,1.410570740000000001e+01,7.630198000000000258e-01
9.000000000000000000e+00,2.039969800000000077e+02,1.162696799999999975e+01,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,1.529977350000000058e+01,8.720225999999999811e-01
1.000000000000000000e+01,2.199178599999999904e+02,1.308033900000000038e+01,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,1.649383960000000116e+01,9.810254000000000474e-01
1.100000000000000000e+01,2.358387400000000014e+02,1.453370999999999924e+01,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,1.768790579999999935e+01,1.090028199999999892e+00
1.200000000000000000e+01,2.517596299999999871e+02,1.598708099999999988e+01,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,1.888197189999999992e+01,1.199031100000000016e+00
1.300000000000000000e+01,2.676805100000000266e+02,1.744045200000000051e+01,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,2.007603800000000049e+01,1.308033900000000083e+00
1.400000000000000000e+01,2.836013899999999808e+02,1.889382300000000114e+01,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,2.127010410000000107e+01,1.417036699999999927e+00
1.500000000000000000e+01,2.995222699999999918e+02,2.034719399999999823e+01,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,2.246417020000000164e+01,1.526039499999999993e+00
1.600000000000000000e+01,3.154431500000000028e+02,2.180056499999999886e+01,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,2.365823639999999983e+01,1.635042399999999896e+00
1.700000000000000000e+01,3.313640300000000138e+02,2.325393599999999950e+01,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,2.485230250000000041e+01,1.744045199999999962e+00
1.800000000000000000e+01,3.472849100000000249e+02,2.470730700000000013e+01,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,2.604636860000000098e+01,1.853048000000000028e+00
1.900000000000000000e+01,3.632058000000000106e+02,2.616067800000000076e+01,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,2.724043470000000156e+01,1.962050800000000095e+00
2.000000000000000000e+01,3.791266800000000217e+02,2.761404900000000140e+01,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,2.843450079999999858e+01,2.071053700000000219e+00
2.100000000000000000e+01,3.950475599999999758e+02,2.906741999999999848e+01,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,2.962856689999999915e+01,2.180056500000000064e+00
2.200000000000000000e+01,4.109684399999999869e+02,3.052079099999999912e+01,1.100000000000000000e+01,5.215908599999999673e+00,7.449630399999999497e+01,0.000000000000000000e+00,3.082263310000000089e+01,2.289059299999999908e+00
