# POINT,X_over_YO,Y_over_YO,INT_Y_over_YO,PAR_over_YO,HYP_over_YO,C_Y,C_YI,C_YP
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.819542999999999910e+00,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan
2.000000000000000000e+00,1.460599999999999919e-02,1.000007899999999950e+00,1.819547699999999990e+00,1.000002700000000022e+00,1.000002700000000022e+00,-1.672754999999999992e+00,-2.630152999999999884e+05,-1.115032000000000023e+00
3.000000000000000000e+00,2.872859999999999997e-02,1.000030500000000044e+00,1.819560999999999984e+00,1.000010300000000019e+00,1.000010300000000019e+00,-8.503450999999999649e-01,-3.456456999999999971e+04,-5.671958000000000277e-01
4.000000000000000000e+00,4.239520000000000094e-02,1.000066399999999911e+00,1.819581899999999974e+00,1.000022500000000036e+00,1.000022500000000036e+00,-5.764964000000000199e-01,-1.075552000000000044e+04,-3.841161000000000159e-01
5.000000000000000000e+00,5.563810000000000283e-02,1.000114299999999901e+00,1.819609299999999985e+00,1.000038699999999947e+00,1.000038699999999947e+00,-4.390521000000000007e-01,-4.758481999999999971e+03,-2.920563999999999938e-01
6.000000000000000000e+00,6.849629999999999608e-02,1.000173100000000037e+00,1.819642399999999993e+00,1.000058600000000020e+00,1.000058600000000020e+00,-3.562274000000000274e-01,-2.550306999999999789e+03,-2.361632999999999927e-01
7.000000000000000000e+00,8.101519999999999555e-02,1.000241799999999959e+00,1.819680699999999929e+00,1.000081999999999915e+00,1.000081999999999915e+00,-3.004701000000000177e-01,-1.541351000000000113e+03,-1.978876999999999997e-01
8.000000000000000000e+00,9.324830000000000618e-02,1.000319500000000028e+00,1.819723600000000108e+00,1.000108699999999962e+00,1.000108699999999962e+00,-2.599452999999999903e-01,-1.010850000000000023e+03,-1.696156000000000053e-01
9.000000000000000000e+00,1.052571000000000062e-01,1.000405400000000000e+00,1.819770700000000074e+00,1.000138500000000041e+00,1.000138500000000041e+00,-2.288881000000000110e-01,-7.028524999999999636e+02,-1.473656000000000132e-01
1.000000000000000000e+01,1.171119000000000049e-01,1.000499000000000027e+00,1.819821899999999992e+00,1.000171399999999933e+00,1.000171399999999933e+00,-2.039484000000000019e-01,-5.103007000000000062e+02,-1.288474000000000008e-01
1.100000000000000000e+01,1.288910000000000056e-01,1.000599800000000039e+00,1.819877200000000084e+00,1.000207700000000033e+00,1.000207599999999974e+00,-1.831569000000000114e-01,-3.827989000000000033e+02,-1.129722999999999977e-01
