# X_over_Ystar,W,WP,WPP,M,MP,MPP
0.000000000000000000e+00,9.959047399999999550e-01,9.564475000000000060e-02,-1.121411299999999995e-03,9.945501199999999820e-01,1.270225399999999893e-01,1.058311800000000073e-02
1.000000000000000056e-01,1.005463100000000054e+00,9.551786800000000577e-02,-1.416218500000000075e-03,1.007305099999999953e+00,1.280743799999999877e-01,1.045257999999999951e-02
1.291531800000000063e-01,1.008247099999999952e+00,9.547532799999999820e-02,-1.502164199999999911e-03,1.011043300000000089e+00,1.283785299999999907e-01,1.041307200000000065e-02
2.000000000000000111e-01,1.015007299999999946e+00,9.536150599999999866e-02,-1.711025699999999938e-03,1.020164499999999919e+00,1.291127900000000051e-01,1.031418800000000018e-02
2.999999999999999889e-01,1.024534400000000067e+00,9.517566299999999369e-02,-2.005832899999999801e-03,1.033127200000000023e+00,1.301369400000000065e-01,1.016730700000000043e-02
4.000000000000000222e-01,1.034041500000000058e+00,9.496034000000000419e-02,-2.300640100000000098e-03,1.046191400000000105e+00,1.311459500000000111e-01,1.001127400000000056e-02
5.000000000000000000e-01,1.043525500000000106e+00,9.471553500000000347e-02,-2.595447399999999995e-03,1.059355800000000070e+00,1.321388599999999969e-01,9.845395999999999315e-03
5.999999999999999778e-01,1.052983599999999909e+00,9.444125000000000436e-02,-2.890254599999999858e-03,1.072618599999999978e+00,1.331146699999999905e-01,9.668949799999999872e-03
6.999999999999999556e-01,1.062412799999999935e+00,9.413748399999999350e-02,-3.185061800000000155e-03,1.085978099999999946e+00,1.340722799999999881e-01,9.481180900000000383e-03
8.000000000000000444e-01,1.071810099999999988e+00,9.380423799999999812e-02,-3.479869000000000018e-03,1.099432399999999976e+00,1.350105100000000002e-01,9.281303100000000764e-03
9.000000000000000222e-01,1.081172699999999987e+00,9.344151100000000487e-02,-3.774676299999999915e-03,1.112979600000000069e+00,1.359281099999999909e-01,9.068498100000000825e-03
1.000000000000000000e+00,1.090497400000000061e+00,9.304930299999999987e-02,-4.069483500000000212e-03,1.126617299999999933e+00,1.368237499999999940e-01,8.841914500000000801e-03
