# POINT,X,Y_CALC,Y_IN,DIFF,POINT1
1.000000000000000000e+00,0.000000000000000000e+00,1.000018000000000074e+00,1.000018000000000074e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.460619999999999974e-02,1.000025900000000023e+00,1.000025900000000023e+00,0.000000000000000000e+00,2.000000000000000000e+00
3.000000000000000000e+00,2.872910000000000047e-02,1.000048499999999896e+00,1.000048400000000060e+00,9.999999999999999547e-08,3.000000000000000000e+00
4.000000000000000000e+00,4.239590000000000025e-02,1.000084399999999984e+00,1.000084200000000090e+00,1.999999999999999909e-07,4.000000000000000000e+00
5.000000000000000000e+00,5.563909999999999689e-02,1.000132299999999974e+00,1.000132000000000021e+00,2.999999999999999864e-07,5.000000000000000000e+00
6.000000000000000000e+00,6.849750000000000283e-02,1.000191100000000111e+00,1.000190600000000041e+00,4.999999999999999774e-07,6.000000000000000000e+00
7.000000000000000000e+00,8.101669999999999705e-02,1.000259800000000032e+00,1.000259100000000068e+00,6.999999999999999683e-07,7.000000000000000000e+00
8.000000000000000000e+00,9.324999999999999956e-02,1.000337500000000102e+00,1.000336700000000079e+00,7.999999999999999638e-07,8.000000000000000000e+00
9.000000000000000000e+00,1.052590000000000053e-01,1.000423400000000074e+00,1.000422600000000051e+00,7.999999999999999638e-07,9.000000000000000000e+00
1.000000000000000000e+01,1.171139999999999959e-01,1.000517000000000101e+00,1.000516299999999914e+00,6.999999999999999683e-07,1.000000000000000000e+01
1.100000000000000000e+01,1.288933999999999913e-01,1.000617899999999949e+00,1.000617300000000043e+00,4.999999999999999774e-07,1.100000000000000000e+01
1.200000000000000000e+01,1.406837999999999977e-01,1.000725700000000051e+00,1.000725400000000098e+00,1.999999999999999909e-07,1.200000000000000000e+01
1.300000000000000000e+01,1.525786000000000087e-01,1.000840399999999963e+00,1.000840500000000022e+00,-9.999999999999999547e-08,1.300000000000000000e+01
1.400000000000000000e+01,1.646764000000000006e-01,1.000961999999999907e+00,1.000962399999999919e+00,-3.999999999999999819e-07,1.400000000000000000e+01
1.500000000000000000e+01,1.770784999999999998e-01,1.001090700000000000e+00,1.001091299999999906e+00,-6.999999999999999683e-07,1.500000000000000000e+01
1.600000000000000000e+01,1.898865999999999887e-01,1.001226600000000078e+00,1.001227400000000101e+00,-7.999999999999999638e-07,1.600000000000000000e+01
1.700000000000000000e+01,2.031998000000000137e-01,1.001369900000000035e+00,1.001370799999999894e+00,-8.999999999999999593e-07,1.700000000000000000e+01
1.800000000000000000e+01,2.171116999999999908e-01,1.001520799999999989e+00,1.001521899999999965e+00,-1.100000000000000056e-06,1.800000000000000000e+01
1.900000000000000000e+01,2.317084000000000088e-01,1.001679399999999998e+00,1.001680899999999985e+00,-1.599999999999999928e-06,1.900000000000000000e+01
2.000000000000000000e+01,2.470667000000000002e-01,1.001845600000000003e+00,1.001848300000000025e+00,-2.799999999999999873e-06,2.000000000000000000e+01
2.100000000000000000e+01,2.632529000000000119e-01,1.002020499999999981e+00,1.002024400000000037e+00,-3.999999999999999819e-06,2.100000000000000000e+01
2.200000000000000000e+01,2.803225999999999773e-01,1.002207000000000070e+00,1.002209600000000034e+00,-2.600000000000000094e-06,2.200000000000000000e+01
2.300000000000000000e+01,2.983217000000000230e-01,1.002408900000000047e+00,1.002404099999999909e+00,4.799999999999999783e-06,2.300000000000000000e+01
2.400000000000000000e+01,3.172865999999999742e-01,1.002632500000000038e+00,1.002608200000000060e+00,2.419999999999999869e-05,2.400000000000000000e+01
2.500000000000000000e+01,3.372465000000000046e-01,1.002880699999999958e+00,1.002822300000000055e+00,5.840000000000000329e-05,2.500000000000000000e+01
2.600000000000000000e+01,1.293430800000000103e+00,1.036335999999999924e+00,1.019172900000000048e+00,1.716310000000000058e-02,2.600000000000000000e+01
2.700000000000000000e+01,2.519866799999999962e+00,1.142684999999999951e+00,1.080472799999999900e+00,6.221229999999999816e-02,2.700000000000000000e+01
2.800000000000000000e+01,3.982529500000000056e+00,1.357751399999999942e+00,1.209028599999999898e+00,1.487227999999999883e-01,2.800000000000000000e+01
2.900000000000000000e+01,5.759094400000000391e+00,1.737022300000000019e+00,1.469891999999999976e+00,2.671303999999999901e-01,2.900000000000000000e+01
