# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,9.095726500000000669e+01,0.000000000000000000e+00,1.400000000000000000e+01,4.096043800000000346e+00,7.776709099999999353e+01,0.000000000000000000e+00,6.821794900000000439e+00,0.000000000000000000e+00
2.000000000000000000e+00,8.948673700000000508e+01,1.053018200000000043e-01,1.399933099999999975e+01,4.096239800000000209e+00,7.776651499999999828e+01,5.760024499999999827e-04,6.711505299999999785e+00,7.897599999999999412e-03
3.000000000000000000e+00,8.802561199999999531e+01,2.098925700000000005e-01,1.399482599999999977e+01,4.097560500000000161e+00,7.776263400000000559e+01,4.456663700000000269e-03,6.601920899999999648e+00,1.574189999999999964e-02
4.000000000000000000e+00,8.656966500000000053e+01,3.139949599999999896e-01,1.398311900000000030e+01,4.100997300000000401e+00,7.775253700000000379e+01,1.455431400000000049e-02,6.492724899999999799e+00,2.354960000000000039e-02
5.000000000000000000e+00,8.511237400000000264e+01,4.179492899999999733e-01,1.396130499999999941e+01,4.107415699999999781e+00,7.773367899999999509e+01,3.341173599999999744e-02,6.383428099999999716e+00,3.134619999999999768e-02
6.000000000000000000e+00,8.364541099999999574e+01,5.221800899999999857e-01,1.392689500000000002e+01,4.117581799999999959e+00,7.770381399999999417e+01,6.327734999999999610e-02,6.273405799999999921e+00,3.916349999999999693e-02
7.000000000000000000e+00,8.215905800000000170e+01,6.271628399999999992e-01,1.387774800000000042e+01,4.132189000000000334e+00,7.766090599999999711e+01,1.061848900000000040e-01,6.161929299999999721e+00,4.703720000000000123e-02
8.000000000000000000e+00,8.064256600000000219e+01,7.333905699999999639e-01,1.381202599999999947e+01,4.151885799999999627e+00,7.760305800000000431e+01,1.640326199999999901e-01,6.048192499999999860e+00,5.500429999999999903e-02
9.000000000000000000e+00,7.908445799999999792e+01,8.413398399999999500e-01,1.372813799999999951e+01,4.177301599999999837e+00,7.752843099999999765e+01,2.386598000000000053e-01,5.931334299999999615e+00,6.310050000000000381e-02
1.000000000000000000e+01,7.747278900000000590e+01,9.514355799999999475e-01,1.362470000000000070e+01,4.209072299999999878e+00,7.743517099999999687e+01,3.319199199999999794e-01,5.810459200000000379e+00,7.135769999999999613e-02
1.100000000000000000e+01,7.579538399999999854e+01,1.064014199999999910e+00,1.350050099999999986e+01,4.247864899999999722e+00,7.732134000000000640e+01,4.457513799999999748e-01,5.684653800000000423e+00,7.980109999999999981e-02
1.200000000000000000e+01,7.404005300000000034e+01,1.179284299999999952e+00,1.335447100000000020e+01,4.294401500000000205e+00,7.718484399999999823e+01,5.822472899999999729e-01,5.553003999999999607e+00,8.844630000000000547e-02
1.300000000000000000e+01,7.219481000000000392e+01,1.297283600000000092e+00,1.318566500000000019e+01,4.349484699999999648e+00,7.702336499999999830e+01,7.437263200000000518e-01,5.414610699999999888e+00,9.729630000000000223e-02
1.400000000000000000e+01,7.024809999999999377e+01,1.417832699999999946e+00,1.299324599999999919e+01,4.414023499999999878e+00,7.683428399999999669e+01,9.328069799999999523e-01,5.268607499999999888e+00,1.063375000000000015e-01
1.500000000000000000e+01,6.818905700000000536e+01,1.540483499999999895e+00,1.277648499999999920e+01,4.489062699999999850e+00,7.661460300000000245e+01,1.152488200000000074e+00,5.114179199999999703e+00,1.155362999999999946e-01
1.600000000000000000e+01,6.600777999999999679e+01,1.664463000000000026e+00,1.253475700000000082e+01,4.575815000000000410e+00,7.636085199999999418e+01,1.406239000000000017e+00,4.950583499999999582e+00,1.248347000000000068e-01
1.700000000000000000e+01,6.369567700000000343e+01,1.788613500000000078e+00,1.226756199999999986e+01,4.675698900000000435e+00,7.606898999999999944e+01,1.698100699999999907e+00,4.777175800000000194e+00,1.341459999999999875e-01
1.800000000000000000e+01,6.124583700000000164e+01,1.911328099999999974e+00,1.197453199999999995e+01,4.790382499999999766e+00,7.573428599999999733e+01,2.032805000000000195e+00,4.593437699999999957e+00,1.433495999999999937e-01
1.900000000000000000e+01,5.865346900000000119e+01,2.030486999999999931e+00,1.165546800000000083e+01,4.921836299999999831e+00,7.535117900000000191e+01,2.415911799999999943e+00,4.399010200000000204e+00,1.522864999999999913e-01
2.000000000000000000e+01,5.591639599999999888e+01,2.143394999999999939e+00,1.131037399999999948e+01,5.072395400000000443e+00,7.491312000000000637e+01,2.853970900000000199e+00,4.193729699999999561e+00,1.607545999999999975e-01
2.100000000000000000e+01,5.303557800000000100e+01,2.246728500000000128e+00,1.093950099999999992e+01,5.244834799999999575e+00,7.441237999999999886e+01,3.354710799999999882e+00,3.977668299999999935e+00,1.685046000000000044e-01
2.200000000000000000e+01,5.001567399999999708e+01,2.336498600000000092e+00,1.054340099999999936e+01,5.442459399999999725e+00,7.383983399999999619e+01,3.927256999999999998e+00,3.751175499999999996e+00,1.752373999999999876e-01
2.300000000000000000e+01,4.686558999999999742e+01,2.408040900000000040e+00,1.012299400000000027e+01,5.669210099999999919e+00,7.318470999999999549e+01,4.582380500000000190e+00,3.514919200000000021e+00,1.806030999999999886e-01
2.400000000000000000e+01,4.359897999999999740e+01,2.456045899999999893e+00,9.679634000000000071e+00,5.929789399999999766e+00,7.243431999999999960e+01,5.332770700000000197e+00,3.269923499999999983e+00,1.842033999999999894e-01
2.500000000000000000e+01,4.023463799999999679e+01,2.474645900000000065e+00,9.215192000000000050e+00,6.229803000000000424e+00,7.157377300000000275e+01,6.193318200000000218e+00,3.017597799999999886e+00,1.855983999999999967e-01
2.600000000000000000e+01,3.679670200000000335e+01,2.457574999999999843e+00,8.732131799999999444e+00,6.575915499999999803e+00,7.058571600000000501e+01,7.181374800000000391e+00,2.759752600000000111e+00,1.843181000000000125e-01
2.700000000000000000e+01,3.331459900000000118e+01,2.398422000000000054e+00,8.233592200000000361e+00,6.976005500000000303e+00,6.945016200000000595e+01,8.316928600000000671e+00,2.498594900000000063e+00,1.798817000000000055e-01
2.800000000000000000e+01,2.982262700000000066e+01,2.290988399999999814e+00,7.723459100000000355e+00,7.439294000000000295e+00,6.814450999999999681e+01,9.622580400000000367e+00,2.236696999999999935e+00,1.718241000000000074e-01
2.900000000000000000e+01,2.635909600000000097e+01,2.129760699999999840e+00,7.206424000000000163e+00,7.976393100000000125e+00,6.664396200000000192e+01,1.112312900000000049e+01,1.976932200000000028e+00,1.597320999999999880e-01
3.000000000000000000e+01,2.296496499999999941e+01,1.910489399999999893e+00,6.688016799999999762e+00,8.599177900000000818e+00,6.492263499999999965e+01,1.284445599999999921e+01,1.722372400000000026e+00,1.432866999999999891e-01
3.100000000000000000e+01,1.968195199999999900e+01,1.630843999999999960e+00,6.174601000000000006e+00,9.320319100000000745e+00,6.295585499999999968e+01,1.481123499999999993e+01,1.476146399999999970e+00,1.223132999999999998e-01
3.200000000000000000e+01,1.655012999999999934e+01,1.291077899999999890e+00,5.673315399999999897e+00,1.015221099999999943e+01,6.072424199999999672e+01,1.704284900000000036e+01,1.241259700000000077e+00,9.683079999999999465e-02
3.300000000000000000e+01,1.360508699999999926e+01,8.945846600000000315e-01,5.191946500000000242e+00,1.110490599999999972e+01,5.822031199999999984e+01,1.954677799999999976e+01,1.020381600000000111e+00,6.709379999999999511e-02
3.400000000000000000e+01,1.087477999999999945e+01,4.481564199999999998e-01,4.738718800000000009e+00,1.218257299999999965e+01,5.545809899999999715e+01,2.230899199999999993e+01,8.156084999999999585e-01,3.361170000000000130e-02
3.500000000000000000e+01,8.376208800000000565e+00,-3.831949199999999667e-02,4.322000400000000297e+00,1.337799799999999983e+01,5.248540100000000308e+01,2.528168900000000008e+01,6.282157000000000435e-01,-2.873999999999999819e-03
3.600000000000000000e+01,6.112046000000000312e+00,-5.530488700000000257e-01,3.949943900000000063e+00,1.466506700000000052e+01,4.939655299999999727e+01,2.837053799999999981e+01,4.584034000000000164e-01,-4.147870000000000029e-02
3.700000000000000000e+01,4.067239200000000388e+00,-1.084691199999999967e+00,3.630125599999999952e+00,1.599017800000000022e+01,4.634113599999999877e+01,3.142595499999999831e+01,3.050429000000000057e-01,-8.135180000000000189e-02
3.800000000000000000e+01,2.205354799999999837e+00,-1.625987899999999931e+00,3.369288200000000177e+00,1.726541999999999888e+01,4.352253300000000280e+01,3.424455799999999783e+01,1.654016000000000097e-01,-1.219491000000000047e-01
