# Untitled0,TW,TE,TAW,TP,RE_over_IN,RTHI,FRD,KCF1,KCF,RCFS,H,HI,FMY,KTHP,THETA_1,DELTA,DELTAstar__1,RE_over_FT,DELTA,N,H,THETA,DELTAstar,X
1.000000000000000000e+00,5.400000000000000000e+02,8.948999999999999773e+02,1.160900000000000091e+03,6.463999999999999773e+02,1.117512000000000000e+06,2.035000000000000000e+03,1.370049999999999990e+00,3.555639999999999912e+00,4.922930000000000028e+00,4.922930000000000028e+00,4.571000000000000063e-01,1.381699999999999928e+00,1.859550000000000036e+00,0.000000000000000000e+00,1.324000000000000090e-03,9.499999999999999764e-03,6.049999999999999606e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.400000000000000000e+02,8.936000000000000227e+02,1.160799999999999955e+03,6.460000000000000000e+02,1.118413000000000000e+06,2.034000000000000000e+03,1.368880000000000097e+00,3.556020000000000181e+00,4.919059999999999988e+00,4.919069999999999609e+00,4.591999999999999971e-01,1.381599999999999939e+00,2.663479999999999848e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.499999999999999764e-03,6.080000000000000335e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,5.400000000000000000e+02,8.923999999999999773e+02,1.160599999999999909e+03,6.457000000000000455e+02,1.119266000000000000e+06,2.034000000000000000e+03,1.367750000000000021e+00,3.555930000000000035e+00,4.914729999999999599e+00,4.914749999999999730e+00,4.611000000000000099e-01,1.381599999999999939e+00,2.627460000000000129e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.499999999999999764e-03,6.099999999999999737e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,5.400000000000000000e+02,8.912000000000000455e+02,1.160500000000000000e+03,6.453999999999999773e+02,1.120075000000000000e+06,2.034000000000000000e+03,1.366670000000000051e+00,3.556000000000000050e+00,4.910770000000000302e+00,4.910820000000000185e+00,4.628999999999999782e-01,1.381599999999999939e+00,2.592519999999999936e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.499999999999999764e-03,6.130000000000000466e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,5.400000000000000000e+02,8.901000000000000227e+02,1.160299999999999955e+03,6.450000000000000000e+02,1.120844000000000000e+06,2.034000000000000000e+03,1.365620000000000056e+00,3.556039999999999868e+00,4.906930000000000014e+00,4.907009999999999650e+00,4.647000000000000020e-01,1.381499999999999950e+00,2.558030000000000026e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.499999999999999764e-03,6.149999999999999868e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,5.400000000000000000e+02,8.890000000000000000e+02,1.160200000000000045e+03,6.447000000000000455e+02,1.121577000000000000e+06,2.034000000000000000e+03,1.364619999999999944e+00,3.556080000000000130e+00,4.903249999999999886e+00,4.903369999999999784e+00,4.665000000000000258e-01,1.381499999999999950e+00,2.523239999999999927e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.499999999999999764e-03,6.170000000000000354e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,5.400000000000000000e+02,8.878999999999999773e+02,1.160099999999999909e+03,6.445000000000000000e+02,1.122276000000000000e+06,2.034000000000000000e+03,1.363650000000000029e+00,3.556130000000000013e+00,4.899700000000000166e+00,4.899869999999999948e+00,4.682000000000000051e-01,1.381499999999999950e+00,2.487260000000000026e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.499999999999999764e-03,6.199999999999999999e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,5.400000000000000000e+02,8.868999999999999773e+02,1.159900000000000091e+03,6.442000000000000455e+02,1.122945000000000000e+06,2.034000000000000000e+03,1.362710000000000088e+00,3.556189999999999962e+00,4.896270000000000344e+00,4.896490000000000009e+00,4.697999999999999954e-01,1.381499999999999950e+00,2.449170000000000069e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.599999999999999159e-03,6.220000000000000485e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,5.400000000000000000e+02,8.858999999999999773e+02,1.159799999999999955e+03,6.438999999999999773e+02,1.123588000000000000e+06,2.033000000000000000e+03,1.361799999999999899e+00,3.556239999999999846e+00,4.892949999999999910e+00,4.893229999999999968e+00,4.713999999999999857e-01,1.381399999999999961e+00,2.407989999999999853e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.599999999999999159e-03,6.239999999999999887e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,5.400000000000000000e+02,8.850000000000000000e+02,1.159700000000000045e+03,6.436000000000000227e+02,1.124208000000000000e+06,2.033000000000000000e+03,1.360919999999999908e+00,3.556299999999999795e+00,4.889719999999999622e+00,4.890049999999999564e+00,4.728999999999999870e-01,1.381399999999999961e+00,2.362849999999999895e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.599999999999999159e-03,6.260000000000000373e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
