# X_IN,Y_IN,DY_over_DX,ANGLE,D2Y_over_DX2
0.000000000000000000e+00,7.565099999999999603e-02,2.580162139999999868e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,7.778799999999999604e-02,4.701282250000000246e-02,2.691654440000000204e+00,5.937539689999999926e-01
1.600000000000000033e-01,8.367700000000000138e-02,1.003760399999999997e-01,5.731924499999999867e+00,5.970680910000000230e-01
2.399999999999999911e-01,9.329500000000000293e-02,1.360356249999999934e-01,7.746714640000000429e+00,2.944215479999999774e-01
3.200000000000000067e-01,1.050780000000000047e-01,1.600404850000000101e-01,9.092538599999999249e+00,3.659783870000000161e-01
4.000000000000000222e-01,1.192050000000000054e-01,1.950551429999999864e-01,1.103725269999999981e+01,5.093880699999999706e-01
4.799999999999999822e-01,1.364960000000000062e-01,2.368242249999999993e-01,1.332356120000000033e+01,4.990609209999999907e-01
5.600000000000000533e-01,1.569780000000000064e-01,2.744708169999999781e-01,1.534805919999999979e+01,4.421038640000000131e-01
6.400000000000000133e-01,1.802900000000000058e-01,3.075608429999999727e-01,1.709584780000000137e+01,3.851468060000000082e-01
7.199999999999999734e-01,2.060659999999999992e-01,3.360943060000000093e-01,1.857720360000000070e+01,3.281897489999999751e-01
8.000000000000000444e-01,2.339430000000000121e-01,3.600712030000000063e-01,1.980248789999999914e+01,2.712326910000000257e-01
8.800000000000000044e-01,2.635560000000000125e-01,3.794915360000000182e-01,2.078132989999999936e+01,2.142756339999999926e-01
9.599999999999999645e-01,2.945409999999999973e-01,3.943553040000000176e-01,2.152205999999999975e+01,1.573185759999999878e-01
1.040000000000000036e+00,3.265359999999999929e-01,4.050098639999999972e-01,2.204843299999999928e+01,1.206278060000000041e-01
1.120000000000000107e+00,3.593120000000000203e-01,4.142736879999999733e-01,2.250294039999999995e+01,1.109678070000000016e-01
1.199999999999999956e+00,3.927990000000000093e-01,4.227647130000000142e-01,2.291692619999999891e+01,1.013078079999999992e-01
1.280000000000000027e+00,4.269339999999999802e-01,4.304829379999999817e-01,2.329105309999999918e+01,9.164780960000000476e-02
1.360000000000000098e+00,4.616549999999999820e-01,4.374283629999999867e-01,2.362593250000000111e+01,8.198781080000000498e-02
1.439999999999999947e+00,4.969020000000000103e-01,4.436009870000000022e-01,2.392212119999999942e+01,7.232781189999999694e-02
1.520000000000000018e+00,5.326109999999999456e-01,4.490008120000000269e-01,2.418011900000000125e+01,6.266781309999999716e-02
1.600000000000000089e+00,5.687210000000000321e-01,4.536278380000000054e-01,2.440036680000000047e+01,5.300781420000000299e-02
1.679999999999999938e+00,6.051710000000000145e-01,4.574820629999999944e-01,2.458324479999999923e+01,4.334781540000000322e-02
1.760000000000000009e+00,6.418989999999999974e-01,4.606704750000000237e-01,2.473412850000000063e+01,4.007038839999999685e-02
1.840000000000000080e+00,6.788870000000000182e-01,4.640989360000000175e-01,2.489596429999999927e+01,4.564114610000000183e-02
1.919999999999999929e+00,7.161669999999999980e-01,4.679730579999999973e-01,2.507832769999999911e+01,5.121190379999999986e-02
2.000000000000000000e+00,7.537740000000000551e-01,4.722928410000000188e-01,2.528103049999999996e+01,5.678266149999999790e-02
