# POINT,X,X_IN,Mach,DM_over_DX,D2M_over_DX2,D3M_over_DX3,W_Q_over_Astar,DW_over_DX,D2W_over_DX2,D3W_over_DX3
1.000000000000000000e+00,1.078706399999999945e+02,8.090299999999999159e+00,1.800000000000000000e+01,-4.286674999999999787e-16,-9.793643000000000605e-18,2.596529999999999888e-04,1.990436000000000094e+00,-4.346650000000000287e-19,-9.930666000000000473e-21,2.632857999999999818e-07
2.000000000000000000e+00,1.043822499999999991e+02,7.828669999999999796e+00,1.799820400000000120e+01,1.533047000000000055e-03,-8.655282999999999510e-04,2.365807000000000099e-04,1.990434000000000037e+00,1.554957000000000019e-06,-8.782920999999999532e-07,2.406288999999999849e-07
3.000000000000000000e+00,1.009205900000000042e+02,7.569040000000000212e+00,1.798611500000000163e+01,5.900963999999999862e-03,-1.644861999999999973e-03,2.136852999999999919e-04,1.990421999999999914e+00,5.997265000000000254e-06,-1.677554000000000041e-06,2.220710000000000038e-07
4.000000000000000000e+00,9.748615999999999815e+01,7.311460000000000292e+00,1.795474300000000056e+01,1.276571999999999950e-02,-2.339742000000000124e-03,1.909698999999999891e-04,1.990390000000000104e+00,1.304155000000000052e-05,-2.417857999999999865e-06,2.103280999999999946e-07
5.000000000000000000e+00,9.407945999999999742e+01,7.055959999999999788e+00,1.789645600000000059e+01,2.180108000000000046e-02,-2.951939000000000212e-03,1.684380000000000024e-04,1.990329999999999933e+00,2.248843999999999911e-05,-3.126431000000000052e-06,2.072153999999999882e-07
6.000000000000000000e+00,9.070104000000000610e+01,6.802579999999999849e+00,1.780490999999999957e+01,3.269272000000000150e-02,-3.483247999999999987e-03,1.460931000000000057e-04,1.990234999999999976e+00,3.424142000000000190e-05,-3.835105000000000274e-06,2.140941999999999955e-07
7.000000000000000000e+00,8.735146000000000299e+01,6.551359999999999850e+00,1.767498199999999997e+01,4.513828999999999758e-02,-3.935496000000000133e-03,1.239388999999999866e-04,1.990097000000000005e+00,4.831678999999999721e-05,-4.579275999999999692e-06,2.322703000000000043e-07
8.000000000000000000e+00,8.403130000000000166e+01,6.302349999999999675e+00,1.750270199999999932e+01,5.884752000000000038e-02,-4.310536999999999702e-03,1.019793999999999947e-04,1.989910000000000068e+00,6.485154000000000352e-05,-5.398118000000000110e-06,2.633409000000000099e-07
9.000000000000000000e+00,8.074120000000000630e+01,6.055589999999999584e+00,1.728518400000000099e+01,7.354233000000000298e-02,-4.610262999999999861e-03,8.021857999999999658e-05,1.989665999999999935e+00,8.411294999999999568e-05,-6.335864999999999858e-06,3.095174000000000264e-07
1.000000000000000000e+01,7.748180000000000689e+01,5.811130000000000351e+00,1.702055899999999866e+01,8.895696000000000159e-02,-4.836593999999999616e-03,5.866087999999999798e-05,1.989355999999999902e+00,1.065130999999999950e-04,-7.444070000000000033e-06,3.739637000000000229e-07
1.100000000000000000e+01,7.425378999999999508e+01,5.569029999999999703e+00,1.670790799999999976e+01,1.048381000000000035e-01,-4.991492999999999625e-03,3.731082000000000338e-05,1.988971999999999962e+00,1.326311000000000048e-04,-8.784912000000000704e-06,4.611992999999999759e-07
1.200000000000000000e+01,7.105791000000000679e+01,5.329340000000000188e+00,1.634719399999999823e+01,1.209448000000000051e-01,-5.076956999999999998e-03,1.617323000000000168e-05,1.988499999999999934e+00,1.632456000000000011e-04,-1.043575000000000084e-05,5.776283999999999845e-07
1.300000000000000000e+01,6.789493000000000222e+01,5.092120000000000424e+00,1.593919299999999950e+01,1.370492000000000099e-01,-5.095027999999999710e-03,-4.746787999999999690e-06,1.987927999999999917e+00,1.993823000000000036e-04,-1.249538999999999998e-05,7.322751999999999952e-07
1.400000000000000000e+01,6.476565999999999690e+01,4.857420000000000293e+00,1.548543399999999970e+01,1.529359000000000135e-01,-5.047791000000000257e-03,-2.544381999999999994e-05,1.987238999999999978e+00,2.423799999999999935e-04,-1.509261000000000084e-05,9.378368000000000245e-07
1.500000000000000000e+01,6.167096999999999696e+01,4.625320000000000320e+00,1.498812399999999911e+01,1.684026999999999885e-01,-4.937379000000000420e-03,-4.591210999999999773e-05,1.986412000000000067e+00,2.939829999999999939e-04,-1.839808000000000123e-05,1.212216000000000033e-06
1.600000000000000000e+01,5.861180000000000234e+01,4.395880000000000010e+00,1.445009100000000046e+01,1.832605999999999957e-01,-4.765977000000000234e-03,-6.614552999999999416e-05,1.985419999999999963e+00,3.564691000000000257e-04,-2.264108999999999840e-05,1.580779000000000023e-06
1.700000000000000000e+01,5.558912000000000120e+01,4.169179999999999886e+00,1.387470800000000004e+01,1.973340000000000094e-01,-4.535825000000000273e-03,-8.613755000000000337e-05,1.984231999999999996e+00,4.328272000000000087e-04,-2.813326000000000108e-05,2.079698000000000125e-06
1.800000000000000000e+01,5.260399999999999920e+01,3.945300000000000029e+00,1.326583699999999943e+01,2.104609000000000063e-01,-4.249226000000000045e-03,-1.058811999999999986e-04,1.982804000000000011e+00,5.270042000000000389e-04,-3.530262999999999847e-05,2.760962000000000129e-06
1.900000000000000000e+01,4.965756999999999977e+01,3.724320000000000075e+00,1.262775700000000079e+01,2.224930999999999992e-01,-3.908545000000000248e-03,-1.253689000000000051e-04,1.981085999999999903e+00,6.442505000000000280e-04,-4.474291000000000222e-05,3.699918000000000004e-06
2.000000000000000000e+01,4.675106000000000250e+01,3.506330000000000169e+00,1.196510199999999990e+01,2.332966999999999957e-01,-3.516223000000000178e-03,-1.445925000000000086e-04,1.979008000000000100e+00,7.916059000000000030e-04,-5.728548999999999827e-05,5.006709999999999706e-06
2.100000000000000000e+01,4.388579000000000008e+01,3.291430000000000078e+00,1.128279599999999938e+01,2.427522000000000013e-01,-3.074775999999999985e-03,-1.635434999999999970e-04,1.976482999999999990e+00,9.785869999999999465e-04,-7.410518999999999581e-05,6.843704999999999725e-06
2.200000000000000000e+01,4.106320000000000192e+01,3.079740000000000144e+00,1.058598600000000012e+01,2.507547999999999999e-01,-2.586811999999999966e-03,-1.822120999999999897e-04,1.973397999999999985e+00,1.218165999999999910e-03,-9.687646000000000386e-05,9.452162000000000118e-06
2.300000000000000000e+01,3.828484000000000265e+01,2.871360000000000134e+00,9.879982000000000042e+00,2.572150000000000269e-01,-2.055032999999999947e-03,-2.005882999999999917e-04,1.969602999999999993e+00,1.528166999999999980e-03,-1.280049999999999916e-04,1.319298999999999987e-05
2.400000000000000000e+01,3.555241999999999791e+01,2.666430000000000078e+00,9.170189000000000590e+00,2.620588999999999835e-01,-1.482252000000000092e-03,-2.186605000000000048e-04,1.964901000000000009e+00,1.933271000000000078e-03,-1.709712000000000005e-04,1.860876999999999836e-05
2.500000000000000000e+01,3.286782000000000181e+01,2.465090000000000003e+00,8.462044000000000565e+00,2.652288999999999897e-01,-8.714019000000000365e-04,-2.364164999999999886e-04,1.959028999999999909e+00,2.467881999999999802e-03,-2.308365000000000048e-04,2.651682999999999867e-05
2.600000000000000000e+01,3.023310999999999993e+01,2.267479999999999940e+00,7.760952999999999768e+00,2.666839999999999766e-01,-2.255579999999999976e-04,-2.538423999999999737e-04,1.951637000000000066e+00,3.180208999999999814e-03,-3.149809000000000051e-04,3.814505999999999897e-05
2.700000000000000000e+01,2.765061000000000035e+01,2.073799999999999866e+00,7.072230000000000238e+00,2.664011000000000018e-01,4.520460000000000016e-04,-2.709230999999999879e-04,1.942253000000000007e+00,4.138008000000000311e-03,-4.341489999999999932e-04,5.531945000000000108e-05
2.800000000000000000e+01,2.512290000000000134e+01,1.884220000000000006e+00,6.401030000000000442e+00,2.643750999999999740e-01,1.157990999999999925e-03,-2.876415000000000005e-04,1.930242999999999931e+00,5.436428999999999567e-03,-6.038591999999999528e-04,8.069454999999999467e-05
2.900000000000000000e+01,2.265289999999999893e+01,1.698970000000000091e+00,5.752288000000000068e+00,2.606207999999999858e-01,1.888640999999999931e-03,-3.039780999999999755e-04,1.914749000000000034e+00,7.208250999999999721e-03,-8.461153999999999594e-04,1.179602999999999961e-04
3.000000000000000000e+01,2.024393999999999849e+01,1.518299999999999983e+00,5.130660999999999916e+00,2.551738000000000062e-01,2.640102000000000074e-03,-3.199109000000000002e-04,1.894627000000000061e+00,9.635941999999999771e-03,-1.191013000000000098e-03,1.718090000000000079e-04
3.100000000000000000e+01,1.789986999999999995e+01,1.342489999999999961e+00,4.540465000000000195e+00,2.480921000000000098e-01,3.408167000000000141e-03,-3.354146000000000124e-04,1.868362999999999996e+00,1.296290999999999936e-02,-1.676996999999999950e-03,2.471155000000000161e-04
3.200000000000000000e+01,1.562518000000000029e+01,1.171890000000000098e+00,3.985612999999999850e+00,2.394587999999999994e-01,4.188243999999999821e-03,-3.504595000000000214e-04,1.834008000000000083e+00,1.749668999999999877e-02,-2.346856999999999936e-03,3.461970999999999994e-04
