# POINT,X,Y,Mach,FLOW_ANG__D,WALTAN,SECDIF
1.000000000000000000e+00,0.000000000000000000e+00,1.000018000000000074e+00,1.011043300000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.499954999999999886e-02
2.000000000000000000e+00,1.495962600000000017e-02,1.000028899999999998e+00,1.013895599999999897e+00,8.418838200000000604e-02,1.469365499999999991e-03,9.899314300000000566e-02
3.000000000000000000e+00,2.941456799999999858e-02,1.000060500000000019e+00,1.016631000000000062e+00,1.667918599999999862e-01,2.911075400000000084e-03,1.003260599999999947e-01
4.000000000000000000e+00,4.339319500000000246e-02,1.000110999999999972e+00,1.019256399999999951e+00,2.475988899999999882e-01,4.321442699999999797e-03,1.013000599999999973e-01
5.000000000000000000e+00,5.692963399999999979e-02,1.000178800000000034e+00,1.021779500000000063e+00,3.264678300000000144e-01,5.698000200000000008e-03,1.017354199999999931e-01
6.000000000000000000e+00,7.006460700000000097e-02,1.000262399999999996e+00,1.024208199999999902e+00,4.030597699999999839e-01,7.034836200000000109e-03,1.010220899999999949e-01
7.000000000000000000e+00,8.284624899999999681e-02,1.000360600000000044e+00,1.026551200000000108e+00,4.764995100000000150e-01,8.316677099999999351e-03,9.897671299999999395e-02
8.000000000000000000e+00,9.533083900000000055e-02,1.000472199999999923e+00,1.028817599999999999e+00,5.463774500000000423e-01,9.536374599999999577e-03,9.543271899999999919e-02
9.000000000000000000e+00,1.075833800000000062e-01,1.000596299999999994e+00,1.031017199999999967e+00,6.118068399999999629e-01,1.067845000000000079e-02,8.958814499999999403e-02
1.000000000000000000e+01,1.196779000000000037e-01,1.000731999999999955e+00,1.033160099999999915e+00,6.714025000000000132e-01,1.171872099999999965e-02,8.177614399999999506e-02
1.100000000000000000e+01,1.316973800000000028e-01,1.000878799999999957e+00,1.035257300000000047e+00,7.248121299999999989e-01,1.265103300000000076e-02,7.254590499999999387e-02
1.200000000000000000e+01,1.437331400000000092e-01,1.001036299999999990e+00,1.037319799999999903e+00,7.713646199999999453e-01,1.346366599999999913e-02,6.187828000000000078e-02
1.300000000000000000e+01,1.558837200000000034e-01,1.001204500000000053e+00,1.039358999999999922e+00,8.104715799999999692e-01,1.414634099999999978e-02,5.046018699999999663e-02
1.400000000000000000e+01,1.682530799999999993e-01,1.001383300000000087e+00,1.041386200000000040e+00,8.420967499999999495e-01,1.469841900000000076e-02,3.900442800000000071e-02
1.500000000000000000e+01,1.809482400000000102e-01,1.001573100000000105e+00,1.043412500000000076e+00,8.662606499999999654e-01,1.512025300000000017e-02,2.784768400000000102e-02
1.600000000000000000e+01,1.940765100000000076e-01,1.001773900000000106e+00,1.045448200000000050e+00,8.830185900000000476e-01,1.541280199999999975e-02,1.701700999999999908e-02
1.700000000000000000e+01,2.077425200000000138e-01,1.001986100000000102e+00,1.047503000000000073e+00,8.920478699999999650e-01,1.557043099999999916e-02,7.696723899999999806e-03
1.800000000000000000e+01,2.220453400000000077e-01,1.002209499999999975e+00,1.049585599999999896e+00,8.950630899999999501e-01,1.562306899999999985e-02,1.420435999999999964e-03
1.900000000000000000e+01,2.370759400000000128e-01,1.002444399999999902e+00,1.051703199999999949e+00,8.942413799999999746e-01,1.560872399999999917e-02,-1.785236799999999997e-03
2.000000000000000000e+01,2.529153199999999990e-01,1.002691299999999952e+00,1.053861900000000018e+00,8.918272200000000316e-01,1.556657900000000053e-02,5.120596899999999918e-04
2.100000000000000000e+01,2.696333499999999939e-01,1.002951200000000043e+00,1.056066600000000077e+00,8.955245899999999537e-01,1.563112499999999919e-02,1.033220299999999987e-02
2.200000000000000000e+01,2.872884600000000233e-01,1.003228699999999973e+00,1.058320900000000009e+00,9.128849799999999570e-01,1.593419700000000064e-02,2.375243000000000146e-02
2.300000000000000000e+01,3.059279999999999777e-01,1.003530000000000033e+00,1.060627399999999998e+00,9.456692300000000273e-01,1.650654099999999957e-02,3.417908000000000057e-02
2.400000000000000000e+01,3.255892400000000020e-01,1.003861700000000079e+00,1.062987799999999927e+00,9.882870599999999950e-01,1.725057400000000116e-02,3.951728000000000185e-02
2.500000000000000000e+01,3.463007100000000116e-01,1.004227200000000098e+00,1.065403300000000053e+00,1.037259500000000001e+00,1.810557100000000086e-02,4.127939800000000187e-02
2.600000000000000000e+01,1.633893599999999946e+00,1.063997899999999941e+00,1.246313000000000004e+00,4.066856300000000424e+00,7.109947599999999479e-02,3.766666700000000090e-02
2.700000000000000000e+01,3.371823700000000201e+00,1.245455200000000096e+00,1.538786900000000069e+00,7.315231800000000284e+00,1.283731700000000087e-01,2.946622399999999919e-02
