# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,1.291531800000000063e-01,0.000000000000000000e+00,1.011043300000000089e+00,8.152386900000000480e+01,4.662427200000000133e-02,0.000000000000000000e+00,9.686500000000000665e-03,0.000000000000000000e+00
2.000000000000000000e+00,1.230518000000000028e-01,4.166741699999999826e-02,1.010288999999999993e+00,8.181589700000000676e+01,4.195378100000000249e-02,4.670491500000000309e-03,9.228899999999999951e-03,3.125100000000000013e-03
3.000000000000000000e+00,1.171554399999999996e-01,8.333483299999999705e-02,1.009619000000000044e+00,8.208467299999999511e+01,3.794206600000000346e-02,8.682206099999999205e-03,8.786699999999999719e-03,6.250099999999999753e-03
4.000000000000000000e+00,1.114464899999999953e-01,1.250022500000000092e-01,1.009030600000000000e+00,8.232869599999999366e+01,3.452994899999999728e-02,1.209432300000000057e-02,8.358499999999999611e-03,9.375200000000000200e-03
5.000000000000000000e+00,1.059063199999999982e-01,1.666696699999999920e-01,1.008521400000000012e+00,8.254655800000000454e+01,3.166283300000000134e-02,1.496143899999999999e-02,7.943000000000000407e-03,1.250019999999999951e-02
6.000000000000000000e+00,1.005153099999999966e-01,2.083370800000000078e-01,1.008088600000000001e+00,8.273700700000000552e+01,2.929093600000000006e-02,1.733333700000000074e-02,7.538600000000000335e-03,1.562530000000000169e-02
7.000000000000000000e+00,9.525301399999999696e-02,2.500045000000000184e-01,1.007729499999999945e+00,8.289900699999999745e+01,2.736948300000000001e-02,1.925479000000000079e-02,7.144000000000000176e-03,1.875030000000000099e-02
8.000000000000000000e+00,9.009835800000000339e-02,2.916719199999999734e-01,1.007441299999999984e+00,8.303180100000000152e+01,2.585883900000000152e-02,2.076543299999999981e-02,6.757400000000000212e-03,2.187539999999999971e-02
9.000000000000000000e+00,8.502983100000000016e-02,3.333393299999999893e-01,1.007221300000000097e+00,8.313496299999999906e+01,2.472456899999999833e-02,2.189970299999999953e-02,6.377200000000000403e-03,2.500039999999999901e-02
1.000000000000000000e+01,8.002575200000000555e-02,3.750067499999999998e-01,1.007066699999999981e+00,8.320843200000000195e+01,2.393740499999999841e-02,2.268686699999999945e-02,6.001900000000000117e-03,2.812550000000000119e-02
1.100000000000000000e+01,7.506454099999999852e-02,4.166741700000000104e-01,1.006974700000000000e+00,8.325252500000000566e+01,2.347312600000000041e-02,2.315114700000000039e-02,5.629799999999999909e-03,3.125060000000000338e-02
1.200000000000000000e+01,7.012498799999999921e-02,4.583415800000000262e-01,1.006942699999999968e+00,8.326793100000000436e+01,2.331234399999999873e-02,2.331192799999999912e-02,5.259400000000000013e-03,3.437559999999999921e-02
1.300000000000000000e+01,6.518651200000000201e-02,5.000090000000000368e-01,1.006968099999999922e+00,8.325567300000000159e+01,2.344021300000000141e-02,2.318405899999999992e-02,4.889000000000000117e-03,3.750069999999999792e-02
1.400000000000000000e+01,6.022938900000000123e-02,5.416764099999999971e-01,1.007048600000000071e+00,8.321706000000000358e+01,2.384607399999999836e-02,2.277819799999999950e-02,4.517199999999999861e-03,4.062570000000000070e-02
1.500000000000000000e+01,5.523493000000000153e-02,5.833438300000000076e-01,1.007181899999999963e+00,8.315362000000000364e+01,2.452305600000000141e-02,2.210121599999999992e-02,4.142599999999999755e-03,4.375079999999999941e-02
1.600000000000000000e+01,5.018561800000000128e-02,6.250112500000000182e-01,1.007365800000000089e+00,8.306703000000000259e+01,2.546766699999999939e-02,2.115660600000000141e-02,3.763900000000000145e-03,4.687580000000000219e-02
1.700000000000000000e+01,4.506519099999999750e-02,6.666786599999999785e-01,1.007598500000000064e+00,8.295904600000000073e+01,2.667937600000000117e-02,1.994489699999999963e-02,3.379899999999999918e-03,5.000090000000000090e-02
1.800000000000000000e+01,3.985867199999999777e-02,7.083460799999999891e-01,1.007878199999999946e+00,8.283144500000000221e+01,2.816022400000000106e-02,1.846404899999999974e-02,2.989400000000000130e-03,5.312599999999999961e-02
1.900000000000000000e+01,3.455236799999999997e-02,7.500134999999999996e-01,1.008203399999999972e+00,8.268596999999999753e+01,2.991446000000000036e-02,1.670981200000000097e-02,2.591400000000000214e-03,5.625100000000000239e-02
2.000000000000000000e+01,2.913383099999999892e-02,7.916809099999999599e-01,1.008572699999999989e+00,8.252429499999999507e+01,3.194821899999999992e-02,1.467605399999999914e-02,2.184999999999999876e-03,5.937610000000000110e-02
2.100000000000000000e+01,2.359179200000000032e-02,8.333483299999999705e-01,1.008984899999999962e+00,8.234799399999999991e+01,3.426923600000000153e-02,1.235503699999999927e-02,1.769399999999999966e-03,6.250110000000000388e-02
2.200000000000000000e+01,1.791608600000000120e-02,8.750157499999999811e-01,1.009438899999999917e+00,8.215852700000000652e+01,3.688660900000000076e-02,9.737663000000000568e-03,1.343699999999999973e-03,6.562619999999999565e-02
2.300000000000000000e+01,1.209756300000000041e-02,9.166831600000000524e-01,1.009933799999999993e+00,8.195722999999999558e+01,3.981059700000000312e-02,6.813675200000000008e-03,9.072999999999999902e-04,6.875119999999999842e-02
2.400000000000000000e+01,6.127997599999999816e-03,9.583505799999999519e-01,1.010468799999999945e+00,8.174531500000000506e+01,4.305244899999999958e-02,3.571823000000000012e-03,4.596000000000000042e-04,7.187630000000000408e-02
2.500000000000000000e+01,0.000000000000000000e+00,1.000018000000000074e+00,1.011043300000000089e+00,8.152386900000000480e+01,4.662427200000000133e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.500130000000000685e-02
