# Untitled0,TW,TE,TAW,TP,RE_over_IN,RTHI,FRD,KCF1,KCF,RCFS,H,HI,FMY,KTHP,THETA_1,DELTA,DELTAstar__1,N,CH,H,HU,CTH,THU,DSU,X
1.000000000000000000e+00,5.400000000000000000e+02,6.572999999999999545e+02,8.691000000000000227e+02,5.776000000000000227e+02,1.578694000000000000e+06,2.596000000000000000e+03,1.125550000000000050e+00,3.379119999999999902e+00,3.845740000000000158e+00,3.845740000000000158e+00,9.547999999999999821e-01,1.366400000000000059e+00,1.325730000000000075e+00,0.000000000000000000e+00,1.449999999999999900e-03,1.200000000000000025e-02,1.384999999999999946e-03,5.458960000000000257e+00,9.547189999999999843e-01,1.452500000000000015e-03,1.461000000000000059e-03,1.452500000000000015e-03,1.461000000000000059e-03,1.389999999999999960e-03,0.000000000000000000e+00
2.000000000000000000e+00,5.400000000000000000e+02,6.547000000000000455e+02,8.687999999999999545e+02,5.767999999999999545e+02,1.581468000000000000e+06,2.595000000000000000e+03,1.122870000000000035e+00,3.379539999999999988e+00,3.836199999999999832e+00,3.836230000000000029e+00,9.624000000000000332e-01,1.366300000000000070e+00,1.323139999999999983e+00,0.000000000000000000e+00,1.449999999999999900e-03,1.200000000000000025e-02,1.396000000000000105e-03,5.460320000000000285e+00,9.623209999999999820e-01,1.452500000000000015e-03,1.461099999999999899e-03,1.452500000000000015e-03,1.461099999999999899e-03,1.399999999999999986e-03,8.000000000000000167e-03
3.000000000000000000e+00,5.400000000000000000e+02,6.520000000000000000e+02,8.683999999999999773e+02,5.758999999999999773e+02,1.584209000000000000e+06,2.593000000000000000e+03,1.120109999999999939e+00,3.380030000000000090e+00,3.826430000000000220e+00,3.826509999999999856e+00,9.701999999999999513e-01,1.366200000000000081e+00,1.315569999999999906e+00,5.100000000000000366e-03,1.449999999999999900e-03,1.200000000000000025e-02,1.407000000000000048e-03,5.461700000000000443e+00,9.702049999999999841e-01,1.452500000000000015e-03,1.461099999999999899e-03,1.452500000000000015e-03,1.461099999999999899e-03,1.420000000000000038e-03,1.499999999999999944e-02
4.000000000000000000e+00,5.400000000000000000e+02,6.492000000000000455e+02,8.681000000000000227e+02,5.751000000000000227e+02,1.586892000000000000e+06,2.591000000000000000e+03,1.117289999999999894e+00,3.380549999999999944e+00,3.816450000000000120e+00,3.816609999999999836e+00,9.784000000000000474e-01,1.366100000000000092e+00,1.298240000000000061e+00,2.514999999999999875e-02,1.451000000000000033e-03,1.200000000000000025e-02,1.418999999999999906e-03,5.471949999999999648e+00,1.031822000000000017e+00,1.454999999999999913e-03,1.463700000000000070e-03,1.454999999999999913e-03,1.463700000000000070e-03,1.510000000000000057e-03,7.199999999999999456e-02
5.000000000000000000e+00,5.400000000000000000e+02,6.463999999999999773e+02,8.677000000000000455e+02,5.742000000000000455e+02,1.589456000000000000e+06,2.589000000000000000e+03,1.114460000000000006e+00,3.381069999999999798e+00,3.806449999999999889e+00,3.806709999999999816e+00,9.865000000000000435e-01,1.366000000000000103e+00,1.291730000000000045e+00,2.934000000000000150e-02,1.451000000000000033e-03,1.200000000000000025e-02,1.430999999999999980e-03,5.471949999999999648e+00,1.031822000000000017e+00,1.454999999999999913e-03,1.463700000000000070e-03,1.454999999999999913e-03,1.463700000000000070e-03,1.510000000000000057e-03,7.199999999999999456e-02
6.000000000000000000e+00,5.400000000000000000e+02,6.435000000000000000e+02,8.672999999999999545e+02,5.732999999999999545e+02,1.592025000000000000e+06,2.587000000000000000e+03,1.111480000000000024e+00,3.381670000000000176e+00,3.795999999999999819e+00,3.796400000000000219e+00,9.951999999999999735e-01,1.365899999999999892e+00,1.285749999999999948e+00,3.253999999999999948e-02,1.451000000000000033e-03,1.209999999999999964e-02,1.443999999999999971e-03,5.471949999999999648e+00,1.031822000000000017e+00,1.454999999999999913e-03,1.463700000000000070e-03,1.454999999999999913e-03,1.463700000000000070e-03,1.510000000000000057e-03,7.199999999999999456e-02
7.000000000000000000e+00,5.400000000000000000e+02,6.406000000000000227e+02,8.670000000000000000e+02,5.723999999999999773e+02,1.594475000000000000e+06,2.584000000000000000e+03,1.108489999999999975e+00,3.382299999999999862e+00,3.785509999999999931e+00,3.786080000000000112e+00,1.003900000000000015e+00,1.365799999999999903e+00,1.262610000000000010e+00,6.051999999999999741e-02,1.451000000000000033e-03,1.209999999999999964e-02,1.456999999999999962e-03,5.471949999999999648e+00,1.031822000000000017e+00,1.454999999999999913e-03,1.463700000000000070e-03,1.454999999999999913e-03,1.463700000000000070e-03,1.510000000000000057e-03,7.199999999999999456e-02
8.000000000000000000e+00,5.400000000000000000e+02,6.377000000000000455e+02,8.666000000000000227e+02,5.715000000000000000e+02,1.596800000000000000e+06,2.582000000000000000e+03,1.105490000000000084e+00,3.382919999999999927e+00,3.774999999999999911e+00,3.775760000000000005e+00,1.012699999999999934e+00,1.365699999999999914e+00,1.265549999999999953e+00,5.045999999999999791e-02,1.451999999999999949e-03,1.209999999999999964e-02,1.469999999999999953e-03,5.471949999999999648e+00,1.031822000000000017e+00,1.454999999999999913e-03,1.463700000000000070e-03,1.454999999999999913e-03,1.463700000000000070e-03,1.510000000000000057e-03,7.199999999999999456e-02
9.000000000000000000e+00,5.400000000000000000e+02,6.346000000000000227e+02,8.662000000000000455e+02,5.705000000000000000e+02,1.599163000000000000e+06,2.579000000000000000e+03,1.102260000000000018e+00,3.383710000000000218e+00,3.763809999999999878e+00,3.764800000000000146e+00,1.022299999999999986e+00,1.365599999999999925e+00,1.258369999999999989e+00,5.487000000000000210e-02,1.451999999999999949e-03,1.220000000000000077e-02,1.484999999999999992e-03,5.471949999999999648e+00,1.031822000000000017e+00,1.454999999999999913e-03,1.463700000000000070e-03,1.454999999999999913e-03,1.463700000000000070e-03,1.510000000000000057e-03,7.199999999999999456e-02
1.000000000000000000e+01,5.400000000000000000e+02,6.315000000000000000e+02,8.657999999999999545e+02,5.696000000000000227e+02,1.601340000000000000e+06,2.576000000000000000e+03,1.099089999999999900e+00,3.384479999999999933e+00,3.752810000000000201e+00,3.754070000000000018e+00,1.031800000000000050e+00,1.365499999999999936e+00,1.229789999999999939e+00,9.028999999999999526e-02,1.453000000000000081e-03,1.220000000000000077e-02,1.498999999999999898e-03,5.471949999999999648e+00,1.031822000000000017e+00,1.454999999999999913e-03,1.463700000000000070e-03,1.454999999999999913e-03,1.463700000000000070e-03,1.510000000000000057e-03,7.199999999999999456e-02
