# X_IN,Y_IN,DY_over_DX,ANGLE,D2Y_over_DX2
-4.322000000000000321e-03,5.015410000000000146e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.364760130000000182e-01
8.000000000000000167e-02,5.027359999999999607e-01,2.851260610000000070e-02,1.633209509999999920e+00,3.345246130000000262e-01
1.600000000000000033e-01,5.060940000000000438e-01,5.560296630000000073e-02,3.182538189999999823e+00,3.327571879999999815e-01
2.399999999999999911e-01,5.116559999999999997e-01,8.377492920000000065e-02,4.788767850000000159e+00,3.482137829999999989e-01
3.200000000000000067e-01,5.195170000000000066e-01,1.137539729999999943e-01,6.489726209999999718e+00,4.181292340000000163e-01
4.000000000000000222e-01,5.298220000000000152e-01,1.414368530000000013e-01,8.050337479999999601e+00,2.439693759999999878e-01
4.799999999999999822e-01,5.429739999999999567e-01,2.028917259999999945e-01,1.146915480000000009e+01,1.295908140000000097e+00
5.600000000000000533e-01,5.642239999999999478e-01,3.476833109999999949e-01,1.917171009999999853e+01,2.604608040000000013e+00
6.400000000000000133e-01,5.938400000000000345e-01,3.785942460000000231e-01,2.073637739999999852e+01,7.032220660000000345e-01
7.199999999999999734e-01,6.259019999999999584e-01,4.170355009999999751e-01,2.263786909999999963e+01,2.720083460000000120e-01
8.000000000000000444e-01,6.599000000000000421e-01,4.299761309999999837e-01,2.326655059999999864e+01,5.150740119999999700e-02
8.800000000000000044e-01,6.942509999999999515e-01,4.272514439999999802e-01,2.313466610000000045e+01,-5.598997449999999765e-02
9.599999999999999645e-01,7.282920000000000504e-01,4.242986320000000089e-01,2.299144599999999983e+01,-1.783031070000000093e-02
1.040000000000000036e+00,7.622189999999999799e-01,4.242304410000000137e-01,2.298813489999999859e+01,3.887688050000000055e-03
1.120000000000000107e+00,7.961420000000000163e-01,4.234956280000000128e-01,2.295244530000000083e+01,-2.225800589999999898e-02
1.199999999999999956e+00,8.299220000000000486e-01,4.206691599999999864e-01,2.281498889999999946e+01,-4.840369979999999822e-02
1.280000000000000027e+00,8.633960000000000523e-01,4.159996129999999903e-01,2.258729160000000036e+01,-6.158224849999999889e-02
1.360000000000000098e+00,8.964800000000000546e-01,4.111095089999999841e-01,2.234802979999999906e+01,-6.067035769999999661e-02
1.439999999999999947e+00,9.291760000000000019e-01,4.062923560000000212e-01,2.211153129999999933e+01,-5.975846700000000261e-02
1.520000000000000018e+00,9.614890000000000381e-01,4.015481960000000239e-01,2.187783849999999930e+01,-5.880828820000000290e-02
1.600000000000000089e+00,9.934269999999999490e-01,3.969360889999999920e-01,2.164991429999999895e+01,-5.649437720000000107e-02
1.679999999999999938e+00,1.025003000000000108e+00,3.925090949999999745e-01,2.143045890000000142e+01,-5.418046619999999924e-02
1.760000000000000009e+00,1.056232999999999977e+00,3.882672140000000272e-01,2.121955889999999911e+01,-5.186655519999999742e-02
1.840000000000000080e+00,1.087131000000000070e+00,3.842104459999999833e-01,2.101729690000000161e+01,-4.955264420000000253e-02
1.919999999999999929e+00,1.117712000000000039e+00,3.803436510000000048e-01,2.082399440000000013e+01,-4.708284339999999762e-02
2.000000000000000000e+00,1.147991999999999901e+00,3.766775809999999836e-01,2.064026679999999914e+01,-4.456891290000000033e-02
2.080000000000000071e+00,1.177985999999999978e+00,3.732126250000000200e-01,2.046620920000000154e+01,-4.205498249999999744e-02
2.160000000000000142e+00,1.207710999999999979e+00,3.699487839999999750e-01,2.030189250000000101e+01,-3.954105200000000014e-02
2.240000000000000213e+00,1.237182999999999922e+00,3.668860569999999877e-01,2.014738309999999899e+01,-3.702712150000000285e-02
2.319999999999999840e+00,1.266418000000000044e+00,3.639939560000000074e-01,2.000120019999999954e+01,-3.582700199999999668e-02
2.399999999999999911e+00,1.295422999999999991e+00,3.611377680000000256e-01,1.985656549999999854e+01,-3.557771299999999692e-02
2.479999999999999982e+00,1.324200000000000044e+00,3.583015219999999834e-01,1.971267930000000135e+01,-3.532842399999999716e-02
2.560000000000000053e+00,1.352751000000000037e+00,3.554852199999999907e-01,1.956954809999999867e+01,-3.507913499999999740e-02
2.640000000000000124e+00,1.381078000000000028e+00,3.526888610000000202e-01,1.942717850000000013e+01,-3.482984599999999764e-02
2.720000000000000195e+00,1.409181999999999935e+00,3.499124450000000164e-01,1.928557699999999997e+01,-3.458055689999999655e-02
