# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,1.034818599999999922e+00,0.000000000000000000e+00,1.437813800000000031e+00,4.406710199999999844e+01,8.705164599999999808e+00,0.000000000000000000e+00,5.174092999999999609e-01,0.000000000000000000e+00
3.000000000000000000e+00,1.220398099999999930e+00,1.724743599999999932e-01,1.540772299999999984e+00,4.046814499999999981e+01,1.121668799999999955e+01,1.312039699999999920e+00,6.101990000000000469e-01,8.623719999999999997e-02
5.000000000000000000e+00,1.404748399999999897e+00,3.319472700000000165e-01,1.658058400000000043e+00,3.709332500000000010e+01,1.404593700000000034e+01,2.897165000000000212e+00,7.023741999999999486e-01,1.659735999999999989e-01
7.000000000000000000e+00,1.576685799999999915e+00,4.729076700000000022e-01,1.783382299999999976e+00,3.410645399999999938e+01,1.698593400000000031e+01,4.640468099999999652e+00,7.883428999999999576e-01,2.364537999999999918e-01
9.000000000000000000e+00,1.727344200000000107e+00,5.921080100000000179e-01,1.909654399999999974e+00,3.157774099999999962e+01,1.983228799999999836e+01,6.414748399999999684e+00,8.636721000000000537e-01,2.960539999999999838e-01
1.100000000000000000e+01,1.851327600000000073e+00,6.882504900000000481e-01,2.030118100000000148e+00,2.951044299999999865e+01,2.242516399999999877e+01,8.109728300000000445e+00,9.256638000000000366e-01,3.441252000000000200e-01
1.300000000000000000e+01,1.947132700000000050e+00,7.619142300000000256e-01,2.139460800000000162e+00,2.786614199999999997e+01,2.467023199999999861e+01,9.649427799999999777e+00,9.735664000000000540e-01,3.809570999999999930e-01
1.500000000000000000e+01,2.016575099999999843e+00,8.152737899999999982e-01,2.234447600000000200e+00,2.658582900000000038e+01,2.653616799999999998e+01,1.099495399999999989e+01,1.008287500000000003e+00,4.076369000000000242e-01
1.700000000000000000e+01,2.063588499999999826e+00,8.515485200000000310e-01,2.313941999999999943e+00,2.560490499999999869e+01,2.803813399999999945e+01,1.213751300000000022e+01,1.031794300000000053e+00,4.257742999999999944e-01
1.900000000000000000e+01,2.092956699999999781e+00,8.743600299999999548e-01,2.378482800000000008e+00,2.486212300000000042e+01,2.921831099999999992e+01,1.308818199999999976e+01,1.046478400000000031e+00,4.371800000000000130e-01
2.100000000000000000e+01,2.109356500000000079e+00,8.871969800000000239e-01,2.429686699999999977e+00,2.430385700000000071e+01,3.013006700000000038e+01,1.386874700000000082e+01,1.054678199999999899e+00,4.435985000000000067e-01
2.300000000000000000e+01,2.116819099999999843e+00,8.930841400000000263e-01,2.469693599999999822e+00,2.388539499999999904e+01,3.082759899999999931e+01,1.450515500000000024e+01,1.058409600000000061e+00,4.465420999999999974e-01
2.500000000000000000e+01,2.118539000000000172e+00,8.944502199999999625e-01,2.500754900000000003e+00,2.357063000000000130e+01,3.136031699999999844e+01,1.502348199999999956e+01,1.059269500000000086e+00,4.472250999999999865e-01
2.700000000000000000e+01,2.116898799999999969e+00,8.931360200000000304e-01,2.524981499999999990e+00,2.333100800000000064e+01,3.177051700000000167e+01,1.544779699999999956e+01,1.058449399999999985e+00,4.465680000000000205e-01
2.900000000000000000e+01,2.113601800000000086e+00,8.904789300000000019e-01,2.544223000000000123e+00,2.314424500000000151e+01,3.209303299999999837e+01,1.579923100000000069e+01,1.056800900000000043e+00,4.452395000000000103e-01
3.100000000000000000e+01,2.109833200000000186e+00,8.874252999999999725e-01,2.560036000000000200e+00,2.299305199999999871e+01,3.235593099999999822e+01,1.609578899999999990e+01,1.054916600000000093e+00,4.437127000000000154e-01
3.300000000000000000e+01,2.106414899999999868e+00,8.846421199999999763e-01,2.573707000000000189e+00,2.286397099999999938e+01,3.258166200000000146e+01,1.635254600000000025e+01,1.053207400000000016e+00,4.423211000000000226e-01
3.500000000000000000e+01,2.103935799999999912e+00,8.826151500000000150e-01,2.586300800000000066e+00,2.274637600000000148e+01,3.278833800000000309e+01,1.658203100000000063e+01,1.051967899999999956e+00,4.413076000000000221e-01
3.700000000000000000e+01,2.102857499999999824e+00,8.817304200000000147e-01,2.598719000000000001e+00,2.263163300000000078e+01,3.299094900000000052e+01,1.679466999999999999e+01,1.051428699999999994e+00,4.408652000000000126e-01
3.900000000000000000e+01,2.103598299999999810e+00,8.823407599999999462e-01,2.611757900000000188e+00,2.251243099999999941e+01,3.320242900000000219e+01,1.699918600000000168e+01,1.051799200000000045e+00,4.411704000000000181e-01
4.100000000000000000e+01,2.106601299999999899e+00,8.848209000000000213e-01,2.626159499999999980e+00,2.238226500000000030e+01,3.343452200000000119e+01,1.720291200000000131e+01,1.053300700000000090e+00,4.424104999999999843e-01
4.300000000000000000e+01,2.112390899999999849e+00,8.896136900000000125e-01,2.642650900000000025e+00,2.223509999999999920e+01,3.369838599999999929e+01,1.741195199999999943e+01,1.056195400000000006e+00,4.448068000000000022e-01
4.500000000000000000e+01,2.121617300000000039e+00,8.972665199999999563e-01,2.661964199999999892e+00,2.206526200000000060e+01,3.400483599999999740e+01,1.763112900000000138e+01,1.060808699999999938e+00,4.486333000000000126e-01
4.700000000000000000e+01,2.135081299999999960e+00,9.084507400000000343e-01,2.684826000000000157e+00,2.186763499999999993e+01,3.436404100000000028e+01,1.786366599999999849e+01,1.067540699999999898e+00,4.542254000000000014e-01
4.900000000000000000e+01,2.153716800000000209e+00,9.239450900000000244e-01,2.711894200000000144e+00,2.163829799999999892e+01,3.478441999999999723e+01,1.811057399999999973e+01,1.076858400000000104e+00,4.619725000000000081e-01
5.100000000000000000e+01,2.178488000000000202e+00,9.445459999999999967e-01,2.743618600000000018e+00,2.137571600000000061e+01,3.527041499999999985e+01,1.836980499999999950e+01,1.089244000000000101e+00,4.722729999999999984e-01
5.300000000000000000e+01,2.210130499999999998e+00,9.708468599999999782e-01,2.779998700000000156e+00,2.108253399999999900e+01,3.581897000000000020e+01,1.863545099999999977e+01,1.105065200000000081e+00,4.854234000000000049e-01
5.500000000000000000e+01,2.386672200000000021e+00,1.116718199999999994e+00,2.943083800000000139e+00,1.986345000000000027e+01,3.816741900000000243e+01,1.954031900000000022e+01,1.193336100000000011e+00,5.583590999999999971e-01
5.700000000000000000e+01,2.815549999999999997e+00,1.463223799999999963e+00,3.215787499999999799e+00,1.811744500000000002e+01,4.172223799999999727e+01,2.035009399999999857e+01,1.407774999999999999e+00,7.316118999999999817e-01
5.900000000000000000e+01,3.335947099999999832e+00,1.869148899999999891e+00,3.440857600000000183e+00,1.689539100000000005e+01,4.434510800000000330e+01,2.056756999999999991e+01,1.667973499999999998e+00,9.345744000000000273e-01
