# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,3.418328400000000045e+01,0.000000000000000000e+00,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,1.709164189999999905e+01,0.000000000000000000e+00
3.000000000000000000e+00,3.318081500000000261e+01,5.577522699999999667e-02,1.799672299999999936e+01,3.185318999999999789e+00,8.049393100000000345e+01,1.259526200000000030e-03,1.659040770000000009e+01,2.788759999999999850e-02
5.000000000000000000e+00,3.220126299999999731e+01,1.102346200000000054e-01,1.797565099999999916e+01,3.189056900000000194e+00,8.048285300000000575e+01,9.499708699999999742e-03,1.610063149999999865e+01,5.511730000000000101e-02
7.000000000000000000e+00,3.123557100000000020e+01,1.637936799999999971e-01,1.792336099999999988e+01,3.198370399999999947e+00,8.045525100000000407e+01,2.995554699999999904e-02,1.561778559999999949e+01,8.189680000000000570e-02
9.000000000000000000e+00,3.027160299999999893e+01,2.169972199999999907e-01,1.782970500000000058e+01,3.215188400000000168e+00,8.040541299999999580e+01,6.664223599999999359e-02,1.513580149999999946e+01,1.084986000000000006e-01
1.100000000000000000e+01,2.929578800000000172e+01,2.704274199999999739e-01,1.768640900000000116e+01,3.241265799999999864e+00,8.032814999999999372e+01,1.230005099999999935e-01,1.464789400000000086e+01,1.352136999999999922e-01
1.300000000000000000e+01,2.829415300000000144e+01,3.246364999999999945e-01,1.748607300000000109e+01,3.278440799999999822e+00,8.021803300000000547e+01,2.024074800000000007e-01,1.414707630000000016e+01,1.623181999999999958e-01
1.500000000000000000e+01,2.725300500000000170e+01,3.800917699999999955e-01,1.722160300000000177e+01,3.328843700000000183e+00,8.006878600000000290e+01,3.085655600000000165e-01,1.362650250000000085e+01,1.900458999999999898e-01
1.700000000000000000e+01,2.615949499999999972e+01,4.371236399999999800e-01,1.688600200000000129e+01,3.395079599999999864e+00,7.987274800000000141e+01,4.458118999999999832e-01,1.307974749999999986e+01,2.185618000000000005e-01
1.900000000000000000e+01,2.500219900000000095e+01,4.958704700000000076e-01,1.647249199999999902e+01,3.480410200000000120e+00,7.962035299999999438e+01,6.193893000000000315e-01,1.250109929999999991e+01,2.479351999999999945e-01
2.100000000000000000e+01,2.377182099999999920e+01,5.562184399999999806e-01,1.597492100000000015e+01,3.588954600000000106e+00,7.929955599999999549e+01,8.357110899999999898e-01,1.188591040000000021e+01,2.781092000000000009e-01
2.300000000000000000e+01,2.246205300000000094e+01,6.177389500000000089e-01,1.538841999999999999e+01,3.725930400000000198e+00,7.889516399999999408e+01,1.102643400000000051e+00,1.123102669999999925e+01,3.088695000000000190e-01
2.500000000000000000e+01,2.107056899999999899e+01,6.796318500000000373e-01,1.471027699999999960e+01,3.897955300000000012e+00,7.838800200000000018e+01,1.429816699999999940e+00,1.053528430000000071e+01,3.398159000000000041e-01
2.700000000000000000e+01,1.960005699999999962e+01,7.406887599999999461e-01,1.394093400000000038e+01,4.113427899999999582e+00,7.775390699999999811e+01,1.828962699999999941e+00,9.800028400000000417e+00,3.703444000000000180e-01
2.900000000000000000e+01,1.805914800000000042e+01,7.992964599999999864e-01,1.308501099999999973e+01,4.383007400000000331e+00,7.696249400000000662e+01,2.314246699999999990e+00,9.029574200000000772e+00,3.996482000000000090e-01
3.100000000000000000e+01,1.646299000000000134e+01,8.535038299999999634e-01,1.215215899999999927e+01,4.720201799999999892e+00,7.597575100000000248e+01,2.902518300000000107e+00,8.231495100000000065e+00,4.267519000000000173e-01
3.300000000000000000e+01,1.483321899999999971e+01,9.011738599999999932e-01,1.115755799999999986e+01,5.142053899999999622e+00,7.474658399999999858e+01,3.613320900000000169e+00,7.416609300000000182e+00,4.505869000000000124e-01
3.500000000000000000e+01,1.319710700000000081e+01,9.402329499999999562e-01,1.012182100000000062e+01,5.669869099999999662e+00,7.321765999999999508e+01,4.468372200000000127e+00,6.598553400000000124e+00,4.701164999999999927e-01
3.700000000000000000e+01,1.158578600000000058e+01,9.690095800000000370e-01,9.070144600000000779e+00,6.329832399999999915e+00,7.132128000000000156e+01,5.490034500000000151e+00,5.792892900000000012e+00,4.845048000000000132e-01
3.900000000000000000e+01,1.003164600000000029e+01,9.866268400000000049e-01,8.030656300000000414e+00,7.153200299999999956e+00,6.898163900000000126e+01,6.698077900000000362e+00,5.015822799999999582e+00,4.933134000000000130e-01
4.100000000000000000e+01,8.565260000000000318e+00,9.933798400000000139e-01,7.032071700000000369e+00,8.175495099999999127e+00,6.612162999999999613e+01,8.103935200000000449e+00,4.282630000000000159e+00,4.966899000000000175e-01
4.300000000000000000e+01,7.212368800000000135e+00,9.909978699999999474e-01,6.100971399999999711e+00,9.433822599999999170e+00,6.267696699999999765e+01,9.702002000000000237e+00,3.606184400000000068e+00,4.954989000000000199e-01
4.500000000000000000e+01,5.991502500000000175e+00,9.826714500000000019e-01,5.259146799999999899e+00,1.096124099999999935e+01,5.861969899999999711e+01,1.145891899999999985e+01,2.995751299999999784e+00,4.913356999999999863e-01
4.700000000000000000e+01,4.912738700000000236e+00,9.727337900000000426e-01,4.521535700000000269e+00,1.277739799999999981e+01,5.398930599999999913e+01,1.330448799999999920e+01,2.456369399999999814e+00,4.863668999999999909e-01
4.900000000000000000e+01,3.977854999999999919e+00,9.659530499999999797e-01,3.895218700000000034e+00,1.487582300000000046e+01,4.892172300000000007e+01,1.513084399999999974e+01,1.988927499999999959e+00,4.829764999999999753e-01
5.100000000000000000e+01,3.181885100000000133e+00,9.665291999999999772e-01,3.379763699999999815e+00,1.721023399999999981e+01,4.365875299999999726e+01,1.680627499999999941e+01,1.590942599999999985e+00,4.832645999999999886e-01
5.300000000000000000e+01,2.515862999999999960e+00,9.770391699999999569e-01,2.968885499999999844e+00,1.968365899999999868e+01,3.852302900000000108e+01,1.820357200000000120e+01,1.257931499999999980e+00,4.885195999999999983e-01
5.500000000000000000e+01,1.970538799999999924e+00,9.975895900000000260e-01,2.653054500000000093e+00,2.214328000000000074e+01,3.386380599999999674e+01,1.923326199999999986e+01,9.852693999999999619e-01,4.987947999999999826e-01
5.700000000000000000e+01,1.541504299999999938e+00,1.025187899999999930e+00,2.422691899999999787e+00,2.437858400000000003e+01,3.000678100000000015e+01,1.986928599999999889e+01,7.707521999999999984e-01,5.125939000000000467e-01
5.900000000000000000e+01,1.238412700000000033e+00,1.052826599999999946e+00,2.272529500000000091e+00,2.610632499999999823e+01,2.726240800000000064e+01,2.016244400000000070e+01,6.192064000000000457e-01,5.264132999999999729e-01
6.100000000000000000e+01,1.107144099999999964e+00,1.067306199999999983e+00,2.211400799999999833e+00,2.688505400000000023e+01,2.609060600000000107e+01,2.023459799999999831e+01,5.535721000000000114e-01,5.336530999999999914e-01
