# POINT,X,X_IN,Mach,DM_over_DX,D2M_over_DX2,D3M_over_DX3,W_Q_over_Astar,DW_over_DX,D2W_over_DX2,D3W_over_DX3
1.000000000000000000e+00,3.418328000000000344e+01,1.709164000000000172e+01,1.800000000000000000e+01,-1.049340000000000057e-16,-2.479488999999999919e-17,8.092739999999999309e-03,1.990941000000000072e+00,-1.065013999999999945e-19,-2.516525000000000138e-20,8.213623000000000015e-06
3.000000000000000000e+00,3.217902999999999736e+01,1.608952000000000027e+01,1.798957599999999957e+01,1.538576000000000006e-02,-1.491971999999999916e-02,6.795321000000000000e-03,1.990931000000000006e+00,1.564249000000000073e-05,-1.520843999999999935e-05,7.024529999999999811e-06
5.000000000000000000e+00,3.022932000000000130e+01,1.511466000000000065e+01,1.792321600000000004e+01,5.659108999999999667e-02,-2.693825999999999860e-02,5.533207000000000056e-03,1.990863000000000049e+00,5.817088000000000098e-05,-2.823618000000000110e-05,6.474071999999999634e-06
7.000000000000000000e+00,2.833453000000000088e+01,1.416727000000000025e+01,1.776170499999999919e+01,1.168321999999999972e-01,-3.626047999999999771e-02,4.306647999999999726e-03,1.990693999999999964e+00,1.233682999999999958e-04,-4.070060000000000127e-05,6.855636000000000205e-06
9.000000000000000000e+00,2.649506999999999834e+01,1.324752999999999936e+01,1.748129199999999983e+01,1.901464999999999961e-01,-4.308722999999999720e-02,3.115904000000000069e-03,1.990391000000000021e+00,2.105060000000000069e-04,-5.450301999999999778e-05,8.366115999999999844e-06
1.100000000000000000e+01,2.471134999999999948e+01,1.235567999999999955e+01,1.707090600000000080e+01,2.713464999999999905e-01,-4.761532999999999738e-02,1.961244999999999915e-03,1.989921000000000051e+00,3.223613999999999863e-04,-7.178271999999999431e-05,1.129496000000000002e-05
1.300000000000000000e+01,2.298382000000000147e+01,1.149191000000000074e+01,1.652965000000000018e+01,3.559738000000000069e-01,-5.003749999999999865e-02,8.429553999999999693e-04,1.989246000000000070e+00,4.653438000000000084e-04,-9.514873000000000135e-05,1.616903999999999995e-05
1.500000000000000000e+01,2.131293000000000148e+01,1.065647000000000055e+01,1.586456399999999967e+01,4.402542999999999873e-01,-5.054234999999999978e-02,-2.386656000000000075e-04,1.988321999999999923e+00,6.500707000000000100e-04,-1.281122000000000098e-04,2.391661000000000139e-05
1.700000000000000000e+01,1.969916999999999874e+01,9.849589999999999179e+00,1.508863799999999955e+01,5.210533000000000525e-01,-4.931431000000000009e-02,-1.283304999999999993e-03,1.987087000000000048e+00,8.926150999999999574e-04,-1.757508999999999981e-04,3.611842999999999835e-05
1.900000000000000000e+01,1.814304999999999879e+01,9.071529999999999205e+00,1.421907400000000088e+01,5.958318999999999699e-01,-4.653357000000000326e-02,-2.290631999999999911e-03,1.985460000000000003e+00,1.216676000000000086e-03,-2.457334999999999945e-04,5.543388000000000330e-05
2.100000000000000000e+01,1.664510999999999896e+01,8.322559999999999292e+00,1.327576600000000084e+01,6.626039000000000234e-01,-4.237608999999999820e-02,-3.260298000000000015e-03,1.983327000000000062e+00,1.657066000000000008e-03,-3.499387999999999978e-04,8.634003000000000554e-05
2.300000000000000000e+01,1.520592000000000077e+01,7.602960000000000385e+00,1.228000199999999964e+01,7.198930999999999525e-01,-3.701349999999999779e-02,-4.191933999999999591e-03,1.980531999999999959e+00,2.265164000000000066e-03,-5.070654000000000394e-04,1.364181000000000009e-04
2.500000000000000000e+01,1.382609000000000066e+01,6.913039999999999630e+00,1.125336599999999976e+01,7.666916000000000286e-01,-3.061308000000000085e-02,-5.085146999999999931e-03,1.976855999999999947e+00,3.117311000000000214e-03,-7.468703999999999838e-04,2.185882999999999956e-04
2.700000000000000000e+01,1.250624999999999964e+01,6.253129999999999633e+00,1.021682700000000033e+01,8.024185999999999819e-01,-2.333771999999999930e-02,-5.939518999999999875e-03,1.971997000000000000e+00,4.327657000000000379e-03,-1.117043000000000072e-03,3.549572999999999769e-04
2.900000000000000000e+01,1.124710999999999927e+01,5.623560000000000336e+00,9.190011999999999404e+00,8.268803999999999599e-01,-1.534585999999999936e-02,-6.754602999999999649e-03,1.965527999999999942e+00,6.067554000000000176e-03,-1.694217000000000032e-03,5.833098000000000102e-04
3.100000000000000000e+01,1.004940000000000033e+01,5.024700000000000166e+00,8.190632000000000801e+00,8.402300999999999798e-01,-6.791506000000000105e-03,-7.529921000000000184e-03,1.956855999999999929e+00,8.594169000000000461e-03,-2.601113999999999857e-03,9.676069999999999940e-04
3.300000000000000000e+01,8.913919999999999177e+00,4.456959999999999589e+00,7.234073000000000420e+00,8.429295999999999456e-01,2.175863000000000103e-03,-8.264953000000000230e-03,1.945151000000000074e+00,1.229092000000000032e-02,-4.031775999999999936e-03,1.613590999999999940e-03
3.500000000000000000e+01,7.841540000000000177e+00,3.920770000000000088e+00,6.333116000000000412e+00,8.357107999999999759e-01,1.141126999999999940e-02,-8.959141000000000327e-03,1.929275000000000073e+00,1.772015000000000048e-02,-6.284759000000000005e-03,2.687973000000000185e-03
3.700000000000000000e+01,6.833199999999999719e+00,3.416599999999999859e+00,5.497793999999999848e+00,8.195390999999999648e-01,2.077423000000000117e-02,-9.611873999999999418e-03,1.907688999999999968e+00,2.568080999999999836e-02,-9.796378999999999157e-03,4.430546999999999958e-03
3.900000000000000000e+01,5.889929999999999666e+00,2.944970000000000088e+00,4.735356999999999594e+00,7.955769000000000313e-01,3.012878000000000084e-02,-1.022248000000000080e-02,1.878406000000000020e+00,3.724551000000000250e-02,-1.514656999999999983e-02,7.125737000000000043e-03
4.100000000000000000e+01,5.012880000000000003e+00,2.506440000000000001e+00,4.050351000000000035e+00,7.651480000000000503e-01,3.934336000000000083e-02,-1.079021999999999967e-02,1.839018000000000042e+00,5.371636999999999940e-02,-2.297342000000000134e-02,1.096067000000000048e-02
4.300000000000000000e+01,4.203330000000000233e+00,2.101669999999999927e+00,3.444782000000000011e+00,7.297044999999999781e-01,4.829072999999999699e-02,-1.131426999999999954e-02,1.786936000000000080e+00,7.639598000000000222e-02,-3.369450999999999696e-02,1.567251999999999881e-02
4.500000000000000000e+01,3.462720000000000020e+00,1.731360000000000010e+00,2.918369000000000213e+00,6.907927000000000373e-01,5.684779999999999694e-02,-1.179370000000000071e-02,1.719977000000000089e+00,1.060659999999999936e-01,-4.696816999999999659e-02,2.000021999999999911e-02
4.700000000000000000e+01,2.792679999999999829e+00,1.396339999999999915e+00,2.468872999999999873e+00,6.500230000000000175e-01,6.489527000000000490e-02,-1.222742999999999920e-02,1.637329999999999952e+00,1.422075999999999896e-01,-6.107343999999999967e-02,2.136470000000000036e-02
4.900000000000000000e+01,2.195149999999999935e+00,1.097580000000000000e+00,2.092487000000000208e+00,6.090402000000000315e-01,7.231711000000000389e-02,-1.261424000000000052e-02,1.540715999999999974e+00,1.823501999999999901e-01,-7.282685999999999327e-02,1.665449999999999917e-02
5.100000000000000000e+01,1.672400000000000109e+00,8.362000000000000544e-01,1.784296000000000104e+00,5.694976999999999956e-01,7.899962000000000650e-02,-1.295262999999999970e-02,1.435102000000000100e+00,2.222396000000000094e-01,-7.872155999999999598e-02,4.392555999999999718e-03
5.300000000000000000e+01,1.227230000000000043e+00,6.136200000000000543e-01,1.538793000000000077e+00,5.330365000000000242e-01,8.482987999999999640e-02,-1.324080000000000049e-02,1.328360999999999903e+00,2.571857000000000171e-01,-7.695491000000000137e-02,-1.344908000000000041e-02
5.500000000000000000e+01,8.632199999999999873e-01,4.316099999999999937e-01,1.350487999999999911e+00,5.012750000000000261e-01,8.969256999999999924e-02,-1.347643999999999925e-02,1.229789000000000021e+00,2.839072999999999736e-01,-6.871610000000000218e-02,-3.229549999999999782e-02
5.700000000000000000e+01,5.852600000000000025e-01,2.926300000000000012e-01,1.214666000000000023e+00,4.758209999999999940e-01,9.346350999999999964e-02,-1.365636999999999927e-02,1.148347999999999924e+00,3.015607000000000149e-01,-5.758359999999999868e-02,-4.783309000000000172e-02
5.900000000000000000e+01,4.008999999999999786e-01,2.004499999999999893e-01,1.128546999999999967e+00,4.583574000000000259e-01,9.599217999999999640e-02,-1.377571000000000004e-02,1.091827000000000103e+00,3.113061999999999774e-01,-4.783087999999999923e-02,-5.787930000000000158e-02
6.100000000000000000e+01,3.266299999999999759e-01,1.633199999999999930e-01,1.094770000000000021e+00,4.511898999999999771e-01,9.701711000000000362e-02,-1.382379000000000073e-02,1.068578000000000028e+00,3.146955000000000169e-01,-4.338809999999999889e-02,-6.173164999999999902e-02
