# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,3.418328400000000045e+01,0.000000000000000000e+00,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,1.709164189999999905e+01,0.000000000000000000e+00
2.000000000000000000e+00,3.764793000000000234e+01,1.927781000000000078e-01,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,1.882396519999999995e+01,9.638900000000000245e-02
3.000000000000000000e+00,4.111257700000000170e+01,3.855561900000000208e-01,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,2.055628859999999847e+01,1.927781000000000078e-01
4.000000000000000000e+00,4.457722400000000107e+01,5.783342900000000286e-01,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,2.228861189999999937e+01,2.891671000000000102e-01
5.000000000000000000e+00,4.804187000000000296e+01,7.711123800000000417e-01,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,2.402093520000000026e+01,3.855562000000000156e-01
6.000000000000000000e+00,5.150651700000000233e+01,9.638904799999999939e-01,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,2.575325850000000116e+01,4.819452000000000180e-01
7.000000000000000000e+00,5.497116400000000169e+01,1.156668599999999936e+00,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,2.748558179999999851e+01,5.783342999999999678e-01
8.000000000000000000e+00,5.843580999999999648e+01,1.349446700000000110e+00,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,2.921790509999999941e+01,6.747233000000000258e-01
9.000000000000000000e+00,6.190045700000000295e+01,1.542224800000000062e+00,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,3.095022850000000147e+01,7.711124000000000311e-01
1.000000000000000000e+01,6.536510400000000232e+01,1.735002900000000015e+00,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,3.268255179999999882e+01,8.675013999999999781e-01
1.100000000000000000e+01,6.882975000000000421e+01,1.927780999999999967e+00,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,3.441487510000000327e+01,9.638904999999999834e-01
1.200000000000000000e+01,7.229439700000000357e+01,2.120559000000000083e+00,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,3.614719840000000062e+01,1.060279500000000041e+00
1.300000000000000000e+01,7.575904300000000546e+01,2.313337100000000035e+00,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,3.787952169999999796e+01,1.156668599999999936e+00
1.400000000000000000e+01,7.922369000000000483e+01,2.506115199999999987e+00,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,3.961184500000000241e+01,1.253057599999999994e+00
1.500000000000000000e+01,8.268833700000000420e+01,2.698893299999999940e+00,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,4.134416840000000093e+01,1.349446700000000110e+00
1.600000000000000000e+01,8.615298300000000609e+01,2.891671399999999892e+00,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,4.307649169999999827e+01,1.445835699999999946e+00
1.700000000000000000e+01,8.961763000000000545e+01,3.084449499999999844e+00,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,4.480881500000000273e+01,1.542224800000000062e+00
1.800000000000000000e+01,9.308227700000000482e+01,3.277227599999999796e+00,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,4.654113830000000007e+01,1.638613799999999898e+00
1.900000000000000000e+01,9.654692300000000671e+01,3.470005700000000193e+00,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,4.827346159999999742e+01,1.735002900000000015e+00
2.000000000000000000e+01,1.000115700000000061e+02,3.662783800000000145e+00,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,5.000578490000000187e+01,1.831391900000000073e+00
2.100000000000000000e+01,1.034762199999999979e+02,3.855561900000000097e+00,1.800000000000000000e+01,3.184738499999999917e+00,8.049565099999999518e+01,0.000000000000000000e+00,5.173810830000000038e+01,1.927780999999999967e+00
