# POINT,X,Y,Mach,FLOW_ANG__D,WALTAN,SECDIF
1.000000000000000000e+00,0.000000000000000000e+00,1.000315599999999971e+00,1.052500200000000108e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.666140899999999925e-01
2.000000000000000000e+00,1.507121800000000081e-02,1.000334599999999963e+00,1.060327500000000089e+00,1.433591600000000132e-01,2.502094600000000051e-03,1.651440600000000092e-01
3.000000000000000000e+00,3.045548600000000036e-02,1.000392600000000076e+00,1.068383700000000047e+00,2.881374500000000172e-01,5.028989600000000407e-03,1.637954199999999971e-01
4.000000000000000000e+00,4.608364300000000052e-02,1.000491100000000078e+00,1.076616199999999912e+00,4.343832599999999933e-01,7.581563399999999633e-03,1.637443799999999949e-01
5.000000000000000000e+00,6.181316099999999841e-02,1.000630600000000037e+00,1.084848699999999999e+00,5.823180199999999918e-01,1.016371699999999920e-02,1.653111200000000058e-01
6.000000000000000000e+00,7.796967900000000007e-02,1.000816300000000103e+00,1.093498400000000093e+00,7.364208500000000157e-01,1.285367599999999964e-02,1.676502599999999954e-01
7.000000000000000000e+00,9.425595200000000395e-02,1.001047900000000102e+00,1.102176400000000056e+00,8.939169700000000329e-01,1.560306000000000019e-02,1.698378100000000057e-01
8.000000000000000000e+00,1.106393299999999941e-01,1.001326399999999950e+00,1.110862299999999969e+00,1.054261899999999974e+00,1.840241700000000077e-02,1.709202700000000130e-01
9.000000000000000000e+00,1.276304199999999944e-01,1.001663799999999993e+00,1.120214000000000043e+00,1.220645100000000038e+00,2.130750000000000005e-02,1.699886700000000084e-01
1.000000000000000000e+01,1.446034599999999892e-01,1.002050000000000107e+00,1.129371899999999984e+00,1.384911299999999956e+00,2.417597000000000149e-02,1.672688800000000087e-01
1.100000000000000000e+01,1.617720199999999886e-01,1.002489799999999986e+00,1.138645899999999989e+00,1.547620599999999902e+00,2.701764699999999880e-02,1.642901700000000131e-01
1.200000000000000000e+01,1.795973399999999942e-01,1.002997300000000092e+00,1.148695000000000022e+00,1.713977700000000048e+00,2.992347999999999883e-02,1.630143500000000023e-01
1.300000000000000000e+01,1.974914500000000128e-01,1.003558900000000031e+00,1.158609500000000070e+00,1.880941900000000055e+00,3.284042699999999843e-02,1.639381299999999875e-01
1.400000000000000000e+01,2.154769699999999899e-01,1.004175899999999899e+00,1.168408300000000066e+00,2.050638800000000206e+00,3.580568900000000165e-02,1.664980699999999980e-01
1.500000000000000000e+01,2.342021300000000084e-01,1.004875600000000091e+00,1.179183300000000045e+00,2.230837300000000134e+00,3.895514199999999816e-02,1.695753799999999978e-01
1.600000000000000000e+01,2.532323100000000160e-01,1.005647600000000086e+00,1.190105799999999991e+00,2.416958000000000162e+00,4.220891400000000016e-02,1.712542699999999862e-01
1.700000000000000000e+01,2.724517399999999978e-01,1.006490700000000071e+00,1.200970400000000105e+00,2.605484600000000039e+00,4.550565599999999850e-02,1.701527599999999862e-01
