# POINT,X_over_YO,Y_over_YO,INT_Y_over_YO,PAR_over_YO,HYP_over_YO,C_Y,C_YI,C_YP
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.033482100000000070e+00,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan
2.000000000000000000e+00,1.506650000000000003e-02,1.000018999999999991e+00,1.033501100000000061e+00,1.000018899999999933e+00,1.000018899999999933e+00,-1.685325000000000017e-02,-9.789925999999999476e+03,1.319044999999999940e-02
3.000000000000000000e+00,3.044590000000000143e-02,1.000077000000000105e+00,1.033559600000000023e+00,1.000077199999999999e+00,1.000077199999999999e+00,9.977516999999999983e-03,-1.186398999999999887e+03,1.629838000000000120e-02
4.000000000000000000e+00,4.606910000000000172e-02,1.000175500000000106e+00,1.033659899999999965e+00,1.000176900000000035e+00,1.000176799999999977e+00,1.389862000000000042e-02,-3.424488000000000056e+02,1.517501999999999913e-02
5.000000000000000000e+00,6.179370000000000002e-02,1.000314900000000007e+00,1.033801900000000051e+00,1.000318199999999935e+00,1.000318199999999935e+00,1.405366000000000080e-02,-1.419061000000000092e+02,1.180465999999999981e-02
6.000000000000000000e+00,7.794510000000000327e-02,1.000500600000000073e+00,1.033990699999999929e+00,1.000506300000000071e+00,1.000506200000000012e+00,1.199184000000000014e-02,-7.070928000000000679e+01,7.525963999999999571e-03
7.000000000000000000e+00,9.422619999999999607e-02,1.000732100000000013e+00,1.034225299999999903e+00,1.000739899999999905e+00,1.000739599999999951e+00,9.278646999999999243e-03,-4.002588000000000079e+01,3.803500000000000023e-03
8.000000000000000000e+00,1.106044000000000055e-01,1.001010500000000025e+00,1.034505299999999961e+00,1.001019399999999893e+00,1.001018900000000045e+00,6.638452999999999889e-03,-2.474818000000000140e+01,8.624922000000000361e-04
9.000000000000000000e+00,1.275901999999999870e-01,1.001347800000000010e+00,1.034843100000000016e+00,1.001356600000000041e+00,1.001355699999999960e+00,4.220152999999999925e-03,-1.612196000000000140e+01,-8.697194999999999796e-04
1.000000000000000000e+01,1.445577999999999863e-01,1.001733900000000066e+00,1.035229200000000072e+00,1.001741400000000004e+00,1.001739900000000016e+00,2.496384999999999837e-03,-1.108566000000000074e+01,-1.323907999999999942e-03
1.100000000000000000e+01,1.617210000000000036e-01,1.002173500000000050e+00,1.035667799999999916e+00,1.002179500000000001e+00,1.002177099999999932e+00,1.401679999999999983e-03,-7.917616999999999905e+00,-8.175959999999999695e-04
1.200000000000000000e+01,1.795406999999999975e-01,1.002680900000000097e+00,1.036175800000000091e+00,1.002686200000000083e+00,1.002682599999999979e+00,9.221456999999999961e-04,-5.786561999999999983e+00,-3.381757999999999861e-07
