# Y_over_YO,U_over_Astar,V_over_Astar,W,Mach
0.000000000000000000e+00,9.639432399999999790e-01,0.000000000000000000e+00,9.639432399999999790e-01,9.527661099999999994e-01
2.270000000000000143e-02,9.639769500000000546e-01,-3.407300000000000259e-04,9.639770100000000230e-01,9.528095899999999840e-01
4.549999999999999878e-02,9.640781000000000489e-01,-6.806600000000000324e-04,9.640783400000000336e-01,9.529400599999999777e-01
6.819999999999999674e-02,9.642467700000000308e-01,-1.018990000000000000e-03,9.642473099999999686e-01,9.531576400000000282e-01
9.089999999999999469e-02,9.644830699999999979e-01,-1.354890000000000087e-03,9.644840199999999975e-01,9.534625100000000408e-01
1.136000000000000065e-01,9.647871700000000272e-01,-1.687569999999999999e-03,9.647886500000000254e-01,9.538549400000000400e-01
1.363999999999999935e-01,9.651592799999999528e-01,-2.016190000000000170e-03,9.651613799999999577e-01,9.543352800000000080e-01
1.590999999999999914e-01,9.655996599999999708e-01,-2.339939999999999989e-03,9.656024899999999800e-01,9.549039499999999459e-01
1.817999999999999894e-01,9.661086199999999735e-01,-2.657969999999999951e-03,9.661122800000000455e-01,9.555614500000000344e-01
2.044999999999999873e-01,9.666865399999999831e-01,-2.969429999999999899e-03,9.666911000000000254e-01,9.563083700000000187e-01
2.273000000000000020e-01,9.673338200000000109e-01,-3.273449999999999797e-03,9.673393599999999815e-01,9.571453899999999848e-01
2.500000000000000000e-01,9.680509499999999656e-01,-3.569150000000000100e-03,9.680575300000000549e-01,9.580732699999999769e-01
2.726999999999999980e-01,9.688384599999999569e-01,-3.855620000000000141e-03,9.688461299999999721e-01,9.590928600000000470e-01
2.954999999999999849e-01,9.696969199999999622e-01,-4.131939999999999745e-03,9.697057300000000435e-01,9.602051299999999623e-01
3.181999999999999829e-01,9.706270099999999568e-01,-4.397159999999999784e-03,9.706369700000000433e-01,9.614111300000000027e-01
3.408999999999999808e-01,9.716294300000000161e-01,-4.650289999999999632e-03,9.716405599999999865e-01,9.627120099999999514e-01
3.635999999999999788e-01,9.727049599999999518e-01,-4.890310000000000143e-03,9.727172600000000280e-01,9.641090500000000230e-01
3.864000000000000212e-01,9.738544700000000276e-01,-5.116179999999999686e-03,9.738679099999999478e-01,9.656036300000000461e-01
4.091000000000000192e-01,9.750788799999999812e-01,-5.326810000000000399e-03,9.750934300000000388e-01,9.671972699999999978e-01
4.318000000000000171e-01,9.763791800000000132e-01,-5.521049999999999569e-03,9.763947899999999569e-01,9.688915900000000248e-01
4.545000000000000151e-01,9.777564800000000389e-01,-5.697729999999999809e-03,9.777730799999999611e-01,9.706883800000000173e-01
4.773000000000000020e-01,9.792119400000000029e-01,-5.855589999999999927e-03,9.792294499999999458e-01,9.725895399999999746e-01
5.000000000000000000e-01,9.807468099999999689e-01,-5.993329999999999838e-03,9.807651200000000458e-01,9.745971300000000337e-01
5.227000000000000535e-01,9.823624499999999982e-01,-6.109579999999999872e-03,9.823814499999999894e-01,9.767133900000000146e-01
5.454999999999999849e-01,9.840603100000000492e-01,-6.202889999999999966e-03,9.840798600000000285e-01,9.789406999999999970e-01
5.682000000000000384e-01,9.858419400000000277e-01,-6.271750000000000415e-03,9.858618900000000185e-01,9.812816300000000158e-01
5.908999999999999808e-01,9.877089900000000089e-01,-6.314519999999999682e-03,9.877291799999999844e-01,9.837389399999999506e-01
6.136000000000000343e-01,9.896632400000000551e-01,-6.329509999999999997e-03,9.896834899999999990e-01,9.863155799999999696e-01
6.363999999999999657e-01,9.917065800000000042e-01,-6.314900000000000027e-03,9.917266799999999716e-01,9.890147099999999636e-01
6.591000000000000192e-01,9.938410100000000247e-01,-6.268750000000000017e-03,9.938607799999999992e-01,9.918397399999999697e-01
6.817999999999999616e-01,9.960686699999999894e-01,-6.189009999999999997e-03,9.960879000000000261e-01,9.947942699999999805e-01
7.045000000000000151e-01,9.983918499999999696e-01,-6.073489999999999965e-03,9.984103199999999623e-01,9.978822000000000525e-01
7.272999999999999465e-01,1.000812940000000095e+00,-5.919859999999999879e-03,1.000830450000000038e+00,1.001107680000000055e+00
7.500000000000000000e-01,1.003334530000000058e+00,-5.725619999999999842e-03,1.003350860000000067e+00,1.004475119999999944e+00
7.727000000000000535e-01,1.005959320000000101e+00,-5.488129999999999918e-03,1.005974289999999938e+00,1.007989259999999998e+00
7.954999999999999849e-01,1.008690190000000042e+00,-5.204529999999999747e-03,1.008703609999999973e+00,1.011655160000000109e+00
8.182000000000000384e-01,1.011530180000000056e+00,-4.871789999999999975e-03,1.011541910000000044e+00,1.015478220000000098e+00
8.408999999999999808e-01,1.014482529999999993e+00,-4.486669999999999894e-03,1.014492450000000101e+00,1.019464179999999942e+00
8.636000000000000343e-01,1.017550619999999961e+00,-4.045690000000000223e-03,1.017558659999999948e+00,1.023619209999999891e+00
8.863999999999999657e-01,1.020738060000000003e+00,-3.545140000000000010e-03,1.020744220000000091e+00,1.027949870000000043e+00
9.091000000000000192e-01,1.024048630000000015e+00,-2.981059999999999786e-03,1.024052970000000062e+00,1.032463160000000046e+00
9.317999999999999616e-01,1.027486340000000054e+00,-2.349200000000000073e-03,1.027489019999999975e+00,1.037166569999999899e+00
9.545000000000000151e-01,1.031055379999999966e+00,-1.645020000000000076e-03,1.031056699999999937e+00,1.042068089999999891e+00
9.772999999999999465e-01,1.034760209999999958e+00,-8.636800000000000250e-04,1.034760569999999991e+00,1.047176249999999920e+00
1.000000000000000000e+00,1.038605470000000031e+00,-0.000000000000000000e+00,1.038605470000000031e+00,1.052500159999999907e+00
