# X_over_Ystar,W,WP,WPP,M,MP,MPP
0.000000000000000000e+00,9.639432399999999790e-01,3.245557900000000107e-01,-1.698780800000000007e-02,9.527661099999999994e-01,4.178423900000000080e-01,1.058151900000000034e-01
1.000000000000000056e-01,9.963004100000000252e-01,3.224528799999999973e-01,-2.507040799999999889e-02,9.950765299999999591e-01,4.283348499999999892e-01,1.039408899999999941e-01
2.000000000000000111e-01,1.028406900000000013e+00,3.195417099999999788e-01,-3.315300799999999770e-02,1.038425799999999954e+00,4.386091699999999927e-01,1.014236399999999955e-01
2.999999999999999889e-01,1.060181800000000063e+00,3.158222800000000108e-01,-4.123560799999999998e-02,1.082788700000000048e+00,4.485919199999999774e-01,9.807574600000000531e-02
3.266311800000000209e-01,1.068577700000000075e+00,3.146954599999999824e-01,-4.338809999999999889e-02,1.094769899999999963e+00,4.511898699999999929e-01,9.701711300000000204e-02
4.000000000000000222e-01,1.091544400000000081e+00,3.112945899999999821e-01,-4.931820800000000227e-02,1.128131400000000006e+00,4.581894100000000192e-01,9.367942099999999883e-02
5.000000000000000000e-01,1.122413799999999906e+00,3.059586400000000039e-01,-5.740080899999999708e-02,1.174409800000000059e+00,4.672845299999999757e-01,8.798364300000000027e-02
5.999999999999999778e-01,1.152709200000000100e+00,2.998144300000000206e-01,-6.548340900000000631e-02,1.221566799999999953e+00,4.757333000000000256e-01,8.070150399999999336e-02
6.999999999999999556e-01,1.182349700000000059e+00,2.928619599999999767e-01,-7.356600900000000165e-02,1.269529200000000024e+00,4.833611800000000014e-01,7.150847200000000348e-02
8.000000000000000444e-01,1.211254599999999959e+00,2.851012199999999885e-01,-8.164860899999999699e-02,1.318204699999999896e+00,4.899592600000000076e-01,6.004220700000000022e-02
9.000000000000000222e-01,1.239343000000000083e+00,2.765322299999999900e-01,-8.973120900000000622e-02,1.367478500000000041e+00,4.952806100000000100e-01,4.590473899999999996e-02
1.000000000000000000e+00,1.266534100000000107e+00,2.671549799999999864e-01,-9.781381000000000103e-02,1.417208699999999988e+00,4.990369299999999897e-01,2.866808800000000129e-02
