# POINT,X,Y_CALC,Y_IN,DIFF,POINT1
1.000000000000000000e+00,0.000000000000000000e+00,1.000315599999999971e+00,1.000315599999999971e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.507119999999999987e-02,1.000334599999999963e+00,1.000334400000000068e+00,1.999999999999999909e-07,2.000000000000000000e+00
3.000000000000000000e+00,3.045549999999999993e-02,1.000392600000000076e+00,1.000393700000000052e+00,-1.100000000000000056e-06,3.000000000000000000e+00
4.000000000000000000e+00,4.608360000000000234e-02,1.000491100000000078e+00,1.000488000000000044e+00,3.099999999999999966e-06,4.000000000000000000e+00
5.000000000000000000e+00,6.181319999999999870e-02,1.000630600000000037e+00,1.000632799999999989e+00,-2.300000000000000002e-06,5.000000000000000000e+00
6.000000000000000000e+00,7.796970000000000289e-02,1.000816300000000103e+00,1.000821500000000031e+00,-5.100000000000000299e-06,6.000000000000000000e+00
7.000000000000000000e+00,9.425600000000000644e-02,1.001047900000000102e+00,1.001060099999999897e+00,-1.220000000000000008e-05,7.000000000000000000e+00
8.000000000000000000e+00,1.106392999999999960e-01,1.001326399999999950e+00,1.001319000000000070e+00,7.400000000000000300e-06,8.000000000000000000e+00
9.000000000000000000e+00,1.276304000000000050e-01,1.001663799999999993e+00,1.001656799999999903e+00,6.999999999999999895e-06,9.000000000000000000e+00
1.000000000000000000e+01,1.446034999999999959e-01,1.002050000000000107e+00,1.002049799999999991e+00,1.999999999999999909e-07,1.000000000000000000e+01
1.100000000000000000e+01,1.617719999999999991e-01,1.002489799999999986e+00,1.002493899999999938e+00,-4.099999999999999709e-06,1.100000000000000000e+01
1.200000000000000000e+01,1.795972999999999875e-01,1.002997300000000092e+00,1.003000700000000078e+00,-3.400000000000000058e-06,1.200000000000000000e+01
1.300000000000000000e+01,1.974914999999999865e-01,1.003558900000000031e+00,1.003572600000000037e+00,-1.369999999999999927e-05,1.300000000000000000e+01
1.400000000000000000e+01,2.154770000000000019e-01,1.004175899999999899e+00,1.004205699999999979e+00,-2.979999999999999929e-05,1.400000000000000000e+01
1.500000000000000000e+01,2.342020999999999964e-01,1.004875600000000091e+00,1.004851200000000055e+00,2.440000000000000017e-05,1.500000000000000000e+01
1.600000000000000000e+01,2.532323000000000213e-01,1.005647600000000086e+00,1.005630800000000047e+00,1.679999999999999839e-05,1.600000000000000000e+01
1.700000000000000000e+01,2.724517000000000189e-01,1.006490700000000071e+00,1.006488300000000002e+00,2.399999999999999891e-06,1.700000000000000000e+01
1.800000000000000000e+01,2.920575000000000254e-01,1.007415699999999914e+00,1.007422000000000040e+00,-6.299999999999999821e-06,1.800000000000000000e+01
1.900000000000000000e+01,3.124587999999999810e-01,1.008446200000000070e+00,1.008450099999999905e+00,-3.899999999999999929e-06,1.900000000000000000e+01
2.000000000000000000e+01,3.331613999999999964e-01,1.009562700000000035e+00,1.009579500000000074e+00,-1.679999999999999839e-05,2.000000000000000000e+01
2.100000000000000000e+01,3.541957000000000022e-01,1.010769900000000110e+00,1.010809000000000069e+00,-3.899999999999999929e-05,2.100000000000000000e+01
2.200000000000000000e+01,3.759279999999999844e-01,1.012095500000000037e+00,1.012067899999999909e+00,2.760000000000000002e-05,2.200000000000000000e+01
2.300000000000000000e+01,3.984017000000000253e-01,1.013552400000000020e+00,1.013531100000000018e+00,2.129999999999999935e-05,2.300000000000000000e+01
2.400000000000000000e+01,4.213398999999999894e-01,1.015131000000000006e+00,1.015127799999999914e+00,3.199999999999999855e-06,2.400000000000000000e+01
2.500000000000000000e+01,4.448131000000000168e-01,1.016843100000000000e+00,1.016858599999999946e+00,-1.550000000000000068e-05,2.500000000000000000e+01
2.600000000000000000e+01,4.693983999999999934e-01,1.018740399999999990e+00,1.018747099999999906e+00,-6.600000000000000337e-06,2.600000000000000000e+01
2.700000000000000000e+01,4.945989000000000080e-01,1.020794900000000061e+00,1.020813200000000087e+00,-1.830000000000000097e-05,2.700000000000000000e+01
2.800000000000000000e+01,5.204533999999999550e-01,1.023017400000000077e+00,1.023059699999999905e+00,-4.229999999999999819e-05,2.800000000000000000e+01
2.900000000000000000e+01,5.473723999999999812e-01,1.025454899999999947e+00,1.025424899999999973e+00,3.000000000000000076e-05,2.900000000000000000e+01
3.000000000000000000e+01,5.752509999999999568e-01,1.028114100000000031e+00,1.028101699999999896e+00,1.239999999999999986e-05,3.000000000000000000e+01
3.100000000000000000e+01,6.039586000000000121e-01,1.031001700000000021e+00,1.031019200000000025e+00,-1.749999999999999847e-05,3.100000000000000000e+01
3.200000000000000000e+01,6.339498999999999551e-01,1.034187299999999921e+00,1.034202199999999960e+00,-1.500000000000000038e-05,3.200000000000000000e+01
3.300000000000000000e+01,6.650028000000000050e-01,1.037679800000000041e+00,1.037694899999999976e+00,-1.509999999999999942e-05,3.300000000000000000e+01
3.400000000000000000e+01,6.971230000000000482e-01,1.041492499999999932e+00,1.041442500000000049e+00,4.989999999999999997e-05,3.400000000000000000e+01
3.500000000000000000e+01,7.307453000000000420e-01,1.045690199999999903e+00,1.045630400000000071e+00,5.979999999999999666e-05,3.500000000000000000e+01
3.600000000000000000e+01,7.655756000000000228e-01,1.050236299999999900e+00,1.050227599999999928e+00,8.699999999999999712e-06,3.600000000000000000e+01
3.700000000000000000e+01,8.020494000000000234e-01,1.055173200000000033e+00,1.055286200000000063e+00,-1.129999999999999955e-04,3.700000000000000000e+01
3.800000000000000000e+01,8.399246000000000212e-01,1.060503399999999985e+00,1.060818599999999945e+00,-3.152000000000000179e-04,3.800000000000000000e+01
3.900000000000000000e+01,8.796422999999999881e-01,1.066448999999999980e+00,1.066995200000000033e+00,-5.462000000000000492e-04,3.900000000000000000e+01
4.000000000000000000e+01,9.211481999999999726e-01,1.073232799999999987e+00,1.073852500000000099e+00,-6.197000000000000468e-04,4.000000000000000000e+01
4.100000000000000000e+01,9.646293999999999702e-01,1.081341700000000072e+00,1.081482700000000019e+00,-1.410999999999999874e-04,4.100000000000000000e+01
4.200000000000000000e+01,1.010374899999999965e+00,1.091218400000000033e+00,1.090112699999999935e+00,1.105700000000000042e-03,4.200000000000000000e+01
4.300000000000000000e+01,1.058625499999999997e+00,1.103355800000000109e+00,1.099946300000000043e+00,3.409500000000000204e-03,4.300000000000000000e+01
4.400000000000000000e+01,1.109995199999999960e+00,1.118206299999999986e+00,1.111586200000000080e+00,6.620100000000000290e-03,4.400000000000000000e+01
4.500000000000000000e+01,1.188164900000000079e+00,1.144110299999999913e+00,1.154137200000000085e+00,-1.002690000000000005e-02,4.500000000000000000e+01
4.600000000000000000e+01,1.258009600000000061e+00,1.169145199999999996e+00,1.181923300000000010e+00,-1.277810000000000057e-02,4.600000000000000000e+01
4.700000000000000000e+01,1.429218300000000053e+00,1.235997000000000012e+00,1.250007899999999950e+00,-1.401089999999999974e-02,4.700000000000000000e+01
4.800000000000000000e+01,1.690099199999999913e+00,1.344832299999999980e+00,1.355611899999999981e+00,-1.077960000000000029e-02,4.800000000000000000e+01
4.900000000000000000e+01,2.039090999999999987e+00,1.490895199999999976e+00,1.497678400000000076e+00,-6.783199999999999646e-03,4.900000000000000000e+01
5.000000000000000000e+01,2.483321199999999784e+00,1.674999099999999963e+00,1.677307700000000068e+00,-2.308600000000000062e-03,5.000000000000000000e+01
5.100000000000000000e+01,3.035630499999999898e+00,1.896684199999999931e+00,1.895956799999999998e+00,7.274000000000000084e-04,5.100000000000000000e+01
5.200000000000000000e+01,3.715300300000000000e+00,2.156909100000000024e+00,2.156173499999999965e+00,7.355999999999999909e-04,5.200000000000000000e+01
5.300000000000000000e+01,4.547177500000000094e+00,2.459571299999999905e+00,2.460500500000000201e+00,-9.292999999999999828e-04,5.300000000000000000e+01
5.400000000000000000e+01,5.563504499999999631e+00,2.810707600000000195e+00,2.812235600000000169e+00,-1.528000000000000061e-03,5.400000000000000000e+01
5.500000000000000000e+01,6.805020999999999987e+00,3.214682199999999934e+00,3.214376099999999958e+00,3.061000000000000136e-04,5.500000000000000000e+01
5.600000000000000000e+01,8.320566799999999930e+00,3.674554500000000168e+00,3.670277599999999918e+00,4.276799999999999873e-03,5.600000000000000000e+01
5.700000000000000000e+01,1.017001729999999959e+01,4.192927700000000257e+00,4.182449799999999662e+00,1.047790000000000006e-02,5.700000000000000000e+01
5.800000000000000000e+01,1.242297639999999959e+01,4.770071299999999681e+00,4.753101799999999599e+00,1.696949999999999847e-02,5.800000000000000000e+01
5.900000000000000000e+01,1.515999189999999963e+01,5.404036299999999571e+00,5.382852999999999888e+00,2.118329999999999866e-02,5.900000000000000000e+01
6.000000000000000000e+01,1.847213569999999905e+01,6.094137500000000429e+00,6.071136199999999761e+00,2.300129999999999883e-02,6.000000000000000000e+01
6.100000000000000000e+01,2.245913320000000013e+01,6.840508699999999997e+00,6.815067899999999845e+00,2.544070000000000012e-02,6.100000000000000000e+01
6.200000000000000000e+01,2.722438879999999983e+01,7.634025900000000142e+00,7.609818999999999889e+00,2.420689999999999995e-02,6.200000000000000000e+01
