# Untitled0,TW,TE,TAW,TP,RE_over_IN,RTHI,FRD,KCF1,KCF,RCFS,H,HI,FMY,KTHP,THETA_1,DELTA,DELTAstar__1,N,CH,H,HU,CTH,THU,DSU,X
1.000000000000000000e+00,5.400000000000000000e+02,6.572999999999999545e+02,8.691000000000000227e+02,5.776000000000000227e+02,1.578694000000000000e+06,2.601000000000000000e+03,1.125550000000000050e+00,3.377829999999999888e+00,3.844279999999999919e+00,3.844279999999999919e+00,9.546999999999999931e-01,1.366300000000000070e+00,1.322799999999999976e+00,0.000000000000000000e+00,1.453000000000000081e-03,1.200000000000000025e-02,1.386999999999999995e-03,5.459730000000000416e+00,9.546759999999999691e-01,1.455200000000000026e-03,1.463700000000000070e-03,1.455200000000000026e-03,1.463700000000000070e-03,1.399999999999999986e-03,0.000000000000000000e+00
2.000000000000000000e+00,5.400000000000000000e+02,6.547000000000000455e+02,8.687999999999999545e+02,5.767999999999999545e+02,1.581468000000000000e+06,2.599000000000000000e+03,1.122870000000000035e+00,3.378260000000000041e+00,3.834740000000000038e+00,3.834760000000000169e+00,9.623000000000000442e-01,1.366200000000000081e+00,1.320170000000000066e+00,0.000000000000000000e+00,1.453000000000000081e-03,1.200000000000000025e-02,1.397999999999999937e-03,5.461100000000000065e+00,9.622779999999999667e-01,1.455200000000000026e-03,1.463799999999999910e-03,1.455200000000000026e-03,1.463799999999999910e-03,1.410000000000000012e-03,8.000000000000000167e-03
3.000000000000000000e+00,5.400000000000000000e+02,6.520000000000000000e+02,8.683999999999999773e+02,5.758999999999999773e+02,1.584209000000000000e+06,2.597000000000000000e+03,1.120109999999999939e+00,3.378750000000000142e+00,3.824980000000000047e+00,3.825019999999999865e+00,9.701999999999999513e-01,1.366100000000000092e+00,1.312559999999999949e+00,5.230000000000000274e-03,1.453000000000000081e-03,1.200000000000000025e-02,1.410000000000000012e-03,5.462480000000000224e+00,9.701619999999999688e-01,1.455200000000000026e-03,1.463799999999999910e-03,1.455200000000000026e-03,1.463799999999999910e-03,1.420000000000000038e-03,1.499999999999999944e-02
4.000000000000000000e+00,5.400000000000000000e+02,6.492000000000000455e+02,8.681000000000000227e+02,5.751000000000000227e+02,1.586892000000000000e+06,2.596000000000000000e+03,1.117289999999999894e+00,3.379259999999999931e+00,3.814999999999999947e+00,3.815109999999999779e+00,9.782999999999999474e-01,1.366000000000000103e+00,1.295190000000000063e+00,2.537000000000000019e-02,1.453000000000000081e-03,1.200000000000000025e-02,1.422000000000000087e-03,5.472730000000000317e+00,1.031778000000000084e+00,1.457699999999999925e-03,1.466499999999999922e-03,1.457699999999999925e-03,1.466499999999999922e-03,1.510000000000000057e-03,7.199999999999999456e-02
5.000000000000000000e+00,5.400000000000000000e+02,6.463999999999999773e+02,8.677000000000000455e+02,5.742000000000000455e+02,1.589456000000000000e+06,2.594000000000000000e+03,1.114460000000000006e+00,3.379779999999999784e+00,3.805000000000000160e+00,3.805200000000000138e+00,9.865000000000000435e-01,1.365899999999999892e+00,1.288629999999999942e+00,2.964999999999999927e-02,1.453000000000000081e-03,1.209999999999999964e-02,1.433999999999999945e-03,5.472730000000000317e+00,1.031778000000000084e+00,1.457699999999999925e-03,1.466499999999999922e-03,1.457699999999999925e-03,1.466499999999999922e-03,1.510000000000000057e-03,7.199999999999999456e-02
6.000000000000000000e+00,5.400000000000000000e+02,6.435000000000000000e+02,8.672999999999999545e+02,5.732999999999999545e+02,1.592025000000000000e+06,2.591000000000000000e+03,1.111480000000000024e+00,3.380389999999999784e+00,3.794550000000000090e+00,3.794869999999999965e+00,9.950999999999999845e-01,1.365799999999999903e+00,1.282599999999999962e+00,3.293999999999999706e-02,1.453999999999999997e-03,1.209999999999999964e-02,1.446999999999999936e-03,5.472730000000000317e+00,1.031778000000000084e+00,1.457699999999999925e-03,1.466499999999999922e-03,1.457699999999999925e-03,1.466499999999999922e-03,1.510000000000000057e-03,7.199999999999999456e-02
7.000000000000000000e+00,5.400000000000000000e+02,6.406000000000000227e+02,8.670000000000000000e+02,5.723999999999999773e+02,1.594475000000000000e+06,2.589000000000000000e+03,1.108489999999999975e+00,3.381009999999999849e+00,3.784069999999999823e+00,3.784530000000000172e+00,1.003900000000000015e+00,1.365699999999999914e+00,1.259419999999999984e+00,6.101000000000000173e-02,1.453999999999999997e-03,1.209999999999999964e-02,1.459999999999999926e-03,5.472730000000000317e+00,1.031778000000000084e+00,1.457699999999999925e-03,1.466499999999999922e-03,1.457699999999999925e-03,1.466499999999999922e-03,1.510000000000000057e-03,7.199999999999999456e-02
8.000000000000000000e+00,5.400000000000000000e+02,6.377000000000000455e+02,8.666000000000000227e+02,5.715000000000000000e+02,1.596800000000000000e+06,2.587000000000000000e+03,1.105490000000000084e+00,3.381629999999999914e+00,3.773559999999999803e+00,3.774189999999999934e+00,1.012699999999999934e+00,1.365699999999999914e+00,1.262299999999999978e+00,5.102000000000000285e-02,1.454999999999999913e-03,1.209999999999999964e-02,1.472999999999999917e-03,5.472730000000000317e+00,1.031778000000000084e+00,1.457699999999999925e-03,1.466499999999999922e-03,1.457699999999999925e-03,1.466499999999999922e-03,1.510000000000000057e-03,7.199999999999999456e-02
9.000000000000000000e+00,5.400000000000000000e+02,6.346000000000000227e+02,8.662000000000000455e+02,5.705000000000000000e+02,1.599163000000000000e+06,2.584000000000000000e+03,1.102260000000000018e+00,3.382420000000000204e+00,3.762370000000000214e+00,3.763220000000000010e+00,1.022299999999999986e+00,1.365499999999999936e+00,1.255069999999999908e+00,5.550999999999999684e-02,1.454999999999999913e-03,1.220000000000000077e-02,1.487000000000000040e-03,5.472730000000000317e+00,1.031778000000000084e+00,1.457699999999999925e-03,1.466499999999999922e-03,1.457699999999999925e-03,1.466499999999999922e-03,1.510000000000000057e-03,7.199999999999999456e-02
1.000000000000000000e+01,5.400000000000000000e+02,6.315000000000000000e+02,8.657999999999999545e+02,5.696000000000000227e+02,1.601340000000000000e+06,2.581000000000000000e+03,1.099089999999999900e+00,3.383179999999999854e+00,3.751370000000000093e+00,3.752470000000000194e+00,1.031700000000000061e+00,1.365399999999999947e+00,1.226469999999999949e+00,9.102999999999999980e-02,1.456000000000000046e-03,1.220000000000000077e-02,1.502000000000000080e-03,5.472730000000000317e+00,1.031778000000000084e+00,1.457699999999999925e-03,1.466499999999999922e-03,1.457699999999999925e-03,1.466499999999999922e-03,1.510000000000000057e-03,7.199999999999999456e-02
