# Untitled0,STA_IN,Y_IN,DELR_IN,R_IN,DY_over_DX,D2Y_over_DX2,DA_over_DX,DR_over_DX,MACH_NO,_____DM_over_DX,PE_over_PO,BETA
1.000000000000000000e+00,0.000000000000000000e+00,5.001579999999999915e-01,1.386800000000000099e-03,5.015444999999999487e-01,0.000000000000000000e+00,3.332281999999999744e-01,1.454400000000000007e-03,1.454400000000000007e-03,1.052500200000000108e+00,1.032084400000000013e+00,4.558400000000000230e-01,-5.906099999999999683e-01
2.000000000000000000e+00,7.536000000000000164e-03,5.001670000000000282e-01,1.397800000000000041e-03,5.015650999999999859e-01,2.502100000000000157e-03,3.302880999999999734e-01,1.478799999999999950e-03,3.980899999999999890e-03,1.060327500000000089e+00,1.042977000000000043e+00,4.512800000000000145e-01,-5.946799999999999864e-01
3.000000000000000000e+00,1.522800000000000022e-02,5.001959999999999740e-01,1.409300000000000049e-03,5.016055999999999848e-01,5.028999999999999616e-03,3.275908000000000153e-01,1.509300000000000095e-03,6.538300000000000362e-03,1.068383700000000047e+00,1.050410999999999984e+00,4.466200000000000170e-01,-5.967099999999999627e-01
4.000000000000000000e+00,2.304199999999999998e-02,5.002459999999999685e-01,1.421200000000000067e-03,5.016667999999999683e-01,7.581599999999999971e-03,3.274888000000000243e-01,1.536400000000000049e-03,9.117999999999999369e-03,1.076616199999999912e+00,1.050164600000000004e+00,4.419000000000000150e-01,-5.943699999999999539e-01
5.000000000000000000e+00,3.090700000000000044e-02,5.003149999999999542e-01,1.433400000000000039e-03,5.017487000000000474e-01,1.016369999999999947e-02,3.306221999999999772e-01,1.569700000000000045e-03,1.173339999999999973e-02,1.084848699999999999e+00,1.058588800000000107e+00,4.372099999999999875e-01,-5.970100000000000406e-01
6.000000000000000000e+00,3.898499999999999882e-02,5.004079999999999639e-01,1.446299999999999973e-03,5.018544000000000338e-01,1.285369999999999915e-02,3.353005000000000013e-01,1.604600000000000080e-03,1.445830000000000032e-02,1.093498400000000093e+00,1.068221899999999946e+00,4.323100000000000276e-01,-6.001900000000000013e-01
7.000000000000000000e+00,4.712800000000000322e-02,5.005239999999999689e-01,1.459400000000000020e-03,5.019833999999999685e-01,1.560309999999999996e-02,3.396756000000000220e-01,1.627100000000000031e-03,1.723020000000000107e-02,1.102176400000000056e+00,1.063016200000000078e+00,4.274399999999999866e-01,-5.950900000000000079e-01
8.000000000000000000e+00,5.532000000000000112e-02,5.006629999999999692e-01,1.472800000000000021e-03,5.021360000000000268e-01,1.840239999999999931e-02,3.418404999999999916e-01,1.670899999999999903e-03,2.007329999999999878e-02,1.110862299999999969e+00,1.080183099999999952e+00,4.226099999999999857e-01,-6.025800000000000045e-01
9.000000000000000000e+00,6.381499999999999673e-02,5.008320000000000549e-01,1.487299999999999994e-03,5.023191999999999657e-01,2.130750000000000005e-02,3.399772999999999823e-01,1.705499999999999985e-03,2.301299999999999873e-02,1.120214000000000043e+00,1.089936599999999922e+00,4.174499999999999877e-01,-6.056700000000000417e-01
1.000000000000000000e+01,7.230200000000000515e-02,5.010250000000000536e-01,1.501799999999999967e-03,5.025268000000000512e-01,2.417599999999999957e-02,3.345377999999999963e-01,1.726799999999999906e-03,2.590280000000000013e-02,1.129371899999999984e+00,1.079727600000000010e+00,4.124399999999999733e-01,-5.978200000000000180e-01
