# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,6.833199600000000373e+00,0.000000000000000000e+00,5.497793800000000175e+00,1.047993300000000083e+01,5.988275699999999802e+01,0.000000000000000000e+00,3.416599800000000187e+00,0.000000000000000000e+00
2.000000000000000000e+00,7.070558100000000401e+00,4.416717800000000138e-02,5.694349500000000397e+00,1.011431400000000025e+01,6.085184199999999777e+01,4.875811899999999977e-01,3.535279000000000060e+00,2.208359999999999837e-02
3.000000000000000000e+00,7.294496600000000441e+00,8.632395700000000671e-02,5.883596599999999732e+00,9.785729800000000367e+00,6.172969499999999954e+01,9.348473699999999553e-01,3.647248300000000221e+00,4.316199999999999898e-02
4.000000000000000000e+00,7.505003799999999892e+00,1.263953100000000107e-01,6.064959199999999662e+00,9.490354800000000424e+00,6.252430300000000329e+01,1.344370599999999971e+00,3.752501899999999946e+00,6.319769999999999555e-02
5.000000000000000000e+00,7.702310400000000001e+00,1.643518300000000043e-01,6.238064099999999890e+00,9.224666400000000266e+00,6.324339499999999958e+01,1.718888299999999925e+00,3.851155200000000001e+00,8.217589999999999617e-02
6.000000000000000000e+00,7.886847900000000244e+00,2.002057999999999893e-01,6.402720399999999756e+00,8.985448299999999833e+00,6.389429700000000167e+01,2.061124099999999792e+00,3.943423999999999818e+00,1.001028999999999947e-01
7.000000000000000000e+00,8.059208399999999273e+00,2.340061300000000066e-01,6.558897700000000164e+00,8.769783399999999673e+00,6.448386700000000360e+01,2.373729700000000165e+00,4.029604199999999636e+00,1.170030999999999988e-01
8.000000000000000000e+00,8.220106799999999936e+00,2.658324799999999821e-01,6.706701899999999661e+00,8.575039500000000814e+00,6.501845000000000141e+01,2.659241199999999861e+00,4.110053399999999968e+00,1.329162000000000121e-01
9.000000000000000000e+00,8.370346299999999573e+00,2.957894799999999935e-01,6.846351900000000157e+00,8.398851099999999903e+00,6.550387200000000121e+01,2.920050300000000210e+00,4.185173100000000090e+00,1.478946999999999901e-01
1.000000000000000000e+01,8.510788700000000873e+00,3.240010300000000232e-01,6.978156600000000154e+00,8.239098500000000769e+00,6.594544700000000148e+01,3.158388599999999879e+00,4.255394299999999852e+00,1.620004999999999917e-01
1.100000000000000000e+01,8.642329600000000056e+00,3.506052199999999952e-01,7.102494700000000272e+00,8.093886799999999937e+00,6.634799800000000403e+01,3.376320399999999999e+00,4.321164800000000028e+00,1.753026000000000029e-01
