# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,3.266311800000000209e-01,0.000000000000000000e+00,1.094769899999999963e+00,6.598430299999999704e+01,1.102711500000000067e+00,0.000000000000000000e+00,1.633156000000000052e-01,0.000000000000000000e+00
2.000000000000000000e+00,3.166193900000000006e-01,2.273444499999999896e-02,1.090312600000000076e+00,6.651553800000000649e+01,1.029125099999999904e+00,3.636178999999999800e-02,1.583096999999999976e-01,1.136719999999999918e-02
3.000000000000000000e+00,3.068391799999999892e-01,4.546888999999999792e-02,1.086079900000000098e+00,6.703488000000000113e+01,9.605512499999999676e-01,6.939656800000000569e-02,1.534195999999999893e-01,2.273439999999999836e-02
4.000000000000000000e+00,2.972846699999999731e-01,6.820333500000000382e-02,1.082066299999999925e+00,6.754169400000000678e+01,8.967492200000000135e-01,9.928583000000000547e-02,1.486423000000000050e-01,3.410169999999999868e-02
5.000000000000000000e+00,2.879497100000000254e-01,9.093777899999999637e-02,1.078266399999999958e+00,6.803532300000000532e+01,8.374856899999999493e-01,1.262048899999999862e-01,1.439748999999999890e-01,4.546889999999999959e-02
6.000000000000000000e+00,2.788279399999999963e-01,1.136722200000000044e-01,1.074674799999999930e+00,6.851508499999999913e+01,7.825347000000000275e-01,1.503229399999999882e-01,1.394140000000000101e-01,5.683610000000000051e-02
7.000000000000000000e+00,2.699127100000000001e-01,1.364066700000000076e-01,1.071286600000000089e+00,6.898027700000000095e+01,7.316776400000000180e-01,1.718031399999999931e-01,1.349564000000000041e-01,6.820329999999999449e-02
8.000000000000000000e+00,2.611971200000000048e-01,1.591411100000000023e-01,1.068096799999999957e+00,6.943018200000000206e+01,6.847031999999999563e-01,1.908025999999999889e-01,1.305986000000000091e-01,7.957060000000000521e-02
9.000000000000000000e+00,2.526740299999999939e-01,1.818755599999999917e-01,1.065100500000000006e+00,6.986406700000000569e+01,6.414075000000000193e-01,2.074723900000000065e-01,1.263370000000000049e-01,9.093779999999999919e-02
1.000000000000000000e+01,2.443359900000000029e-01,2.046099999999999863e-01,1.062292999999999932e+00,7.028119200000000433e+01,6.015940699999999808e-01,2.219574599999999953e-01,1.221679999999999988e-01,1.023049999999999932e-01
1.100000000000000000e+01,2.361753199999999941e-01,2.273444500000000035e-01,1.059669799999999995e+00,7.068081499999999551e+01,5.650740100000000155e-01,2.343966399999999894e-01,1.180877000000000038e-01,1.136722000000000010e-01
1.200000000000000000e+01,2.281840499999999994e-01,2.500788899999999981e-01,1.057226100000000057e+00,7.106220000000000425e+01,5.316660899999999801e-01,2.449224799999999980e-01,1.140919999999999990e-01,1.250393999999999950e-01
1.300000000000000000e+01,2.203539599999999876e-01,2.728133400000000153e-01,1.054957600000000051e+00,7.142462199999999939e+01,5.011968700000000165e-01,2.536611799999999861e-01,1.101769999999999972e-01,1.364066999999999918e-01
1.400000000000000000e+01,2.126765899999999987e-01,2.955477799999999822e-01,1.052859800000000012e+00,7.176737699999999620e+01,4.735008700000000181e-01,2.607325099999999729e-01,1.063382999999999967e-01,1.477739000000000136e-01
1.500000000000000000e+01,2.051431999999999978e-01,3.182822299999999993e-01,1.050928400000000096e+00,7.208978999999999360e+01,4.484206700000000212e-01,2.662496599999999991e-01,1.025715999999999989e-01,1.591411000000000076e-01
1.600000000000000000e+01,1.977448499999999998e-01,3.410166700000000217e-01,1.049158999999999953e+00,7.239122799999999813e+01,4.258070999999999939e-01,2.703191200000000238e-01,9.887239999999999918e-02,1.705083000000000015e-01
1.700000000000000000e+01,1.904723799999999967e-01,3.637511199999999834e-01,1.047547400000000017e+00,7.267110399999999970e+01,4.055193599999999954e-01,2.730406100000000169e-01,9.523619999999999308e-02,1.818755999999999984e-01
1.800000000000000000e+01,1.833164300000000024e-01,3.864855600000000058e-01,1.046089499999999894e+00,7.292889099999999303e+01,3.874251200000000117e-01,2.745069900000000063e-01,9.165819999999999523e-02,1.932427999999999924e-01
1.900000000000000000e+01,1.762674700000000094e-01,4.092200100000000229e-01,1.044780999999999960e+00,7.316413300000000675e+01,3.714006300000000094e-01,2.748041700000000143e-01,8.813369999999999538e-02,2.046099999999999863e-01
2.000000000000000000e+01,1.693158499999999900e-01,4.319544499999999898e-01,1.043617999999999935e+00,7.337644799999999634e+01,3.573308000000000040e-01,2.740110700000000232e-01,8.465789999999999427e-02,2.159772000000000081e-01
2.100000000000000000e+01,1.624518000000000073e-01,4.546889000000000070e-01,1.042596300000000031e+00,7.356554099999999607e+01,3.451091800000000154e-01,2.721996199999999755e-01,8.122590000000000365e-02,2.273444000000000020e-01
2.200000000000000000e+01,1.556654700000000002e-01,4.774233399999999738e-01,1.041712200000000088e+00,7.373120900000000688e+01,3.346380400000000255e-01,2.694347699999999901e-01,7.783270000000000466e-02,2.387116999999999989e-01
2.300000000000000000e+01,1.489469800000000066e-01,5.001577900000000465e-01,1.040961800000000048e+00,7.387334400000000301e+01,3.258282399999999912e-01,2.657745200000000141e-01,7.447349999999999803e-02,2.500788999999999929e-01
2.400000000000000000e+01,1.422864699999999982e-01,5.228922299999999579e-01,1.040341399999999972e+00,7.399193999999999960e+01,3.185992200000000163e-01,2.612700800000000156e-01,7.114320000000000366e-02,2.614461000000000146e-01
2.500000000000000000e+01,1.356740800000000025e-01,5.456266800000000305e-01,1.039847399999999977e+00,7.408708900000000597e+01,3.128788100000000072e-01,2.559659200000000134e-01,6.783699999999999453e-02,2.728132999999999808e-01
2.600000000000000000e+01,1.291000599999999887e-01,5.683611200000000530e-01,1.039476400000000078e+00,7.415898300000000631e+01,3.086031100000000138e-01,2.498999399999999871e-01,6.454999999999999627e-02,2.841806000000000054e-01
2.700000000000000000e+01,1.225547599999999987e-01,5.910955700000000146e-01,1.039225000000000065e+00,7.420790700000000584e+01,3.057162600000000174e-01,2.431037199999999954e-01,6.127740000000000270e-02,2.955478000000000272e-01
2.800000000000000000e+01,1.160286799999999952e-01,6.138300100000000370e-01,1.039090000000000069e+00,7.423423699999999315e+01,3.041702299999999859e-01,2.356026499999999968e-01,5.801429999999999781e-02,3.069149999999999934e-01
2.900000000000000000e+01,1.095125099999999935e-01,6.365644599999999986e-01,1.039068600000000009e+00,7.423842999999999392e+01,3.039245400000000208e-01,2.274162499999999865e-01,5.475630000000000080e-02,3.182822000000000151e-01
3.000000000000000000e+01,1.029971300000000062e-01,6.592989000000000210e-01,1.039157799999999909e+00,7.422101399999999671e+01,3.049459999999999948e-01,2.185583399999999898e-01,5.149859999999999854e-02,3.296494999999999842e-01
3.100000000000000000e+01,9.647369299999999925e-02,6.820333499999999827e-01,1.039355000000000029e+00,7.418258000000000152e+01,3.072083999999999926e-01,2.090373700000000001e-01,4.823680000000000329e-02,3.410167000000000059e-01
3.200000000000000000e+01,8.993357500000000171e-02,7.047677900000000051e-01,1.039657899999999913e+00,7.412377100000000496e+01,3.106922300000000137e-01,1.988566300000000064e-01,4.496680000000000121e-02,3.523839000000000277e-01
3.300000000000000000e+01,8.336844499999999936e-02,7.275022399999999667e-01,1.040064099999999936e+00,7.404526900000000467e+01,3.153843599999999747e-01,1.880145400000000078e-01,4.168419999999999764e-02,3.637510999999999939e-01
3.400000000000000000e+01,7.677025299999999663e-02,7.502366799999999891e-01,1.040571799999999936e+00,7.394778499999999610e+01,3.212778099999999970e-01,1.765048800000000029e-01,3.838509999999999839e-02,3.751183000000000156e-01
3.500000000000000000e+01,7.013124599999999431e-02,7.729711299999999508e-01,1.041179099999999913e+00,7.383204800000000034e+01,3.283713899999999852e-01,1.643170100000000133e-01,3.506560000000000232e-02,3.864855999999999847e-01
3.600000000000000000e+01,6.344397100000000178e-02,7.957055699999999732e-01,1.041884400000000044e+00,7.369879500000000405e+01,3.366695100000000052e-01,1.514361399999999969e-01,3.172200000000000020e-02,3.978528000000000064e-01
3.700000000000000000e+01,5.670127400000000290e-02,8.184400200000000458e-01,1.042686400000000013e+00,7.354876199999999642e+01,3.461819500000000160e-01,1.378434299999999890e-01,2.835060000000000011e-02,4.092199999999999727e-01
3.800000000000000000e+01,4.989629599999999970e-02,8.411744599999999572e-01,1.043584099999999903e+00,7.338267600000000357e+01,3.569236199999999970e-01,1.235162199999999960e-01,2.494810000000000083e-02,4.205871999999999944e-01
